dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
16,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Attacker,Trinidad and Tobago,1f2ng292wvguvr7856c0hku1g,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/1f2ng292wvguvr7856c0hku1g
7,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Midfielder,Trinidad and Tobago,2rkdzc5ecbbj67m4dr4go915g,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/2rkdzc5ecbbj67m4dr4go915g
2,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Defender,Trinidad and Tobago,2u7p5wwduqxqbcgajpu6pjs44,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/2u7p5wwduqxqbcgajpu6pjs44
18,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Midfielder,Trinidad and Tobago,3pzd87cugi2uj8hhzgre6od1w,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/3pzd87cugi2uj8hhzgre6od1w
6,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Midfielder,Trinidad and Tobago,3rl969kafl9t8a07rx0zdql1w,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/3rl969kafl9t8a07rx0zdql1w
10,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Attacker,Trinidad and Tobago,454z0o9josuuztx1lihxyoufo,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/454z0o9josuuztx1lihxyoufo
17,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Attacker,Trinidad and Tobago,4cgc49kf6u3ngsb4sbkjvwges,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/4cgc49kf6u3ngsb4sbkjvwges
13,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Attacker,Trinidad and Tobago,6649f9tbcgpyd3zi89jkjan10,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/6649f9tbcgpyd3zi89jkjan10
3,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Defender,Trinidad and Tobago,6jkxhm19n5ig8q8w7qrdgij9w,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/6jkxhm19n5ig8q8w7qrdgij9w
,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,,Trinidad and Tobago,8w4zzfsjo6xygzoi0n3ys276d,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/8w4zzfsjo6xygzoi0n3ys276d
1,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Goalkeeper,Trinidad and Tobago,9zumccqfnfnbnasozke0lt2c4,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/9zumccqfnfnbnasozke0lt2c4
5,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Defender,Trinidad and Tobago,a4ueo6xr919gist2pykk5e51w,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/a4ueo6xr919gist2pykk5e51w
14,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Midfielder,Trinidad and Tobago,afr06uv91jdhu4o8uz17j0qok,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/afr06uv91jdhu4o8uz17j0qok
4,,Trinidad and Tobago Under 17,Trinidad_and_Tobago_Under_17,Concacaf U17,Defender,Trinidad and Tobago,amw3v3d4mviogjs6996sqp34k,514d08zf0doz23mty0ucfbwcu,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/514d08zf0doz23mty0ucfbwcu/player/view/amw3v3d4mviogjs6996sqp34k
