dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
12,,Cayman Islands Under 17,Concacaf U17,Goalkeeper,Cayman Islands,1ji9a2tfat722f3oh7c1mdrf8,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/1ji9a2tfat722f3oh7c1mdrf8
20,,Cayman Islands Under 17,Concacaf U17,Attacker,Cayman Islands,2g7y4ktobnx92m80o7u775zis,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/2g7y4ktobnx92m80o7u775zis
6,,Cayman Islands Under 17,Concacaf U17,Defender,Cayman Islands,2zhnoflrxvslw6yruihzu2p78,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/2zhnoflrxvslw6yruihzu2p78
5,,Cayman Islands Under 17,Concacaf U17,Defender,Cayman Islands,32fmtkdof7awcdztam2bm4l5g,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/32fmtkdof7awcdztam2bm4l5g
10,,Cayman Islands Under 17,Concacaf U17,Midfielder,Cayman Islands,3gvdnleowz4vkoqgyjqkk5mok,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/3gvdnleowz4vkoqgyjqkk5mok
15,,Cayman Islands Under 17,Concacaf U17,Attacker,Cayman Islands,55czxsf220t37p3231dl7p2xg,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/55czxsf220t37p3231dl7p2xg
8,,Cayman Islands Under 17,Concacaf U17,Midfielder,Cayman Islands,5hp3s2p14lrm6m5m1r7vjjcpg,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/5hp3s2p14lrm6m5m1r7vjjcpg
3,,Cayman Islands Under 17,Concacaf U17,Defender,Cayman Islands,8ab5tj198cbmial1qmagh80lw,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/8ab5tj198cbmial1qmagh80lw
16,,Cayman Islands Under 17,Concacaf U17,Midfielder,Cayman Islands,95w7ce7fe349esnin48h9uihg,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/95w7ce7fe349esnin48h9uihg
9,,Cayman Islands Under 17,Concacaf U17,Attacker,Cayman Islands,98gudabplx2zrp9ti4u4hndp0,37uhnfke3ik4kgdix62p834d1,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/37uhnfke3ik4kgdix62p834d1/player/view/98gudabplx2zrp9ti4u4hndp0
