dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
9,,Grenada Under 17,Concacaf U17,Attacker,Grenada,2jdpcubcgpwsz8xx967pjtbf8,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/2jdpcubcgpwsz8xx967pjtbf8
3,,Grenada Under 17,Concacaf U17,Defender,Grenada,37ne7d6r5nupqzwpwbtn0ai38,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/37ne7d6r5nupqzwpwbtn0ai38
11,,Grenada Under 17,Concacaf U17,Attacker,Grenada,41jl9grr8z6j0ebr7lnjsob2s,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/41jl9grr8z6j0ebr7lnjsob2s
13,,Grenada Under 17,Concacaf U17,Goalkeeper,Grenada,4u098l06ziez5zvwlvau4vu38,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/4u098l06ziez5zvwlvau4vu38
20,,Grenada Under 17,Concacaf U17,Attacker,Grenada,5fq9pl1mtqiyt6ml271nyi1hw,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/5fq9pl1mtqiyt6ml271nyi1hw
1,,Grenada Under 17,Concacaf U17,Goalkeeper,Grenada,5nai45s2svgt6xpezwmbjwvf8,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/5nai45s2svgt6xpezwmbjwvf8
,,Grenada Under 17,Concacaf U17,Midfielder,Grenada,5sk1ki9d27et2loedzt2che6s,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/5sk1ki9d27et2loedzt2che6s
8,,Grenada Under 17,Concacaf U17,Attacker,Grenada,5wzmmh46ibmzb9l2sbqk568lw,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/5wzmmh46ibmzb9l2sbqk568lw
7,,Grenada Under 17,Concacaf U17,Attacker,Grenada,669fdy14zn4yt4u2bd1mmbzf8,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/669fdy14zn4yt4u2bd1mmbzf8
17,,Grenada Under 17,Concacaf U17,Midfielder,Grenada,6f4dbdu7jpi7uqpbi3trho6xg,86cpe1jxmytgv3tyujn51spnx,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/86cpe1jxmytgv3tyujn51spnx/player/view/6f4dbdu7jpi7uqpbi3trho6xg
