dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
4,,Guatemala Under 17,Concacaf U17,Defender,Guatemala,13oys6my9ajfzlxmz5t9rw9as,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/13oys6my9ajfzlxmz5t9rw9as
20,,Guatemala Under 17,Concacaf U17,Attacker,Guatemala,19vd9417bxnk7yf4jk90g07is,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/19vd9417bxnk7yf4jk90g07is
3,,Guatemala Under 17,Concacaf U17,Attacker,Guatemala,1dt2grcyisduyo9sezrh6ge8k,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/1dt2grcyisduyo9sezrh6ge8k
11,,Guatemala Under 17,Concacaf U17,Attacker,Guatemala,1mhg4c38oqa0wabaemmrp9nv8,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/1mhg4c38oqa0wabaemmrp9nv8
18,,Guatemala Under 17,Concacaf U17,Midfielder,Guatemala,1taa4wamakvgvpn46uh5trrpw,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/1taa4wamakvgvpn46uh5trrpw
,,Guatemala Under 17,Concacaf U17,,Guatemala,2f6p1u7b1ccvw3rqog4vi5tgq,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/2f6p1u7b1ccvw3rqog4vi5tgq
13,,Guatemala Under 17,Concacaf U17,Midfielder,Guatemala,30h0qbgo0nl2bsoyhd0aft1xw,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/30h0qbgo0nl2bsoyhd0aft1xw
1,,Guatemala Under 17,Concacaf U17,Goalkeeper,Guatemala,376rc1hdb38kgnfh4capo9vys,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/376rc1hdb38kgnfh4capo9vys
6,,Guatemala Under 17,Concacaf U17,Midfielder,Guatemala,4i22xfwsweit2h4ohoborowlw,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/4i22xfwsweit2h4ohoborowlw
15,,Guatemala Under 17,Concacaf U17,Defender,Guatemala,53n59l4zra8du2esry2q68178,54ulyp2sr0rnaj3d6zhpi514n,eqgisvgxx07hohsthzgfphzv9,a1cfq19aoiyyyvkckk6onzwgk,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2025/a1cfq19aoiyyyvkckk6onzwgk/teams/view/54ulyp2sr0rnaj3d6zhpi514n/player/view/53n59l4zra8du2esry2q68178
