liga,temporada,equipo,id,nombre,posicion,dorsal,Duels,Total Fouls Won,Goals Conceded Outside Box,Total Clearances,PutThrough/Blocked Distribution Won,Throw Ins to Own Player,Throw Ins to Opposition Player,Unsuccessful Passes Opposition Half,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Tackles Lost,Total Passes,Unsuccessful Launches,Total Tackles,Unsuccessful Long Passes,Time Played,Successful Passes Own Half,Ground Duels lost,Goals Conceded Inside Box,Ground Duels won,Games Played,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Leftside Passes,Starts,Successful Short Passes,Total Fouls Conceded,Total Losses Of Possession,Foul Attempted Tackle,Unsuccessful Short Passes,Duels won,Ground Duels,Tackles Won,Times Tackled,Substitute Off,Recoveries,Index,Successful Open Play Passes,Touches,Appearances,Duels lost,Forward Passes,Goals Conceded,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Winning Goal,Successful Dribbles,Aerial Duels lost,Successful Lay-offs,Shots On Target ( inc goals ),Interceptions,Aerial Duels,Backward Passes,Successful Passes Opposition Half,Unsuccessful Dribbles,Blocks,Blocked Shots,Rightside Passes,Overruns,Total Touches In Opposition Box,Foul Won Penalty,Total Shots,Aerial Duels won,Saves made - parried,Punches,Crosses not Claimed,Drops,GK Successful Distribution,Successful Long Passes,Goalkeeper Smother,Saves Made,Saves Made from Inside Box,GK Unsuccessful Distribution,Goal Kicks,Catches,Successful Launches,Saves Made from Outside Box,Handballs conceded,Key Passes (Attempt Assists),Yellow Cards,Shots Off Target (inc woodwork),Unsuccessful Crosses & Corners,Successful Crosses & Corners,Offsides,Assists (Intentional),Goal Assists,Unsuccessful Corners into Box,Successful Crosses open play,Corners Taken (incl short corners),Successful Corners into Box,Corners Won,Unsuccessful lay-offs,Clearances Off the Line,Unsuccessful Crosses open play,Goals,Left Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Penalties Taken,Penalties Off Target,Headed Goals,Hit Woodwork,Penalty Goals Conceded,Penalties Faced,Penalties Saved,Saves from Penalty,Attempts from Set Pieces,Right Foot Goals,Saves made - caught,Last Player Tackle,Penalties Conceded,Red Cards - 2nd Yellow,Total Red Cards,Through balls,Penalty Goals,Clean Sheets,Own Goal Scored,Other Goals,Goals from Outside Box,Second Goal Assists,Set Pieces Goals,Straight Red Cards
Concacaf_Concacaf_U17,2025,Guatemala Under 17,30h0qbgo0nl2bsoyhd0aft1xw,P. Arias,Midfielder,13,10.0,1.0,,2.0,,,,3.0,2.0,3.0,1.0,36.0,1.0,2.0,1.0,93.0,21.0,5.0,1.0,4.0,3.0,,,14.0,1.0,31.0,1.0,5.0,,2.0,4.0,9.0,1.0,2.0,1.0,3.0,10.0,33.0,47.0,3.0,6.0,8.0,1.0,36.0,33.0,0.0,1.0,1.0,2.0,,1.0,1.0,7.0,12.0,2.0,,,7.0,,1.0,,1.0,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Guatemala Under 17,eavdjam3wev2r2xudr3myirkk,P. Arreaga,Defender,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Guatemala Under 17,13oys6my9ajfzlxmz5t9rw9as,S. Camacho,Defender,4,19.0,2.0,1.0,16.0,2.0,1.0,,23.0,,31.0,1.0,192.0,10.0,3.0,25.0,270.0,104.0,8.0,2.0,5.0,3.0,2.0,8.0,81.0,3.0,124.0,4.0,40.0,2.0,6.0,8.0,13.0,2.0,4.0,,18.0,10.0,156.0,234.0,3.0,11.0,89.0,3.0,186.0,161.0,0.0,,3.0,,,5.0,6.0,6.0,57.0,1.0,1.0,,16.0,,,,1.0,3.0,,,,,,37.0,,,,,,,6.0,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
Concacaf_Concacaf_U17,2025,Guatemala Under 17,4i22xfwsweit2h4ohoborowlw,J. Celis,Midfielder,6,33.0,1.0,1.0,1.0,5.0,,,29.0,,27.0,1.0,156.0,2.0,3.0,3.0,270.0,58.0,17.0,2.0,10.0,3.0,10.0,4.0,43.0,3.0,121.0,3.0,53.0,1.0,24.0,13.0,27.0,2.0,12.0,,26.0,10.0,127.0,211.0,3.0,20.0,57.0,3.0,154.0,129.0,0.0,6.0,3.0,1.0,1.0,3.0,6.0,23.0,73.0,2.0,1.0,1.0,33.0,,5.0,,2.0,3.0,,,,,,8.0,,,,,,,,,,5.0,,1.0,6.0,2.0,,,,1.0,,4.0,2.0,2.0,,,5.0,1.0,,1.0,0.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
Concacaf_Concacaf_U17,2025,Guatemala Under 17,anlco7e1pz7hcculfj6iu7dhw,J. Enríquez,Midfielder,14,7.0,,1.0,3.0,,6.0,,6.0,2.0,5.0,1.0,15.0,,2.0,1.0,26.0,3.0,2.0,,2.0,2.0,2.0,2.0,,,9.0,1.0,10.0,,4.0,5.0,4.0,1.0,,,2.0,10.0,10.0,36.0,2.0,2.0,8.0,1.0,15.0,10.0,0.0,,,,,,3.0,,8.0,,,1.0,7.0,,1.0,,,3.0,,,,,,1.0,,,,,,,,,,2.0,,,3.0,1.0,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Guatemala Under 17,841v60i9orogx8xfq7yvfj40k,A. Fernández,Goalkeeper,12,1.0,,1.0,1.0,,,,10.0,,10.0,,63.0,7.0,,10.0,270.0,52.0,,2.0,,3.0,,,20.0,3.0,47.0,,10.0,,,1.0,,,,,27.0,10.0,31.0,93.0,3.0,,18.0,3.0,36.0,53.0,0.0,,,,,,1.0,,1.0,,,,25.0,,,,,1.0,2.0,,,1.0,37.0,6.0,,9.0,6.0,2.0,23.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Concacaf_Concacaf_U17,2025,Guatemala Under 17,1taa4wamakvgvpn46uh5trrpw,J. Folgar,Midfielder,18,29.0,1.0,1.0,2.0,,35.0,3.0,27.0,,21.0,1.0,99.0,2.0,7.0,6.0,270.0,32.0,16.0,2.0,9.0,3.0,1.0,3.0,28.0,3.0,72.0,5.0,45.0,2.0,15.0,13.0,25.0,6.0,8.0,,11.0,10.0,78.0,178.0,3.0,16.0,49.0,3.0,99.0,78.0,0.0,1.0,,,,2.0,4.0,21.0,48.0,3.0,,,1.0,,1.0,,,4.0,,,,,,6.0,,,,,,,,,,,,,9.0,2.0,1.0,,,,2.0,,,3.0,,,9.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
Concacaf_Concacaf_U17,2025,Guatemala Under 17,53n59l4zra8du2esry2q68178,G. Fuentes,Defender,15,29.0,5.0,1.0,2.0,1.0,2.0,,10.0,1.0,9.0,2.0,93.0,,5.0,2.0,177.0,51.0,9.0,1.0,15.0,3.0,1.0,2.0,25.0,2.0,81.0,3.0,17.0,3.0,7.0,20.0,24.0,3.0,4.0,2.0,16.0,10.0,82.0,133.0,3.0,9.0,21.0,2.0,91.0,84.0,0.0,6.0,,2.0,,,5.0,29.0,34.0,,2.0,,18.0,,4.0,,1.0,5.0,,,,,,3.0,,,,,,,,,,,1.0,1.0,3.0,1.0,,,,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Guatemala Under 17,5kx0o18iee6q97wtpjssu7ok4,A. García,Forward,7,24.0,2.0,,1.0,1.0,,,17.0,,15.0,2.0,59.0,1.0,4.0,1.0,228.0,5.0,11.0,2.0,10.0,3.0,2.0,1.0,10.0,3.0,44.0,2.0,34.0,1.0,14.0,11.0,21.0,2.0,7.0,2.0,11.0,10.0,44.0,101.0,3.0,13.0,24.0,2.0,59.0,44.0,1.0,4.0,2.0,2.0,2.0,,3.0,11.0,41.0,5.0,1.0,,14.0,1.0,19.0,,4.0,1.0,,,,,,,,,,,,,,,,5.0,,2.0,3.0,2.0,2.0,1.0,1.0,,2.0,,,4.0,,,3.0,2.0,,2.0,1.0,1.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,
Concacaf_Concacaf_U17,2025,Guatemala Under 17,by4rzv2zqcxwrqril83t7j40k,J. García,Goalkeeper,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
