equipo,link,logo,cod_equipo,cod_liga,liga
Antigua and Barbuda Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/antigua-and-barbuda-under-20/a86r2k6gsq84asdnzklzm7h79,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a86r2k6gsq84asdnzklzm7h79,a86r2k6gsq84asdnzklzm7h79,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
Aruba Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/aruba-under-20/83k5ujbxyleg1p0tqnbor9z2t,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=83k5ujbxyleg1p0tqnbor9z2t,83k5ujbxyleg1p0tqnbor9z2t,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
Canada Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/canada-under-20/5qvcqbokyp1y7obq46dtr5bkf,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=5qvcqbokyp1y7obq46dtr5bkf,5qvcqbokyp1y7obq46dtr5bkf,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
Costa Rica Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/costa-rica-under-20/4w76p408061aodqkpdgew48xk,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4w76p408061aodqkpdgew48xk,4w76p408061aodqkpdgew48xk,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
Cuba Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/cuba-under-20/6w3o62j2vskty0o5hhfmtg2yl,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=6w3o62j2vskty0o5hhfmtg2yl,6w3o62j2vskty0o5hhfmtg2yl,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
Curaçao Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/curaçao-under-20/9iebz5wm6ily83lrypt2p9vxi,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9iebz5wm6ily83lrypt2p9vxi,9iebz5wm6ily83lrypt2p9vxi,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
Dominican Republic Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/dominican-republic-under-20/5zbalg92fk44mjw04wnzyrlqt,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=5zbalg92fk44mjw04wnzyrlqt,5zbalg92fk44mjw04wnzyrlqt,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
El Salvador Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/el-salvador-under-20/1aq76gdfbogncnx6zezo71tqd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1aq76gdfbogncnx6zezo71tqd,1aq76gdfbogncnx6zezo71tqd,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
Guatemala Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/guatemala-under-20/naa2qdk0xvv3es4wtsgrzk6j,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=naa2qdk0xvv3es4wtsgrzk6j,naa2qdk0xvv3es4wtsgrzk6j,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
Haiti Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/teams/haiti-under-20/79o6nzz3kagaiy0vx52f20wyd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=79o6nzz3kagaiy0vx52f20wyd,79o6nzz3kagaiy0vx52f20wyd,4zgnayjehgv2s60hrxwj7i6tw,concacaf-u20-2022-honduras
