equipo,link,logo,cod_equipo,cod_liga,liga
Canada Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/canada-under-20/5qvcqbokyp1y7obq46dtr5bkf,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=5qvcqbokyp1y7obq46dtr5bkf,5qvcqbokyp1y7obq46dtr5bkf,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
Costa Rica Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/costa-rica-under-20/4w76p408061aodqkpdgew48xk,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4w76p408061aodqkpdgew48xk,4w76p408061aodqkpdgew48xk,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
Cuba Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/cuba-under-20/6w3o62j2vskty0o5hhfmtg2yl,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=6w3o62j2vskty0o5hhfmtg2yl,6w3o62j2vskty0o5hhfmtg2yl,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
Dominican Republic Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/dominican-republic-under-20/5zbalg92fk44mjw04wnzyrlqt,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=5zbalg92fk44mjw04wnzyrlqt,5zbalg92fk44mjw04wnzyrlqt,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
El Salvador Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/el-salvador-under-20/1aq76gdfbogncnx6zezo71tqd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1aq76gdfbogncnx6zezo71tqd,1aq76gdfbogncnx6zezo71tqd,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
Guatemala Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/guatemala-under-20/naa2qdk0xvv3es4wtsgrzk6j,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=naa2qdk0xvv3es4wtsgrzk6j,naa2qdk0xvv3es4wtsgrzk6j,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
Haiti Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/haiti-under-20/79o6nzz3kagaiy0vx52f20wyd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=79o6nzz3kagaiy0vx52f20wyd,79o6nzz3kagaiy0vx52f20wyd,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
Honduras Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/honduras-under-20/44v7p7fl9l0ygyb1a768uwcpj,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=44v7p7fl9l0ygyb1a768uwcpj,44v7p7fl9l0ygyb1a768uwcpj,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
Jamaica Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/jamaica-under-20/7ozlb0ula1b2izgz9siyc77hc,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=7ozlb0ula1b2izgz9siyc77hc,7ozlb0ula1b2izgz9siyc77hc,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
Mexico Under 20,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/mexico-under-20/9x2gxl6xovekn482lxe6f8tap,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9x2gxl6xovekn482lxe6f8tap,9x2gxl6xovekn482lxe6f8tap,2ikrtgtzxbsu2y47gr7a01no4,concacaf-u20-2024-mexico
