dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
19,,Canada Under 20,Concacaf U20,Attacker,Canada,36zaipqgc0wezlywtiyplmdck,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/36zaipqgc0wezlywtiyplmdck
16,,Canada Under 20,Concacaf U20,Goalkeeper,Canada,3sh1nv3keatzqq5w1x6s8zdas,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/3sh1nv3keatzqq5w1x6s8zdas
6,,Canada Under 20,Concacaf U20,Midfielder,Canada,4e644yd0r3wsm9b87m0ff1q8k,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/4e644yd0r3wsm9b87m0ff1q8k
21,,Canada Under 20,Concacaf U20,Defender,Canada,57yplpr6jgwlqoon231ydqp04,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/57yplpr6jgwlqoon231ydqp04
2,,Canada Under 20,Concacaf U20,Defender,Canada,5l9js12tsf18c7st0oac3swes,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/5l9js12tsf18c7st0oac3swes
17,,Canada Under 20,Concacaf U20,Attacker,Canada,5lwarg9t4o7hxcq5exe8gwydw,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/5lwarg9t4o7hxcq5exe8gwydw
9,,Canada Under 20,Concacaf U20,Midfielder,Canada,5n7a8mn92t3qajms7udeolmok,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/5n7a8mn92t3qajms7udeolmok
12,,Canada Under 20,Concacaf U20,Defender,Canada,6t4bdbrph7kwcrbkrasw4x0r8,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/6t4bdbrph7kwcrbkrasw4x0r8
5,,Canada Under 20,Concacaf U20,Defender,Canada,8pvvljn4uasfjxdleh56pm38,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/8pvvljn4uasfjxdleh56pm38
10,Jessé Costa,Canada Under 20,Concacaf U20,Midfielder,Canada,96e9nyp0cesfw0v96uqvq0m50,5qvcqbokyp1y7obq46dtr5bkf,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/5qvcqbokyp1y7obq46dtr5bkf/player/view/96e9nyp0cesfw0v96uqvq0m50
