dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
7,,Honduras Under 20,Concacaf U20,Attacker,Honduras,22ulifxo4zixvfncdcmnzymms,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/22ulifxo4zixvfncdcmnzymms
17,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,2tz20qhjzattu0szqzqjjmv4k,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/2tz20qhjzattu0szqzqjjmv4k
3,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,3829zto1vfkpqw7tnrqcak9as,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/3829zto1vfkpqw7tnrqcak9as
2,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,4fqvitjj7eqhmt631v4caks9g,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/4fqvitjj7eqhmt631v4caks9g
20,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,5c97b4s8sk3saikxc1fomhhw,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/5c97b4s8sk3saikxc1fomhhw
4,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,5gmfibl8ogaq2uq54sr1fz4t0,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/5gmfibl8ogaq2uq54sr1fz4t0
13,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,6ab9ocmfrefzpx53l0k0cmfx0,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/6ab9ocmfrefzpx53l0k0cmfx0
19,,Honduras Under 20,Concacaf U20,Attacker,Honduras,7qah04w6p3cxbnyf5vguwq8lw,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/7qah04w6p3cxbnyf5vguwq8lw
1,,Honduras Under 20,Concacaf U20,Goalkeeper,Honduras,8shrihx5pvecaeh86x5k8br4k,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/8shrihx5pvecaeh86x5k8br4k
,,Honduras Under 20,Concacaf U20,,Honduras,at5d904jmjrd3enpr2cwvq0wk,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/at5d904jmjrd3enpr2cwvq0wk
6,,Honduras Under 20,Concacaf U20,Defender,Honduras,bfxjet51n1o8c9k58m2j210d0,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/bfxjet51n1o8c9k58m2j210d0
5,,Honduras Under 20,Concacaf U20,Defender,Honduras,byrg6hm9vm0zbmbioy2qtr1n8,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/byrg6hm9vm0zbmbioy2qtr1n8
21,,Honduras Under 20,Concacaf U20,Goalkeeper,Honduras,cah4w5dnl9goh1on050y6feok,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/cah4w5dnl9goh1on050y6feok
16,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,cbwhyb23aoji1ou36oi8ftmhg,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/cbwhyb23aoji1ou36oi8ftmhg
9,,Honduras Under 20,Concacaf U20,Attacker,Honduras,dl68mgckne8v0vs7bwgoys4,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/dl68mgckne8v0vs7bwgoys4
12,,Honduras Under 20,Concacaf U20,Goalkeeper,Honduras,ec0xt30gu3hk3xhyoauy7340k,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/ec0xt30gu3hk3xhyoauy7340k
10,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,elgekbo8qga7na9xhgwupw2l0,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/elgekbo8qga7na9xhgwupw2l0
18,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,f52fcfky3bu2hfz7urixvk178,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/f52fcfky3bu2hfz7urixvk178
14,,Honduras Under 20,Concacaf U20,Defender,Honduras,m67fu9wi3dk4q5e9di431c0k,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/m67fu9wi3dk4q5e9di431c0k
8,,Honduras Under 20,Concacaf U20,Midfielder,Honduras,vpbsq27klaantuu0pl61m3v8,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/vpbsq27klaantuu0pl61m3v8
15,Didier Paguada,Honduras Under 20,Concacaf U20,Midfielder,Honduras,xskwnq9b2hymvxxnl0bdd2c4,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/xskwnq9b2hymvxxnl0bdd2c4
11,,Honduras Under 20,Concacaf U20,Attacker,Honduras,ytuondt7viem6narft8s22ok,44v7p7fl9l0ygyb1a768uwcpj,adb905mfscuw4txwpwtwe6pjp,2ikrtgtzxbsu2y47gr7a01no4,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/teams/view/44v7p7fl9l0ygyb1a768uwcpj/player/view/ytuondt7viem6narft8s22ok
