liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,5c97b4s8sk3saikxc1fomhhw,J. Bueso,Midfielder,20.0,2,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,4fqvitjj7eqhmt631v4caks9g,D. Cacho,Midfielder,2.0,4,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,vpbsq27klaantuu0pl61m3v8,J. Castillo,Midfielder,8.0,4,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,2tz20qhjzattu0szqzqjjmv4k,N. Cruz,Midfielder,17.0,4,0,1,0,0,0,2,2
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,m67fu9wi3dk4q5e9di431c0k,C. Cubas,Defender,14.0,3,0,0,0,0,0,3,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,cah4w5dnl9goh1on050y6feok,E. Fuentes,Goalkeeper,21.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,byrg6hm9vm0zbmbioy2qtr1n8,J. García,Defender,5.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,bfxjet51n1o8c9k58m2j210d0,D. Herrera,Defender,6.0,4,0,0,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,cbwhyb23aoji1ou36oi8ftmhg,H. Lagos,Midfielder,16.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,f52fcfky3bu2hfz7urixvk178,B. López,Midfielder,18.0,2,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,6ab9ocmfrefzpx53l0k0cmfx0,J. Martínez,Midfielder,13.0,4,1,0,0,0,0,3,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,ec0xt30gu3hk3xhyoauy7340k,R. Mejía,Goalkeeper,12.0,1,0,0,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,ytuondt7viem6narft8s22ok,D. Moncada,Attacker,11.0,3,1,2,0,0,0,0,3
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,elgekbo8qga7na9xhgwupw2l0,R. Osorto,Attacker,10.0,4,1,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,xskwnq9b2hymvxxnl0bdd2c4,D. Paguada,Midfielder,15.0,3,2,1,0,0,0,1,2
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,8shrihx5pvecaeh86x5k8br4k,D. Paguada,Goalkeeper,1.0,4,0,0,0,0,0,0,1
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,22ulifxo4zixvfncdcmnzymms,J. Ponce,Attacker,7.0,4,1,1,0,0,0,0,3
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,3829zto1vfkpqw7tnrqcak9as,J. Ramos,Midfielder,3.0,4,0,2,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,5gmfibl8ogaq2uq54sr1fz4t0,A. Tatum,Defender,4.0,4,3,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,7qah04w6p3cxbnyf5vguwq8lw,M. Vásquez,Attacker,19.0,4,1,0,0,0,0,3,0
Concacaf_Concacaf_U20,2024 Mexico,Honduras Under 20,dl68mgckne8v0vs7bwgoys4,Á. Villatoro,Attacker,9.0,3,1,2,0,0,0,0,0
