dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Belize,Concacaf World Cup Qualifiers,Defender,Belize,14rixh9ru3aeh0gminqqpwi51,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/14rixh9ru3aeh0gminqqpwi51
,,Belize,Concacaf World Cup Qualifiers,Attacker,Belize,155f2lej0jqg9mfv5w3idqor9,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/155f2lej0jqg9mfv5w3idqor9
,,Belize,Concacaf World Cup Qualifiers,Goalkeeper,Belize,1r4els084hfwqu7jgo7pgh3op,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/1r4els084hfwqu7jgo7pgh3op
,,Belize,Concacaf World Cup Qualifiers,Midfielder,Belize,1ussycpcdq78zwo2zucod5gq1,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/1ussycpcdq78zwo2zucod5gq1
,,Belize,Concacaf World Cup Qualifiers,Defender,Belize,25bxqovy6ianiqoea59ymahg5,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/25bxqovy6ianiqoea59ymahg5
,,Belize,Concacaf World Cup Qualifiers,Defender,Belize,25qg4uyfha9sgby1tosy6ubpx,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/25qg4uyfha9sgby1tosy6ubpx
,,Belize,Concacaf World Cup Qualifiers,Attacker,Belize,2h9hsqc5w35fklmtleax7h68l,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/2h9hsqc5w35fklmtleax7h68l
,,Belize,Concacaf World Cup Qualifiers,Attacker,Belize,2jt8a5qz867irzv247sv7z0mh,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/2jt8a5qz867irzv247sv7z0mh
,,Belize,Concacaf World Cup Qualifiers,Attacker,Belize,2vt89wq2rpqya0i7xiws48cet,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/2vt89wq2rpqya0i7xiws48cet
,,Belize,Concacaf World Cup Qualifiers,Midfielder,Belize,2xervsff2jgnpwjjhuakznsut,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/2xervsff2jgnpwjjhuakznsut
,,Belize,Concacaf World Cup Qualifiers,Attacker,Belize,2y0a3vp0wokrzmli8h8kbhfpx,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/2y0a3vp0wokrzmli8h8kbhfpx
,,Belize,Concacaf World Cup Qualifiers,Midfielder,Belize,2zc4ufy566hes07wyvptgqlsl,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/2zc4ufy566hes07wyvptgqlsl
,,Belize,Concacaf World Cup Qualifiers,Midfielder,Belize,30jtweqwo11z3f0ejmg8t5nth,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/30jtweqwo11z3f0ejmg8t5nth
,,Belize,Concacaf World Cup Qualifiers,Defender,Belize,3bu8avm5wkr95hm6vnzxv5s6h,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/3bu8avm5wkr95hm6vnzxv5s6h
,,Belize,Concacaf World Cup Qualifiers,Attacker,Jamaica,3m4kchf73mypd1srg4b5t6ep5,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/3m4kchf73mypd1srg4b5t6ep5
,,Belize,Concacaf World Cup Qualifiers,Midfielder,Belize,4dobrysd9875hub65cwwphii1,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/4dobrysd9875hub65cwwphii1
,,Belize,Concacaf World Cup Qualifiers,Attacker,Belize,4jcyv0u19np3rfvw1v8gxey1h,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/4jcyv0u19np3rfvw1v8gxey1h
,,Belize,Concacaf World Cup Qualifiers,Defender,Belize,5g7jqm80mk6vx0kn5kvs1ofdh,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/5g7jqm80mk6vx0kn5kvs1ofdh
,,Belize,Concacaf World Cup Qualifiers,Defender,Belize,5x6d1v66fugg2rgoa4hz55pex,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/5x6d1v66fugg2rgoa4hz55pex
,,Belize,Concacaf World Cup Qualifiers,Defender,Belize,6lgsyzwmwmd7m5szyir5badbd,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/6lgsyzwmwmd7m5szyir5badbd
,,Belize,Concacaf World Cup Qualifiers,Midfielder,Belize,6m3o2bhnrxsexh6jrf6ur1x49,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/6m3o2bhnrxsexh6jrf6ur1x49
,,Belize,Concacaf World Cup Qualifiers,Defender,Belize,6mqux5ej0zbn4zdqazv2twzjd,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/6mqux5ej0zbn4zdqazv2twzjd
,,Belize,Concacaf World Cup Qualifiers,,Poland,6q3ocfuqr4bns5oxrdsf9wwdl,ad06y2rz0lcrn6dsone4cl4g5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/6q3ocfuqr4bns5oxrdsf9wwdl
