dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Defender,Turks and Caicos Islands,1acr0kwec6jmg1cvyym8zp49h,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/1acr0kwec6jmg1cvyym8zp49h
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Attacker,Turks and Caicos Islands,1ie0vde5axm4gsttqv5rsusph,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/1ie0vde5axm4gsttqv5rsusph
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Midfielder,Turks and Caicos Islands,2dp99hyp6w50gwo9dyaun41rd,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/2dp99hyp6w50gwo9dyaun41rd
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,,Turks and Caicos Islands,4s3iywy2wfn1mz6ehvsy78fs9,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/4s3iywy2wfn1mz6ehvsy78fs9
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Midfielder,Turks and Caicos Islands,4z6m26s0u1lwg4zvwzu820yjt,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/4z6m26s0u1lwg4zvwzu820yjt
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Midfielder,Turks and Caicos Islands,51mz9rkucj2e8lcert22hskq1,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/51mz9rkucj2e8lcert22hskq1
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Midfielder,Turks and Caicos Islands,5nf3439f93qjhhzhql9o62fhl,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/5nf3439f93qjhhzhql9o62fhl
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Midfielder,Turks and Caicos Islands,79kejg64pq0wy4obbcc9samll,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/79kejg64pq0wy4obbcc9samll
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Attacker,Turks and Caicos Islands,7n4p43v72yef7xjp8iymuk3it,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/7n4p43v72yef7xjp8iymuk3it
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Defender,Turks and Caicos Islands,870199yobp3zk3m156r5y5sd1,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/870199yobp3zk3m156r5y5sd1
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,,England,89nm8smqzwyrx73qxm5fc4id,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/89nm8smqzwyrx73qxm5fc4id
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Attacker,Turks and Caicos Islands,8yaq6ut8mfev94askqe9ntm95,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/8yaq6ut8mfev94askqe9ntm95
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Attacker,Turks and Caicos Islands,bimplxeyjuvp5cq5rkzyv913p,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/bimplxeyjuvp5cq5rkzyv913p
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Attacker,Turks and Caicos Islands,bjgj57oofdg300do73inocwr9,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/bjgj57oofdg300do73inocwr9
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Attacker,Turks and Caicos Islands,bjwvwkninkosus5ee5acofs9h,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/bjwvwkninkosus5ee5acofs9h
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Attacker,Turks and Caicos Islands,bk64gjmizdopapt723wxnkf6d,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/bk64gjmizdopapt723wxnkf6d
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Goalkeeper,Turks and Caicos Islands,bkfemud6kb12ea22toi75o2qd,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/bkfemud6kb12ea22toi75o2qd
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Defender,Turks and Caicos Islands,bkl7r3nlo3ru28dylmnfusrmd,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/bkl7r3nlo3ru28dylmnfusrmd
,,Turks and Caicos Islands,Turks_and_Caicos_Islands,Concacaf World Cup Qualifiers,Goalkeeper,Turks and Caicos Islands,bynzet68o3b751wvq05xq18tl,cc0hi2guykoqjj15atvrsmgs5,3a0j0giz3c3ajw9h59evv7lqt,7uo9ksdq9qhtldj1zr86sbi6t,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2018-russia/7uo9ksdq9qhtldj1zr86sbi6t/teams/view/cc0hi2guykoqjj15atvrsmgs5/player/view/bynzet68o3b751wvq05xq18tl
