liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Appearances,Leftside Passes,Total Passes,Unsuccessful Short Passes,Total Losses Of Possession,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Open Play Passes,Rightside Passes,Successful Passes Own Half,Unsuccessful Long Passes,Open Play Passes,Starts,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Saves Made from Inside Box,Total Clearances,Touches,Index,Penalties Faced,Punches,Recoveries,Unsuccessful Passes Own Half,Goals Conceded,Saves Made from Outside Box,Successful Short Passes,Goals Conceded Inside Box,Saves Made,Unsuccessful Passes Opposition Half,GK Successful Distribution,Unsuccessful Launches,Penalty Goals Conceded,Saves made - parried,Home Goals,Away Goals,Winning Goal,Total Tackles,Foul Attempted Tackle,Ground Duels,Duels,Successful Passes Opposition Half,Times Tackled,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Duels won,Ground Duels won,Duels lost,Successful Dribbles,Tackles Won,Total Fouls Won,Total Fouls Conceded,Ground Duels lost,Backward Passes,PutThrough/Blocked Distribution,Successful Long Passes,Aerial Duels,Interceptions,Aerial Duels lost,Throw Ins to Own Player,Aerial Duels won,Handballs conceded,Unsuccessful lay-offs,Throw Ins to Opposition Player,Tackles Lost,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Total Touches In Opposition Box,Successful Launches,Blocks,Penalties Conceded,Offsides,Blocked Shots,Key Passes (Attempt Assists),Right Foot Goals,Total Shots,Shots On Target ( inc goals ),Goals from Inside Box,GK Unsuccessful Distribution,Successful Crosses & Corners,Successful Lay-offs,Successful Crosses open play,Shots Off Target (inc woodwork),Goals from Outside Box,Assists (Intentional),Attempts from Set Pieces,Corners Won,Left Foot Goals,Overruns,Goal Assists,Clean Sheets,Goalkeeper Smother,Saves made - caught,Goal Kicks,Drops,Catches,Unsuccessful Corners into Box,Corners Taken (incl short corners),Headed Goals,Hit Woodwork,Foul Won Penalty,Successful Corners into Box,Penalties Taken,Penalty Goals,Through balls,Second Goal Assists,Saves from Penalty,Penalties Saved,Goals Conceded Outside Box,Own Goal Scored,Clearances Off the Line,Penalties Off Target,Set Pieces Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,84krgh1swq0ul9b6eowjs05p1,S. Adekugbe,Defender,0.0,18.0,1.0,2.0,,,,7.0,3.0,18.0,32.0,581.0,95.0,192.0,229.0,109.0,462.0,210.0,232.0,14.0,570.0,11.0,472.0,1105.0,,14.0,903.0,12.0,,,85.0,35.0,4.0,,455.0,4.0,,99.0,,4.0,,,1.0,0.0,0.0,18.0,4.0,72.0,122.0,248.0,15.0,9.0,12.0,68.0,37.0,54.0,8.0,8.0,13.0,18.0,35.0,110.0,30.0,17.0,50.0,27.0,19.0,109.0,31.0,2.0,,14.0,10.0,25.0,24.0,17.0,,2.0,,,1.0,15.0,,7.0,2.0,,,8.0,1.0,8.0,5.0,1.0,2.0,2.0,10.0,1.0,4.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,3oz349uss092g2kxi8adsj4l,M. Borjan,Goalkeeper,0.0,14.0,,,,,,,,14.0,60.0,341.0,4.0,163.0,243.0,161.0,110.0,38.0,143.0,157.0,183.0,14.0,180.0,1260.0,18.0,12.0,447.0,12.0,1.0,10.0,101.0,38.0,5.0,11.0,101.0,5.0,30.0,123.0,90.0,63.0,1.0,6.0,,,0.0,1.0,,1.0,8.0,37.0,,,,7.0,1.0,1.0,,1.0,,,,,2.0,79.0,7.0,,1.0,,6.0,,,,,,,,20.0,,,,,,,,,,36.0,,,,,,,,,,,,9.0,2.0,1.0,77.0,4.0,3.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,3dtxx6whin53g58f5rz9xil7t,Z. Brault-Guillard,Defender,2.0,2.0,1.0,,,,,2.0,,2.0,11.0,31.0,3.0,9.0,14.0,4.0,27.0,1.0,10.0,1.0,31.0,,27.0,63.0,,1.0,52.0,76.0,,,4.0,1.0,,,27.0,,,4.0,,,,,0.0,1.0,0.0,1.0,,4.0,4.0,18.0,2.0,,,2.0,2.0,2.0,1.0,1.0,,,2.0,5.0,2.0,,,2.0,,5.0,,,,,,1.0,,4.0,,,,,,,1.0,2.0,2.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,c3j7ddqg0yzporam6gieibgiy,C. Brym,Forward,0.0,3.0,,1.0,,,,3.0,,3.0,1.0,4.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,,4.0,,3.0,14.0,,,12.0,5.0,,,2.0,,,,3.0,,,2.0,,,,,,,0.0,1.0,,6.0,6.0,2.0,1.0,,1.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,acx78ftnm61hm01wpmme77hbe,T. Buchanan,Midfielder,0.0,17.0,3.0,3.0,,,,5.0,2.0,17.0,101.0,277.0,56.0,188.0,72.0,59.0,214.0,31.0,65.0,3.0,273.0,12.0,218.0,1119.0,,4.0,575.0,12.0,,,56.0,12.0,6.0,,213.0,6.0,,71.0,,,1.0,,3.0,0.0,0.0,18.0,11.0,168.0,195.0,156.0,54.0,36.0,14.0,94.0,81.0,101.0,24.0,10.0,39.0,24.0,87.0,73.0,19.0,5.0,27.0,4.0,14.0,15.0,13.0,1.0,,2.0,8.0,24.0,24.0,64.0,,,1.0,3.0,8.0,4.0,2.0,19.0,6.0,3.0,,3.0,2.0,3.0,13.0,,4.0,,16.0,,3.0,4.0,6.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,cdeomoi09osphftlezrqa7qol,L. Cavallini,Forward,9.0,10.0,5.0,2.0,,,,7.0,3.0,10.0,20.0,67.0,16.0,37.0,14.0,17.0,44.0,15.0,13.0,1.0,61.0,3.0,50.0,315.0,,5.0,150.0,17.0,,,7.0,2.0,3.0,,50.0,3.0,,16.0,,,,,0.0,5.0,1.0,3.0,4.0,37.0,51.0,40.0,9.0,5.0,7.0,22.0,17.0,29.0,2.0,2.0,12.0,8.0,20.0,18.0,9.0,,14.0,1.0,9.0,,5.0,,,,1.0,1.0,1.0,34.0,,2.0,,1.0,1.0,5.0,2.0,18.0,9.0,5.0,,3.0,1.0,3.0,9.0,,,,6.0,,2.0,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,50hgwzmx3e9u4q8y8rryqmh62,T. Corbeanu,Forward,0.0,3.0,1.0,,,,,2.0,1.0,3.0,17.0,63.0,7.0,18.0,25.0,7.0,54.0,9.0,7.0,,61.0,1.0,56.0,119.0,,,101.0,52.0,,,5.0,,,,56.0,,,12.0,,,,,1.0,0.0,0.0,2.0,,14.0,14.0,52.0,3.0,2.0,1.0,9.0,9.0,5.0,4.0,2.0,3.0,1.0,5.0,12.0,4.0,,,1.0,,2.0,,,,,,5.0,4.0,13.0,,,,,3.0,4.0,1.0,8.0,3.0,1.0,,3.0,1.0,2.0,5.0,,,1.0,2.0,,,,,,,,,,1.0,3.0,,1.0,,1.0,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,7ujr3n286xjhtwsrckvkbldxx,D. Cornelius,Defender,0.0,1.0,,,,,,,,1.0,14.0,50.0,5.0,12.0,19.0,10.0,36.0,12.0,30.0,5.0,46.0,1.0,40.0,90.0,,8.0,68.0,81.0,,,7.0,2.0,,,38.0,,,8.0,,,,,,,0.0,1.0,1.0,7.0,13.0,10.0,,,1.0,10.0,6.0,3.0,,1.0,5.0,2.0,1.0,5.0,1.0,2.0,6.0,,2.0,,4.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,6nmcuw8asxh6k3l5khx5atmfp,M. Crépeau,Goalkeeper,0.0,5.0,,,,,,,,5.0,18.0,91.0,,26.0,53.0,26.0,36.0,19.0,59.0,26.0,47.0,5.0,65.0,450.0,1.0,3.0,127.0,15.0,,1.0,38.0,8.0,3.0,5.0,54.0,3.0,6.0,18.0,45.0,9.0,,3.0,,,0.0,1.0,,1.0,4.0,6.0,,,,4.0,1.0,,,1.0,1.0,,,1.0,,11.0,3.0,,,,3.0,,,,,,,,4.0,,,,,,,,,,7.0,,,,,,,,,,,,2.0,,1.0,31.0,,3.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Canada,b8dd5q3n5irlkcv0ekzqhzc2x,J. David,Forward,0.0,18.0,9.0,,,,,3.0,11.0,18.0,85.0,324.0,67.0,166.0,83.0,71.0,243.0,69.0,68.0,4.0,314.0,15.0,253.0,1341.0,,2.0,579.0,12.0,,,46.0,12.0,5.0,,247.0,5.0,,62.0,,2.0,1.0,,6.0,3.0,1.0,10.0,5.0,132.0,158.0,185.0,45.0,17.0,6.0,73.0,67.0,85.0,23.0,6.0,34.0,12.0,65.0,87.0,15.0,6.0,26.0,6.0,20.0,3.0,6.0,1.0,,,4.0,3.0,3.0,87.0,,1.0,,4.0,7.0,13.0,3.0,38.0,26.0,7.0,,,6.0,,12.0,2.0,4.0,,18.0,5.0,1.0,5.0,2.0,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,
