dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Cuba,Concacaf World Cup Qualifiers,Midfielder,Cuba,149e0976f3z4hj47v20xjjt2h,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/149e0976f3z4hj47v20xjjt2h
,,Cuba,Concacaf World Cup Qualifiers,Midfielder,Cuba,1mpb5g18idyamhyxzmjqq5q8k,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/1mpb5g18idyamhyxzmjqq5q8k
,,Cuba,Concacaf World Cup Qualifiers,Defender,Cuba,1wcq33p7w71u1mkdk349gicph,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/1wcq33p7w71u1mkdk349gicph
,,Cuba,Concacaf World Cup Qualifiers,Midfielder,Cuba,1wwbz2sh6xwhyilqjltpwc1ec,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/1wwbz2sh6xwhyilqjltpwc1ec
,,Cuba,Concacaf World Cup Qualifiers,Midfielder,Cuba,2tnql71j1ul8hkxxbq63lgj6c,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/2tnql71j1ul8hkxxbq63lgj6c
,,Cuba,Concacaf World Cup Qualifiers,Goalkeeper,Cuba,3314p7lxcs50nqhucj2rxjc2x,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/3314p7lxcs50nqhucj2rxjc2x
,,Cuba,Concacaf World Cup Qualifiers,Defender,Cuba,3csmn5dhalsy6wlu5xonxhboq,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/3csmn5dhalsy6wlu5xonxhboq
,,Cuba,Concacaf World Cup Qualifiers,Defender,Cuba,3grqr9afv6w18043yx4nrpsa2,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/3grqr9afv6w18043yx4nrpsa2
,,Cuba,Concacaf World Cup Qualifiers,Defender,Cuba,3ow3jsuzs1v8lpcs5v4seuy38,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/3ow3jsuzs1v8lpcs5v4seuy38
,,Cuba,Concacaf World Cup Qualifiers,Goalkeeper,Cuba,470xuwiwevwy86l2ararrkyga,m49kr6rapkqh6zbqdm01w3sj,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/m49kr6rapkqh6zbqdm01w3sj/player/view/470xuwiwevwy86l2ararrkyga
