dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Curaçao,Concacaf World Cup Qualifiers,Attacker,Curaçao,1j835btnkq15067iuoe5teuvp,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/1j835btnkq15067iuoe5teuvp
,,Curaçao,Concacaf World Cup Qualifiers,Attacker,Curaçao,1jeb7li66vn913oub7t7l7x79,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/1jeb7li66vn913oub7t7l7x79
,,Curaçao,Concacaf World Cup Qualifiers,Defender,Curaçao,1jn9jog8ou8uxnmypneksizxm,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/1jn9jog8ou8uxnmypneksizxm
,,Curaçao,Concacaf World Cup Qualifiers,Defender,Curaçao,1wuw256loqcnbug59emifgnah,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/1wuw256loqcnbug59emifgnah
,,Curaçao,Concacaf World Cup Qualifiers,Attacker,Curaçao,211rjftbmfp4lbow5ir1w0vai,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/211rjftbmfp4lbow5ir1w0vai
,,Curaçao,Concacaf World Cup Qualifiers,Defender,Curaçao,2b0bxphy9zvxfgh3wkt7yv7bp,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/2b0bxphy9zvxfgh3wkt7yv7bp
,,Curaçao,Concacaf World Cup Qualifiers,Goalkeeper,Curaçao,2devq4kf636034t4r25zexiad,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/2devq4kf636034t4r25zexiad
,,Curaçao,Concacaf World Cup Qualifiers,Midfielder,Curaçao,2yoahq023i3fbdlezw54jv00l,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/2yoahq023i3fbdlezw54jv00l
,,Curaçao,Concacaf World Cup Qualifiers,Attacker,Curaçao,3a89nlkh1p3l3qi6o70uzp5ud,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/3a89nlkh1p3l3qi6o70uzp5ud
,,Curaçao,Concacaf World Cup Qualifiers,Attacker,Curaçao,3mcj3wypzq3lno1ehc0vif1sl,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/3mcj3wypzq3lno1ehc0vif1sl
,,Curaçao,Concacaf World Cup Qualifiers,Goalkeeper,Curaçao,3z330ov3n2ryghx9kk3akc91x,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/3z330ov3n2ryghx9kk3akc91x
,,Curaçao,Concacaf World Cup Qualifiers,Defender,Curaçao,4dxznpr3xwrf1elpc33nm7kd1,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/4dxznpr3xwrf1elpc33nm7kd1
,,Curaçao,Concacaf World Cup Qualifiers,Midfielder,Curaçao,583wnn0taorouwtdcq3vv2llh,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/583wnn0taorouwtdcq3vv2llh
,,Curaçao,Concacaf World Cup Qualifiers,Midfielder,Curaçao,5cvstzkb7l1zxapx0dt4zjkoa,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/5cvstzkb7l1zxapx0dt4zjkoa
,,Curaçao,Concacaf World Cup Qualifiers,Defender,Curaçao,5fcaaack3wbn6nfdx1qoqoafp,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/5fcaaack3wbn6nfdx1qoqoafp
,,Curaçao,Concacaf World Cup Qualifiers,Defender,Aruba,5juhorr4ejzqvfb3d0jdcvsa1,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/5juhorr4ejzqvfb3d0jdcvsa1
,,Curaçao,Concacaf World Cup Qualifiers,Defender,Curaçao,5p8jind3yq077ligjqla5zv11,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/5p8jind3yq077ligjqla5zv11
,,Curaçao,Concacaf World Cup Qualifiers,Goalkeeper,Curaçao,5phs46vnv8sxrgc860g95l1p1,3csexoalt9hfesmo2p4619ga4,3a0j0giz3c3ajw9h59evv7lqt,8atuetifgnlt3q6oprwn7x9pm,https://www.scoresway.com/en_GB/soccer/concacaf-world-cup-qualifiers-2022-qatar/8atuetifgnlt3q6oprwn7x9pm/teams/view/3csexoalt9hfesmo2p4619ga4/player/view/5phs46vnv8sxrgc860g95l1p1
