liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded,Forward Passes,Interceptions,Substitute On,Total Losses Of Possession,Total Passes,Successful Launches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Open Play Passes,Unsuccessful Passes Opposition Half,Throw Ins to Own Player,Own Goal Scored,Games Played,Unsuccessful Launches,Open Play Passes,Blocks,Goals Conceded Inside Box,Successful Long Passes,Unsuccessful Long Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Successful Passes Opposition Half,Touches,Index,Appearances,Winning Goal,Goal Kicks,Saves made - parried,Penalties Faced,Successful Passes Own Half,Total Clearances,GK Successful Distribution,Penalty Goals Conceded,Rightside Passes,GK Unsuccessful Distribution,Recoveries,Unsuccessful Passes Own Half,Goals Conceded Outside Box,Successful Short Passes,Saves Made from Inside Box,Punches,Duels,Duels won,Aerial Duels,Starts,Saves Made,Aerial Duels won,Saves Made from Outside Box,Leftside Passes,Tackles Won,Foul Attempted Tackle,Tackles Lost,Total Tackles,Total Fouls Conceded,Handballs conceded,Duels lost,Total Touches In Opposition Box,Ground Duels lost,Ground Duels won,Substitute Off,Aerial Duels lost,Unsuccessful Short Passes,Ground Duels,Successful Lay-offs,Shots Off Target (inc woodwork),Clean Sheets,Backward Passes,Yellow Cards,Offsides,PutThrough/Blocked Distribution,Total Shots,Shots On Target ( inc goals ),PutThrough/Blocked Distribution Won,Unsuccessful Dribbles,Unsuccessful lay-offs,Times Tackled,Successful Dribbles,Unsuccessful Crosses & Corners,Corners Taken (incl short corners),Successful Crosses & Corners,Unsuccessful Crosses open play,Total Fouls Won,Successful Corners into Box,Through balls,Penalties Conceded,Blocked Shots,Penalties Taken,Throw Ins to Opposition Player,Clearances Off the Line,Overruns,Key Passes (Attempt Assists),Catches,Crosses not Claimed,Last Player Tackle,Right Foot Goals,Goals from Inside Box,Goals,Corners Won,Penalty Goals,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Unsuccessful Corners into Box,Goal Assists,Successful Crosses open play,Goals from Outside Box,Saves from Penalty,Penalties Saved,Total Red Cards,Straight Red Cards,Saves made - caught,Headed Goals,Second Goal Assists,Goalkeeper Smother,Foul Won Penalty,Red Cards - 2nd Yellow,Penalties Off Target,Hit Woodwork,Left Foot Goals,Carries,Progressive Carries,Total Big Chances Created,Total Big Chances Scored,Final Third Touches,Total Big Chances Missed,Drops,Total Big Chances Saved,Goals Openplay,Set Pieces Goals,Direct Setpiece Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,u2r4yg27xxua6eri0yxeapd5,G. Amory,Midfielder,0,7.0,20.0,,1.0,45.0,77.0,1.0,17.0,58.0,17.0,1.0,,4.0,,74.0,,7.0,3.0,1.0,60.0,202.0,41.0,132.0,22.0,4.0,0.0,,,,19.0,1.0,,1.0,30.0,,12.0,3.0,,57.0,,,31.0,15.0,3.0,3.0,,,,3.0,4.0,1.0,,4.0,1.0,,16.0,9.0,13.0,15.0,3.0,3.0,16.0,28.0,,1.0,,24.0,,1.0,5.0,4.0,3.0,2.0,5.0,,9.0,4.0,3.0,4.0,,1.0,7.0,,1.0,,1.0,,,,3.0,3.0,,,,1.0,,1.0,2.0,,0.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,9xgy4pzbc717eynmza0henget,J. Archibald,Goalkeeper,0,13.0,60.0,,,32.0,101.0,3.0,30.0,36.0,19.0,,,4.0,11.0,45.0,,11.0,18.0,28.0,71.0,360.0,10.0,158.0,18.0,4.0,0.0,38.0,6.0,2.0,61.0,4.0,52.0,1.0,22.0,12.0,37.0,11.0,2.0,53.0,14.0,3.0,5.0,3.0,2.0,4.0,19.0,2.0,5.0,19.0,,1.0,,,1.0,,2.0,,2.0,1.0,,,2.0,3.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,1or3smjxqq8ldh9zuaa940onp,J. Bowery,Defender,0,9.0,32.0,1.0,,6.0,56.0,3.0,6.0,48.0,2.0,5.0,,2.0,1.0,54.0,2.0,8.0,4.0,1.0,50.0,180.0,14.0,76.0,10.0,2.0,0.0,,,,36.0,9.0,,1.0,9.0,,5.0,4.0,1.0,46.0,,,13.0,5.0,3.0,2.0,,2.0,,9.0,3.0,4.0,,3.0,5.0,,8.0,,7.0,3.0,,1.0,5.0,10.0,,,,6.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,djan9rr1ailimdulfy31mkis4,K. Brigewater,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,41effdztsrt4lvypjgmeg8nsa,E. Bristow,Defender,0,4.0,26.0,4.0,,27.0,56.0,3.0,13.0,42.0,12.0,15.0,,2.0,4.0,55.0,,3.0,6.0,6.0,43.0,180.0,28.0,114.0,46.0,2.0,1.0,,,,17.0,9.0,,,16.0,,9.0,4.0,1.0,37.0,,,18.0,10.0,2.0,2.0,,1.0,,3.0,3.0,1.0,1.0,4.0,3.0,,8.0,5.0,7.0,9.0,,1.0,7.0,16.0,,,1.0,11.0,,,1.0,1.0,1.0,,3.0,,4.0,1.0,3.0,1.0,2.0,2.0,4.0,,,,,,2.0,,1.0,2.0,,,,,1.0,1.0,2.0,,1.0,0.0,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,drzj0g1k44y6l52o4w68qgqvo,N. Browne,Midfielder,0,3.0,19.0,1.0,4.0,6.0,36.0,,5.0,31.0,5.0,,,4.0,,36.0,,3.0,3.0,3.0,31.0,49.0,18.0,46.0,29.0,4.0,0.0,,,,13.0,,,,11.0,,2.0,,,28.0,,,9.0,5.0,1.0,,,1.0,,4.0,2.0,1.0,1.0,3.0,2.0,,4.0,,4.0,4.0,,,2.0,8.0,,2.0,,2.0,,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,bx9ol6nw0rhk5vru59dmhi1gp,A. Burley,Defender,0,10.0,76.0,3.0,,29.0,127.0,4.0,27.0,96.0,21.0,2.0,,3.0,12.0,120.0,2.0,8.0,13.0,19.0,100.0,270.0,32.0,161.0,21.0,3.0,0.0,,,,68.0,11.0,,1.0,19.0,,8.0,6.0,2.0,87.0,,,19.0,12.0,8.0,3.0,,5.0,,26.0,,1.0,3.0,3.0,2.0,,7.0,2.0,4.0,7.0,,3.0,8.0,11.0,,1.0,1.0,6.0,,,,1.0,,,1.0,,1.0,2.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,beku23vpp4qu2isizm5oz27mc,T. Davis,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,alqmxswcwhqoc4ejnjl4pbu38,D. Edwards,Forward,0,2.0,,,1.0,2.0,3.0,,1.0,1.0,1.0,,,1.0,,2.0,,2.0,,,2.0,13.0,1.0,4.0,1.0,1.0,0.0,,,,1.0,,,,,,1.0,,,2.0,,,2.0,,,,,,,,,,,,1.0,,2.0,,2.0,,,,1.0,2.0,,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,St. Kitts and Nevis,7l9dhnj6mhuys696cpfh3umtw,T. Fahie,Forward,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
