root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Short Passes,Duels,Goals Conceded,Total Tackles,Rightside Passes,Total Losses Of Possession,Unsuccessful Passes Own Half,Successful Passes Own Half,Goals Conceded Inside Box,Shots On Target ( inc goals ),Unsuccessful Long Passes,Recoveries,PutThrough/Blocked Distribution,Touches,Total Shots,Total Passes,Aerial Duels,Starts,Ground Duels lost,Interceptions,Appearances,Leftside Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Aerial Duels won,Time Played,Throw Ins to Own Player,Backward Passes,Successful Passes Opposition Half,Successful Open Play Passes,Successful Short Passes,Index,Tackles Won,Ground Duels won,Ground Duels,Total Touches In Opposition Box,Aerial Duels lost,Successful Long Passes,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Clearances,Unsuccessful Passes Opposition Half,Duels won,Corners Won,Games Played,Duels lost,Winning Goal,Unsuccessful Crosses & Corners,Right Foot Goals,Throw Ins to Opposition Player,Penalties Taken,Unsuccessful lay-offs,Goals,Successful Lay-offs,Successful Corners into Box,Total Fouls Won,Corners Taken (incl short corners),Total Fouls Conceded,Unsuccessful Corners into Box,Times Tackled,Blocked Shots,Key Passes (Attempt Assists),Unsuccessful Dribbles,Successful Dribbles,Through balls,Goals from Outside Box,Attempts from Set Pieces,Shots Off Target (inc woodwork),Successful Crosses & Corners,Home Goals,Away Goals,PutThrough/Blocked Distribution Won,Substitute On,Tackles Lost,Foul Attempted Tackle,Foul Won Penalty,Unsuccessful Crosses open play,Yellow Cards,Substitute Off,Offsides,Goal Kicks,Saves Made from Inside Box,Saves Made,Saves Made from Outside Box,Saves made - parried,GK Successful Distribution,GK Unsuccessful Distribution,Blocks,Successful Crosses open play,Hit Woodwork,Unsuccessful Launches,Clean Sheets,Successful Launches,Overruns,Handballs conceded,Goals from Inside Box,Headed Goals,Left Foot Goals,Second Goal Assists,Goal Assists,Assists (Intentional),Penalties Conceded,Red Cards - 2nd Yellow,Clearances Off the Line,Total Red Cards,Penalties Saved,Saves from Penalty,Catches,Punches,Penalties Faced,Goalkeeper Smother,Own Goal Scored,Goals Conceded Outside Box,Penalty Goals,Straight Red Cards,Penalty Goals Conceded,Saves made - caught,Crosses not Claimed,Other Goals,Last Man Tackle,Drops,Set Pieces Goals
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,9xaps7t7xtt5x3grjpbgxtfit,R. Aguirre,Forward,29,,4.0,,,,2.0,,2.0,,,,1.0,,7.0,,3.0,,1.0,4.0,,1.0,,3.0,2.0,,25.0,,2.0,1.0,2.0,3.0,10.0,,,4.0,,,,1.0,,,,,,1.0,4.0,0.0,,,,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,aevk7yjo0gjbppcpqeb0siead,É. Aguirre,Midfielder,14,22.0,28.0,4.0,9.0,8.0,62.0,11.0,46.0,3.0,2.0,13.0,29.0,7.0,257.0,3.0,159.0,8.0,5.0,9.0,7.0,5.0,57.0,124.0,158.0,1.0,393.0,28.0,30.0,84.0,123.0,116.0,10.0,7.0,11.0,20.0,7.0,7.0,8.0,64.0,35.0,8.0,42.0,12.0,5.0,5.0,16.0,0.0,18.0,,4.0,,,,,,2.0,,1.0,,2.0,,6.0,2.0,,1.0,,,1.0,6.0,,,3.0,,2.0,1.0,,18.0,1.0,2.0,,,,,,,,,,6.0,1.0,5.0,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,5e1an2e7bnk0269e1tvislv4l,E. Andrada,Goalkeeper,1,6.0,5.0,6.0,1.0,42.0,48.0,18.0,137.0,5.0,,42.0,59.0,1.0,275.0,,205.0,3.0,6.0,,,6.0,49.0,157.0,141.0,3.0,540.0,,,20.0,112.0,119.0,10.0,1.0,2.0,2.0,,,38.0,114.0,48.0,7.0,30.0,5.0,,6.0,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,37.0,16.0,22.0,6.0,5.0,59.0,8.0,,,,7.0,3.0,,,,,,,,,,,,,,,,6.0,5.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,bfwr4kqbk0sqnlv8he4hyezft,G. Berterame,Forward,9,5.0,18.0,2.0,,17.0,15.0,1.0,13.0,1.0,10.0,,11.0,3.0,95.0,16.0,52.0,3.0,3.0,7.0,,3.0,15.0,47.0,49.0,3.0,257.0,,15.0,34.0,44.0,45.0,10.0,,8.0,15.0,20.0,,2.0,5.0,5.0,2.0,4.0,11.0,3.0,3.0,7.0,0.0,,3.0,,1.0,,5.0,1.0,,6.0,,2.0,,6.0,1.0,,3.0,2.0,,,,6.0,,5.0,0.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,1.0,,1.0,5.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,75079gtd2efpviyo605ozsd79,Sergio Canales,Midfielder,10,18.0,25.0,5.0,2.0,31.0,44.0,7.0,30.0,5.0,4.0,5.0,14.0,6.0,235.0,7.0,167.0,7.0,3.0,10.0,2.0,5.0,56.0,144.0,163.0,4.0,314.0,1.0,45.0,123.0,141.0,139.0,10.0,1.0,8.0,18.0,12.0,3.0,5.0,35.0,23.0,1.0,30.0,12.0,3.0,5.0,13.0,1.0,14.0,,,2.0,,2.0,2.0,5.0,5.0,17.0,3.0,11.0,3.0,4.0,15.0,2.0,1.0,,,,3.0,9.0,0.0,2.0,4.0,2.0,1.0,2.0,,3.0,,,,,,,,,,,,2.0,,,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,5j7oruxyg8s7k77k8qw63yh3o,E. Carballo,Forward,192,,12.0,1.0,,,5.0,,1.0,1.0,,,,,21.0,1.0,9.0,1.0,,7.0,,1.0,5.0,9.0,9.0,1.0,45.0,,1.0,8.0,9.0,9.0,10.0,,4.0,11.0,,,,3.0,,,,5.0,,1.0,7.0,0.0,,,,,,,,,2.0,,3.0,,3.0,1.0,,3.0,2.0,,,,1.0,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,eycdwe8plhkcxgo1bjyq4q6sp,J. Cortizo,Midfielder,19,12.0,59.0,5.0,7.0,33.0,40.0,2.0,31.0,5.0,7.0,,11.0,8.0,234.0,10.0,150.0,6.0,2.0,24.0,3.0,7.0,44.0,138.0,148.0,2.0,339.0,,35.0,107.0,136.0,137.0,10.0,5.0,29.0,53.0,12.0,4.0,1.0,38.0,12.0,,14.0,31.0,3.0,7.0,28.0,1.0,4.0,1.0,,,,1.0,4.0,,11.0,4.0,3.0,2.0,13.0,1.0,6.0,8.0,11.0,,1.0,,3.0,,1.0,0.0,4.0,5.0,2.0,2.0,,2.0,2.0,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,7868bje3gt1j3zhtps28oluc5,L. Cárdenas,Goalkeeper,22,,3.0,3.0,,10.0,3.0,3.0,33.0,3.0,,3.0,13.0,,59.0,,36.0,,1.0,,,1.0,11.0,33.0,30.0,,90.0,,,,30.0,26.0,10.0,,3.0,3.0,,,7.0,15.0,3.0,2.0,,3.0,,1.0,,0.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,4.0,6.0,2.0,2.0,11.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,d1x4vhct28s8ugrijv2hhvcic,I. Fimbres,Midfielder,204,2.0,4.0,2.0,1.0,7.0,5.0,,7.0,2.0,,,2.0,,24.0,,18.0,,1.0,2.0,,1.0,2.0,16.0,18.0,,45.0,,7.0,9.0,16.0,15.0,10.0,1.0,2.0,4.0,,,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,2.0,0.0,,,1.0,,,,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,CF Monterrey,CF_Monterrey,12fkwhjtu3w5l6lo64dkxn74l,R. Funes Mori,Forward,7,14.0,33.0,6.0,,29.0,35.0,2.0,19.0,5.0,3.0,,14.0,2.0,135.0,7.0,78.0,19.0,4.0,10.0,,7.0,26.0,64.0,72.0,8.0,408.0,,15.0,45.0,58.0,61.0,10.0,,4.0,14.0,20.0,11.0,3.0,8.0,14.0,7.0,12.0,12.0,4.0,7.0,21.0,1.0,,,,,1.0,1.0,8.0,,4.0,,6.0,,5.0,5.0,3.0,,,,,,4.0,,0.0,1.0,2.0,3.0,,4.0,,,1.0,2.0,2.0,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
