root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Short Passes,Duels,Goals Conceded,Total Tackles,Rightside Passes,Total Losses Of Possession,Unsuccessful Passes Own Half,Successful Passes Own Half,Goals Conceded Inside Box,Shots On Target ( inc goals ),Unsuccessful Long Passes,Recoveries,PutThrough/Blocked Distribution,Touches,Total Shots,Total Passes,Aerial Duels,Starts,Ground Duels lost,Interceptions,Appearances,Leftside Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Aerial Duels won,Time Played,Throw Ins to Own Player,Backward Passes,Successful Passes Opposition Half,Successful Open Play Passes,Successful Short Passes,Index,Tackles Won,Ground Duels won,Ground Duels,Total Touches In Opposition Box,Aerial Duels lost,Successful Long Passes,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Clearances,Unsuccessful Passes Opposition Half,Duels won,Corners Won,Games Played,Duels lost,Winning Goal,Unsuccessful Crosses & Corners,Right Foot Goals,Throw Ins to Opposition Player,Penalties Taken,Unsuccessful lay-offs,Goals,Successful Lay-offs,Successful Corners into Box,Total Fouls Won,Corners Taken (incl short corners),Total Fouls Conceded,Unsuccessful Corners into Box,Times Tackled,Blocked Shots,Key Passes (Attempt Assists),Unsuccessful Dribbles,Successful Dribbles,Through balls,Goals from Outside Box,Attempts from Set Pieces,Shots Off Target (inc woodwork),Successful Crosses & Corners,Home Goals,Away Goals,PutThrough/Blocked Distribution Won,Substitute On,Tackles Lost,Foul Attempted Tackle,Foul Won Penalty,Unsuccessful Crosses open play,Yellow Cards,Substitute Off,Offsides,Goal Kicks,Saves Made from Inside Box,Saves Made,Saves Made from Outside Box,Saves made - parried,GK Successful Distribution,GK Unsuccessful Distribution,Blocks,Successful Crosses open play,Hit Woodwork,Unsuccessful Launches,Clean Sheets,Successful Launches,Overruns,Handballs conceded,Goals from Inside Box,Headed Goals,Left Foot Goals,Second Goal Assists,Goal Assists,Assists (Intentional),Penalties Conceded,Red Cards - 2nd Yellow,Clearances Off the Line,Total Red Cards,Penalties Saved,Saves from Penalty,Catches,Punches,Penalties Faced,Goalkeeper Smother,Own Goal Scored,Goals Conceded Outside Box,Penalty Goals,Straight Red Cards,Penalty Goals Conceded,Saves made - caught,Crosses not Claimed,Other Goals,Last Man Tackle,Drops,Set Pieces Goals
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,bei486ox42219hyokmlee8kq1,A. Alvarado,Forward,20,,9.0,1.0,3.0,3.0,2.0,,1.0,1.0,,,,,15.0,1.0,5.0,2.0,,2.0,1.0,1.0,1.0,5.0,5.0,2.0,18.0,,1.0,4.0,5.0,4.0,10.0,2.0,5.0,7.0,3.0,,1.0,,,,,7.0,1.0,1.0,2.0,0.0,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,2ufp5icqczg2wvcxl5axnxu96,F. Ambríz,Midfielder,5,3.0,9.0,2.0,1.0,11.0,8.0,1.0,15.0,2.0,1.0,5.0,3.0,1.0,55.0,1.0,44.0,1.0,,1.0,1.0,3.0,18.0,36.0,43.0,,62.0,,1.0,21.0,35.0,32.0,10.0,1.0,7.0,8.0,,1.0,4.0,14.0,8.0,,7.0,7.0,,3.0,2.0,0.0,,,,,,,,,3.0,,,,,1.0,,,3.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,84r1msh0g1qj25wss1n4fv74l,S. Barreiro,Defender,21,18.0,24.0,5.0,,8.0,32.0,10.0,48.0,4.0,1.0,8.0,14.0,3.0,157.0,2.0,130.0,8.0,3.0,14.0,,3.0,52.0,104.0,121.0,4.0,254.0,,6.0,56.0,95.0,85.0,10.0,,2.0,16.0,5.0,4.0,19.0,64.0,26.0,10.0,18.0,6.0,,3.0,18.0,0.0,2.0,,,,,,,,,,8.0,,2.0,,1.0,1.0,2.0,,,,1.0,,,,,,,3.0,,2.0,1.0,1.0,1.0,,,,,,,,2.0,,,5.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,bxnn74tvpy4iujkg00nby6rxl,P. Bellón,Defender,25,,,,,1.0,1.0,,1.0,,,,1.0,,2.0,,1.0,,,,,1.0,,1.0,1.0,,7.0,,,,1.0,1.0,10.0,,,,1.0,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,ai1q7eeu5k90x364z6g4bxl91,A. Blanco,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,f085ilpilnjnv4n4rf1hg4844,L. Cervantes,Defender,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,5jj07az7i7svdgh5egd1s5dqt,R. Cota,Goalkeeper,30,1.0,3.0,5.0,1.0,7.0,6.0,1.0,36.0,4.0,,3.0,18.0,,67.0,,43.0,1.0,3.0,,,3.0,20.0,39.0,19.0,1.0,270.0,,,3.0,18.0,35.0,10.0,1.0,2.0,2.0,,,4.0,16.0,4.0,2.0,3.0,3.0,,3.0,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,18.0,4.0,6.0,2.0,3.0,26.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,30q9d8i2c8kgscpgze0x5h0b9,V. Dávila,Forward,10,5.0,10.0,1.0,,2.0,10.0,,3.0,,,,2.0,,31.0,,21.0,2.0,1.0,4.0,,1.0,5.0,16.0,21.0,1.0,56.0,,4.0,13.0,16.0,15.0,10.0,,4.0,8.0,1.0,1.0,1.0,10.0,5.0,,5.0,5.0,2.0,1.0,5.0,0.0,,,,,,,1.0,,2.0,,1.0,,3.0,1.0,,2.0,2.0,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,67xkw0v7i1og0x9x5cdbsg1qt,O. Fernández,Midfielder,16,8.0,7.0,3.0,2.0,27.0,25.0,3.0,19.0,2.0,,2.0,9.0,6.0,104.0,,76.0,,3.0,3.0,1.0,3.0,7.0,66.0,73.0,,175.0,,26.0,50.0,63.0,66.0,10.0,1.0,4.0,7.0,3.0,,,16.0,10.0,,10.0,4.0,,3.0,3.0,0.0,3.0,,1.0,,,,1.0,,1.0,2.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,,,3.0,,,4.0,,1.0,,,2.0,,3.0,1.0,,,,,,,,,3.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Club León,Club_León,ex3u4sorw3ht3tdd0gsbmteui,A. Frías,Defender,22,12.0,13.0,5.0,1.0,45.0,23.0,9.0,107.0,4.0,,9.0,16.0,2.0,184.0,,155.0,6.0,3.0,1.0,5.0,3.0,60.0,134.0,148.0,3.0,270.0,,5.0,27.0,128.0,113.0,10.0,1.0,6.0,7.0,1.0,3.0,21.0,45.0,21.0,8.0,12.0,9.0,,3.0,4.0,0.0,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
