dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
16,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Midfielder,USA,226lvmqm3qdvss5wp8w066qne,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/226lvmqm3qdvss5wp8w066qne
55,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Midfielder,Philippines,2jwbnsl7zicnbgutmpop29d61,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/2jwbnsl7zicnbgutmpop29d61
,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,,USA,2ndfgzboklsvbhs07u0ywfomi,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/2ndfgzboklsvbhs07u0ywfomi
14,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Midfielder,USA,30wgzae40crezwtuqf1sbnwtl,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/30wgzae40crezwtuqf1sbnwtl
63,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Defender,USA,3etb72wtwcrim97dyp9g2px5g,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/3etb72wtwcrim97dyp9g2px5g
26,Rodrigues,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Defender,Brazil,3gdsxzf5dcaq4cf8jfnlr74dl,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/3gdsxzf5dcaq4cf8jfnlr74dl
,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,,USA,4etruod4el1b7ecmvoyx9qn6d,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/4etruod4el1b7ecmvoyx9qn6d
1,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Goalkeeper,USA,4mca2qok2asjbj10hjwil0a95,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/4mca2qok2asjbj10hjwil0a95
17,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Defender,USA,59kky4fyi0w9bdz4ow3gs95yi,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/59kky4fyi0w9bdz4ow3gs95yi
99,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Midfielder,USA,5n1wehugx0qtun8oopg2jbndg,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/5n1wehugx0qtun8oopg2jbndg
44,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Attacker,USA,5vjalgmy5e9xhfdjoeq6kxqwa,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/5vjalgmy5e9xhfdjoeq6kxqwa
11,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Attacker,USA,6a6mbb6e462y31yyfprw3br3d,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/6a6mbb6e462y31yyfprw3br3d
93,Judson,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Midfielder,Brazil,6ba3xrpzojioms3l0tnh5tql1,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/6ba3xrpzojioms3l0tnh5tql1
13,Nathan,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Defender,Brazil,6u67oyyybg2bljzmzo6ujsl3p,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/6u67oyyybg2bljzmzo6ujsl3p
35,Jamiro Monteiro,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Midfielder,Cabo Verde,6u7z5qrlwzl9aug8awejq37xl,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/6u7z5qrlwzl9aug8awejq37xl
41,,San Jose Earthquakes,San_Jose_Earthquakes,Leagues Cup,Goalkeeper,Mexico,71y61qa3ywym9sa89dpkzfcyy,a2jg79bf9ab1vj6iok2r328cc,9fuwphq8kvugrlc3ckm7k8wes,1t4wbissv7oqdqodsc6zpa6tw,https://www.scoresway.com/en_GB/soccer/leagues-cup-2023/1t4wbissv7oqdqodsc6zpa6tw/teams/view/a2jg79bf9ab1vj6iok2r328cc/player/view/71y61qa3ywym9sa89dpkzfcyy
