dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
8,,Club León,Club_León,Leagues Cup,Midfielder,Chile,1uro7awzwukurmh2h913s02j9,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/1uro7awzwukurmh2h913s02j9
15,,Club León,Club_León,Leagues Cup,Midfielder,Colombia,2g4zokfkjgkict4su5jp9ah62,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/2g4zokfkjgkict4su5jp9ah62
5,,Club León,Club_León,Leagues Cup,Midfielder,Mexico,2ufp5icqczg2wvcxl5axnxu96,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/2ufp5icqczg2wvcxl5axnxu96
26,,Club León,Club_León,Leagues Cup,Midfielder,Mexico,32d1wbtc1fdy41cj1ky302b55,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/32d1wbtc1fdy41cj1ky302b55
,,Club León,Club_León,Leagues Cup,,Uruguay,3u36i3xyeb4bl5475cazpju8l,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/3u36i3xyeb4bl5475cazpju8l
18,,Club León,Club_León,Leagues Cup,Midfielder,Mexico,4pizap25enja9rtz4g6x5bkd1,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/4pizap25enja9rtz4g6x5bkd1
,,Club León,Club_León,Leagues Cup,Attacker,Uruguay,4rogmclez6g0mc0eu0r2zks2c,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/4rogmclez6g0mc0eu0r2zks2c
14,,Club León,Club_León,Leagues Cup,Attacker,Mexico,53ep4ew9771nqrrq1a02doqqy,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/53ep4ew9771nqrrq1a02doqqy
13,,Club León,Club_León,Leagues Cup,Midfielder,Ecuador,59gm0x3ujnsq2gypigw0q7bze,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/59gm0x3ujnsq2gypigw0q7bze
29,,Club León,Club_León,Leagues Cup,Attacker,Venezuela,5fcx7aiflhvguztjw8mp53b9x,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/5fcx7aiflhvguztjw8mp53b9x
,,Club León,Club_León,Leagues Cup,Midfielder,Uruguay,5i3xo6a0hqf41kyiyhe3lpwbt,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/5i3xo6a0hqf41kyiyhe3lpwbt
17,,Club León,Club_León,Leagues Cup,Attacker,Mexico,5ib2tjos6cs87z3g2w7x9pr3e,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/5ib2tjos6cs87z3g2w7x9pr3e
,,Club León,Club_León,Leagues Cup,,Mexico,5pwta34uakndeakwax9qgfsic,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/5pwta34uakndeakwax9qgfsic
,Nicolás López,Club León,Club_León,Leagues Cup,Attacker,Uruguay,6aec599wfyano09awgtuztadx,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/6aec599wfyano09awgtuztadx
,,Club León,Club_León,Leagues Cup,Attacker,Uruguay,6nr7ekkfr3n9tr44z6fowj5gq,2ei66pjfsrr6uxqp1bywq31lo,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/6nr7ekkfr3n9tr44z6fowj5gq
