root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Touches,Successful Short Passes,Starts,Blocks,Successful Passes Opposition Half,PutThrough/Blocked Distribution,Appearances,Unsuccessful Passes Own Half,Tackles Lost,Tackles Won,Unsuccessful Short Passes,Total Tackles,Unsuccessful Passes Opposition Half,Ground Duels won,PutThrough/Blocked Distribution Won,Index,Clean Sheets,Games Played,Total Clearances,Total Passes,Total Losses Of Possession,Successful Long Passes,Ground Duels,Rightside Passes,Successful Open Play Passes,Recoveries,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Leftside Passes,Forward Passes,Interceptions,Successful Passes Own Half,Unsuccessful Launches,Duels won,Unsuccessful Long Passes,Backward Passes,Winning Goal,Ground Duels lost,GK Unsuccessful Distribution,Goals Conceded,Saves Made from Inside Box,Successful Launches,Duels lost,Goal Kicks,Aerial Duels,Saves Made,Catches,Goals Conceded Outside Box,Saves Made from Outside Box,Drops,Aerial Duels won,Saves made - parried,Punches,Goals Conceded Inside Box,GK Successful Distribution,Substitute On,Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Total Touches In Opposition Box,Total Fouls Won,Throw Ins to Own Player,Successful Lay-offs,Unsuccessful Dribbles,Times Tackled,Substitute Off,Foul Attempted Tackle,Total Fouls Conceded,Key Passes (Attempt Assists),Offsides,Aerial Duels lost,Corners Won,Successful Crosses & Corners,Goal Assists,Successful Crosses open play,Assists (Intentional),Successful Dribbles,Overruns,Throw Ins to Opposition Player,Yellow Cards,Handballs conceded,Corners Taken (incl short corners),Right Foot Goals,Unsuccessful Corners into Box,Shots Off Target (inc woodwork),Successful Corners into Box,Attempts from Set Pieces,Shots On Target ( inc goals ),Goals,Goals from Inside Box,Total Shots,Home Goals,Away Goals,Blocked Shots,Through balls,Foul Won Penalty,Penalties Taken,Headed Goals,Unsuccessful lay-offs,Penalty Goals,Left Foot Goals,Goals from Outside Box,Hit Woodwork,Last Player Tackle,Penalties Conceded,Goalkeeper Smother,Saves from Penalty,Penalties Faced,Penalties Saved,Red Cards - 2nd Yellow,Total Red Cards,Second Goal Assists,Penalty Goals Conceded,Clearances Off the Line,Straight Red Cards,Saves made - caught,Penalties Off Target,Own Goal Scored,Crosses not Claimed
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,6qsj0qaeroaoxi5o41d8sz310,M. Akinmboni,Defender,45,67.0,36.0,2.0,,21.0,,2.0,1.0,1.0,,2.0,1.0,9.0,4.0,,10.0,,2.0,4.0,54.0,12.0,8.0,5.0,14.0,42.0,3.0,44.0,52.0,119.0,10.0,7.0,8.0,27.0,1.0,23.0,8.0,4.0,8.0,5.0,0.0,1.0,,2.0,,3.0,3.0,,2.0,,,1.0,,,,,,1.0,,,,,,2.0,1.0,,,,2.0,,,1.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,dhwk7axf00z4pe7crgp3ge8yx,D. Badji,Forward,23,18.0,7.0,1.0,,6.0,1.0,2.0,,,,4.0,,4.0,1.0,1.0,10.0,,2.0,,11.0,5.0,,6.0,2.0,7.0,1.0,7.0,11.0,83.0,4.0,13.0,3.0,3.0,,1.0,,4.0,,3.0,0.0,5.0,,2.0,,,9.0,,7.0,,,,,,3.0,,,2.0,,1.0,,,3.0,1.0,,,,1.0,1.0,2.0,4.0,,,4.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,7e8pb8eqysovpfpexouwwvac4,L. Bartlett,Defender,3,157.0,97.0,3.0,1.0,42.0,1.0,3.0,9.0,,1.0,13.0,1.0,16.0,2.0,1.0,10.0,1.0,3.0,9.0,134.0,27.0,12.0,7.0,17.0,106.0,15.0,109.0,131.0,270.0,25.0,19.0,44.0,63.0,3.0,67.0,8.0,10.0,12.0,10.0,0.0,5.0,,5.0,,1.0,9.0,1.0,12.0,,,1.0,,,8.0,,,4.0,1.0,,,,6.0,,,,,2.0,,,3.0,1.0,,4.0,1.0,,,,,1.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,ubuow4ad6azso5zz51b4tivp,C. Benteke,Forward,20,112.0,60.0,3.0,,50.0,2.0,3.0,,1.0,,23.0,1.0,25.0,6.0,1.0,10.0,1.0,3.0,2.0,88.0,32.0,4.0,10.0,23.0,62.0,5.0,64.0,86.0,243.0,24.0,37.0,23.0,23.0,,14.0,,24.0,1.0,19.0,1.0,4.0,,5.0,,,13.0,,27.0,,,1.0,,,18.0,,,4.0,,,1.0,1.0,19.0,4.0,,,3.0,3.0,1.0,,3.0,4.0,4.0,9.0,,,,,,1.0,,,1.0,1.0,,2.0,,2.0,,,2.0,2.0,2.0,4.0,0.0,2.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,boojy2a86m5qkyqqzxvdk9jv9,A. Bono,Goalkeeper,24,124.0,21.0,3.0,,34.0,,3.0,5.0,,,,,33.0,1.0,,10.0,1.0,3.0,1.0,98.0,38.0,39.0,1.0,7.0,45.0,25.0,60.0,62.0,270.0,38.0,1.0,7.0,84.0,,26.0,15.0,1.0,38.0,,0.0,,11.0,5.0,9.0,21.0,,20.0,,18.0,,1.0,9.0,,,6.0,,4.0,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,52l4538m97qb53gire4qp7xg4,Gabriel Pirani,Midfielder,10,42.0,17.0,,,14.0,,3.0,1.0,,1.0,8.0,1.0,7.0,5.0,,10.0,,3.0,1.0,25.0,15.0,,10.0,8.0,17.0,4.0,17.0,25.0,49.0,8.0,10.0,3.0,8.0,,3.0,,5.0,,6.0,1.0,5.0,,,,,5.0,,,,,,,,,,,,,3.0,,,5.0,3.0,,,4.0,5.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,2.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,34sqazs1lps0d86p7v5d4ezca,N. Crockford,Goalkeeper,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,3oj41up7cc77o5qj3i65szemt,C. Dájome,Forward,11,141.0,70.0,3.0,,50.0,7.0,3.0,9.0,1.0,4.0,16.0,5.0,11.0,16.0,2.0,10.0,1.0,3.0,1.0,93.0,29.0,4.0,34.0,33.0,74.0,19.0,74.0,93.0,270.0,19.0,35.0,14.0,23.0,3.0,24.0,2.0,16.0,3.0,23.0,0.0,18.0,,5.0,,,19.0,,1.0,,,1.0,,,,,,4.0,,,1.0,1.0,11.0,6.0,5.0,,3.0,6.0,,8.0,9.0,2.0,2.0,1.0,1.0,,,,,5.0,,1.0,,1.0,,1.0,,3.0,,,2.0,1.0,1.0,5.0,0.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,e3yr2tkuonhu7iwqc78kcqmwa,B. Enow,Midfielder,0,18.0,10.0,,,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,10.0,,1.0,,11.0,3.0,,4.0,6.0,10.0,4.0,10.0,11.0,27.0,1.0,5.0,5.0,,1.0,4.0,,3.0,,,0.0,2.0,,,,,2.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2024,DC United,DC_United,6z4eha1ejqruj39ddvzvy0ju2,J. Garay,Midfielder,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
