dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
15,,Toronto FC,Toronto_FC,Leagues Cup,Defender,France,13hz0imklobbzm4iysp0h8vhm,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/13hz0imklobbzm4iysp0h8vhm
20,,Toronto FC,Toronto_FC,Leagues Cup,Midfielder,Honduras,202fppogvtu6vm32hr1gvy6l1,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/202fppogvtu6vm32hr1gvy6l1
,,Toronto FC,Toronto_FC,Leagues Cup,,England,2aqcy45jmk2kh7t5u4gvx37bp,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/2aqcy45jmk2kh7t5u4gvx37bp
11,,Toronto FC,Toronto_FC,Leagues Cup,Attacker,Haiti,2uis9d0h87arn5ew3bg1si40l,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/2uis9d0h87arn5ew3bg1si40l
29,,Toronto FC,Toronto_FC,Leagues Cup,Attacker,Canada,3d6qu8bknc94x0eoi4nu09ppm,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/3d6qu8bknc94x0eoi4nu09ppm
17,,Toronto FC,Toronto_FC,Leagues Cup,Defender,Norway,3dr67fefuihn77e92fgyec0r9,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/3dr67fefuihn77e92fgyec0r9
,,Toronto FC,Toronto_FC,Leagues Cup,,Canada,3gqbfygd0gtw743qzh7fzkhjp,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/3gqbfygd0gtw743qzh7fzkhjp
90,,Toronto FC,Toronto_FC,Leagues Cup,Goalkeeper,Canada,3jggbo072qzgw1bivr2htm5g4,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/3jggbo072qzgw1bivr2htm5g4
6,,Toronto FC,Toronto_FC,Leagues Cup,Defender,Zambia,3tb7ycl6z32sevjo8rxa590,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/3tb7ycl6z32sevjo8rxa590
71,,Toronto FC,Toronto_FC,Leagues Cup,Midfielder,Canada,3wn0nn5q8g2mjzuc8yb4dvu2,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/3wn0nn5q8g2mjzuc8yb4dvu2
1,,Toronto FC,Toronto_FC,Leagues Cup,Goalkeeper,USA,4249onic3pa4kkqg7v00ro3x1,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/4249onic3pa4kkqg7v00ro3x1
16,,Toronto FC,Toronto_FC,Leagues Cup,Attacker,Trinidad and Tobago,4inpz7ay1srhebb8c73j11gd0,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/4inpz7ay1srhebb8c73j11gd0
22,,Toronto FC,Toronto_FC,Leagues Cup,Defender,Canada,4vrd6vji126bw8l1q6wxe0cfd,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/4vrd6vji126bw8l1q6wxe0cfd
95,,Toronto FC,Toronto_FC,Leagues Cup,Midfielder,Canada,5qfwg7j8xrfv19ouu4gvrs00k,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/5qfwg7j8xrfv19ouu4gvrs00k
30,,Toronto FC,Toronto_FC,Leagues Cup,Defender,USA,5wzjiocild0uj4d0ctq5ipz9x,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/5wzjiocild0uj4d0ctq5ipz9x
47,,Toronto FC,Toronto_FC,Leagues Cup,Midfielder,Canada,6b3dgqjwmv3bb7slc7amcrgx6,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/6b3dgqjwmv3bb7slc7amcrgx6
10,,Toronto FC,Toronto_FC,Leagues Cup,Attacker,Italy,6kms3ctf8joymna289onk9lg5,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/6kms3ctf8joymna289onk9lg5
81,,Toronto FC,Toronto_FC,Leagues Cup,Midfielder,Tunisia,6xu5v7x5zge1k83w40mmbxyzu,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/6xu5v7x5zge1k83w40mmbxyzu
27,,Toronto FC,Toronto_FC,Leagues Cup,Defender,USA,7eqfde3gktznwi6ngtq6jjzdh,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/7eqfde3gktznwi6ngtq6jjzdh
12,,Toronto FC,Toronto_FC,Leagues Cup,Attacker,South Africa,7ldwk5ikbjcfd3zpke7s6to9g,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/7ldwk5ikbjcfd3zpke7s6to9g
73,,Toronto FC,Toronto_FC,Leagues Cup,Attacker,Honduras,7w2rw1jd8ouhu8bbvswvysu8k,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/7w2rw1jd8ouhu8bbvswvysu8k
99,,Toronto FC,Toronto_FC,Leagues Cup,Attacker,Ghana,8lnsd1m2p79oe9dq4x409ni6t,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/8lnsd1m2p79oe9dq4x409ni6t
51,,Toronto FC,Toronto_FC,Leagues Cup,Defender,Canada,8pvvljn4uasfjxdleh56pm38,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/8pvvljn4uasfjxdleh56pm38
19,,Toronto FC,Toronto_FC,Leagues Cup,Defender,Canada,9j0dl8lq1nrln027rj65gh3ze,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/9j0dl8lq1nrln027rj65gh3ze
8,,Toronto FC,Toronto_FC,Leagues Cup,Midfielder,England,9lxfdd4laukytx0bzjdgtc4x5,28teusnamw1ujgh5di1auf2f7,9fuwphq8kvugrlc3ckm7k8wes,dxtsvs4kf27q91wspgd71i1p0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2024/dxtsvs4kf27q91wspgd71i1p0/teams/view/28teusnamw1ujgh5di1auf2f7/player/view/9lxfdd4laukytx0bzjdgtc4x5
