dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Charlotte FC,Leagues Cup,Goalkeeper,Croatia,15ara0jd9j49swuwoi7z8pzo5,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/15ara0jd9j49swuwoi7z8pzo5
,,Charlotte FC,Leagues Cup,Midfielder,USA,22zkj62c3nnd2zerfbntlevze,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/22zkj62c3nnd2zerfbntlevze
,,Charlotte FC,Leagues Cup,Midfielder,Spain,240d7z6v0gx52zf59ntaa2aqd,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/240d7z6v0gx52zf59ntaa2aqd
,,Charlotte FC,Leagues Cup,Midfielder,France,2mmmt24h514bl1j112kf99dd5,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/2mmmt24h514bl1j112kf99dd5
,,Charlotte FC,Leagues Cup,Defender,England,2q032302ebdlpcuytftf5vpp1,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/2q032302ebdlpcuytftf5vpp1
,,Charlotte FC,Leagues Cup,Attacker,Israel,4dri4lv9b4w3mz8aj3329qjh0,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/4dri4lv9b4w3mz8aj3329qjh0
,,Charlotte FC,Leagues Cup,Midfielder,USA,4hmqtr4zzogg0yw2w9dibv5k9,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/4hmqtr4zzogg0yw2w9dibv5k9
,,Charlotte FC,Leagues Cup,Attacker,England,4ywn289r9mrs444sgkgduyivo,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/4ywn289r9mrs444sgkgduyivo
,,Charlotte FC,Leagues Cup,Defender,France,537yyv46hctf4ig8h7x63cokq,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/537yyv46hctf4ig8h7x63cokq
,,Charlotte FC,Leagues Cup,Attacker,Canada,603sxl8xsij9kep03px6s85m2,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/603sxl8xsij9kep03px6s85m2
,,Charlotte FC,Leagues Cup,Midfielder,Serbia,66bdf9l614g2dx43x8003m162,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/66bdf9l614g2dx43x8003m162
,,Charlotte FC,Leagues Cup,Defender,USA,6bg69aksa8wb6wmu7w81is8yy,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/6bg69aksa8wb6wmu7w81is8yy
,,Charlotte FC,Leagues Cup,Attacker,USA,7bxp7ho4cmsoviw19q4bxr02c,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/7bxp7ho4cmsoviw19q4bxr02c
,,Charlotte FC,Leagues Cup,Attacker,USA,8vzvcjbccc5skj9e7n5f6vd3o,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/8vzvcjbccc5skj9e7n5f6vd3o
,,Charlotte FC,Leagues Cup,Defender,New Zealand,9b29l83qhedv79h20lgyu9tqt,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/9b29l83qhedv79h20lgyu9tqt
,,Charlotte FC,Leagues Cup,Midfielder,England,9g7jit9xa9c5b25gfl6wy7kd1,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/9g7jit9xa9c5b25gfl6wy7kd1
,,Charlotte FC,Leagues Cup,Attacker,Côte d'Ivoire,9ikkppq7uewf36gahgz0kzaol,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/9ikkppq7uewf36gahgz0kzaol
,,Charlotte FC,Leagues Cup,Attacker,USA,9ohy24mxhsqao5kymh0lbxxck,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/9ohy24mxhsqao5kymh0lbxxck
,,Charlotte FC,Leagues Cup,Defender,Canada,9qshi2dind1f6unpfneiuj14a,dqq34048nqex146r77i5l8twq,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/dqq34048nqex146r77i5l8twq/player/view/9qshi2dind1f6unpfneiuj14a
