liga,temporada,equipo,id,nombre,posicion,dorsal,Ground Duels,Unsuccessful Passes Opposition Half,Starts,Leftside Passes,Penalty Goals Conceded,Total Touches In Opposition Box,Corners Taken (incl short corners),Shots On Target ( inc goals ),Appearances,Unsuccessful Passes Own Half,Aerial Duels,Unsuccessful Long Passes,Total Shots,Rightside Passes,Ground Duels won,Successful Open Play Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Yellow Cards,Successful Short Passes,Aerial Duels won,Backward Passes,Substitute Off,Recoveries,Goals Conceded Outside Box,Throw Ins to Own Player,Unsuccessful Corners into Box,Total Passes,Interceptions,PutThrough/Blocked Distribution,Duels lost,Time Played,Unsuccessful Dribbles,Total Successful Passes ( Excl Crosses & Corners ) ,Duels,Forward Passes,Unsuccessful Crosses open play,Successful Passes Own Half,Through balls,Aerial Duels lost,Substitute On,Successful Lay-offs,Total Losses Of Possession,Total Fouls Conceded,Goals Conceded Inside Box,Touches,Times Tackled,Shots Off Target (inc woodwork),Corners Won,Successful Passes Opposition Half,Ground Duels lost,Goals Conceded,Key Passes (Attempt Assists),Unsuccessful Launches,Games Played,Index,Successful Long Passes,Unsuccessful Short Passes,Unsuccessful Crosses & Corners,Foul Attempted Tackle,Open Play Passes,Total Fouls Won,Duels won,Winning Goal,Blocks,Tackles Lost,Handballs conceded,Total Tackles,Throw Ins to Opposition Player,Total Clearances,Goals,Tackles Won,Straight Red Cards,PutThrough/Blocked Distribution Won,Total Red Cards,Overruns,Goals Openplay,Goals from Inside Box,Headed Goals,Home Goals,Away Goals,Successful Dribbles,Successful Launches,Penalties Conceded,Successful Crosses open play,Successful Crosses & Corners,Successful Corners into Box,Attempts from Set Pieces,Set Pieces Goals,Left Foot Goals,Goals from Outside Box,Offsides,Blocked Shots,Last Player Tackle,GK Successful Distribution,Goal Kicks,GK Unsuccessful Distribution,Saves made - parried,Saves Made,Saves Made from Inside Box,Goalkeeper Smother,Saves Made from Outside Box,Penalties Faced,Punches,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Assists (Intentional),Right Foot Goals,Hit Woodwork,Catches,Saves from Penalty,Penalties Saved,Foul Won Penalty,Penalties Taken,Penalty Goals,Clearances Off the Line,Red Cards - 2nd Yellow,Own Goal Scored,Drops,Saves made - caught,Second Goal Assists,Other Goals,Penalties Off Target
Concacaf_Leagues_Cup,2025,Club Santos Laguna,apsv0c0r1zc7q3bjqex8033kl,J. Abella,Defender,4,8.0,8.0,1.0,8.0,,,1.0,,2.0,4.0,2.0,2.0,,,4.0,26.0,8.0,,22.0,2.0,12.0,1.0,,,3.0,1.0,34.0,,,4.0,82.0,,26.0,10.0,14.0,2.0,18.0,,,1.0,,15.0,3.0,2.0,53.0,,,,9.0,4.0,2.0,,,2.0,10.0,4.0,6.0,4.0,2.0,34.0,1.0,6.0,0.0,,1.0,,3.0,1.0,3.0,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,cs0ukx1l3r8kdyn8iu26qupyh,C. Acevedo,Goalkeeper,1,,6.0,2.0,16.0,,,,,2.0,3.0,2.0,7.0,,24.0,,38.0,9.0,,42.0,2.0,,,15.0,,,,60.0,,,,180.0,,51.0,2.0,20.0,,47.0,,,,,9.0,,6.0,88.0,,,,4.0,,6.0,,2.0,2.0,10.0,9.0,2.0,,,42.0,,2.0,0.0,,,,,,6.0,,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,18.0,9.0,3.0,,9.0,5.0,1.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,e8c2o47zyuqa07lcrgzusn97u,B. Amione,Defender,2,8.0,2.0,2.0,6.0,,1.0,,1.0,2.0,1.0,3.0,2.0,1.0,22.0,3.0,40.0,3.0,,44.0,2.0,3.0,2.0,7.0,,3.0,,51.0,1.0,,6.0,136.0,1.0,48.0,11.0,20.0,,38.0,,1.0,,,5.0,2.0,4.0,67.0,2.0,,,10.0,5.0,4.0,1.0,,2.0,10.0,4.0,1.0,,,43.0,1.0,5.0,0.0,,1.0,,2.0,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,4h09e5cjwdxlps0hhr89rry6t,K. Balanta,Defender,35,13.0,3.0,2.0,25.0,,1.0,,,2.0,6.0,6.0,3.0,1.0,28.0,4.0,93.0,9.0,,89.0,3.0,9.0,,9.0,,,,103.0,2.0,2.0,12.0,180.0,1.0,94.0,19.0,41.0,,70.0,,3.0,,,12.0,6.0,4.0,127.0,1.0,1.0,,24.0,9.0,4.0,1.0,2.0,2.0,10.0,5.0,6.0,,3.0,102.0,2.0,7.0,0.0,1.0,1.0,1.0,2.0,,11.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,37o5u5tdd456debmeepgcxb3e,B. Barticciotto,Forward,99,7.0,2.0,1.0,2.0,,1.0,,,1.0,2.0,3.0,,,4.0,,9.0,4.0,,11.0,,9.0,1.0,,,,,15.0,,,10.0,76.0,4.0,11.0,10.0,,,6.0,,3.0,,1.0,10.0,2.0,2.0,24.0,5.0,,,5.0,7.0,2.0,,,1.0,10.0,,4.0,,,13.0,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,1s6iiyybed5a643wiv9x7ui5m,J. Carrillo,Midfielder,9,18.0,10.0,3.0,31.0,,7.0,4.0,1.0,3.0,2.0,1.0,,1.0,17.0,8.0,75.0,9.0,,73.0,1.0,22.0,2.0,8.0,,,3.0,87.0,,1.0,10.0,195.0,2.0,78.0,19.0,17.0,,26.0,,,,3.0,24.0,2.0,6.0,119.0,7.0,,1.0,53.0,10.0,6.0,3.0,,3.0,10.0,5.0,9.0,3.0,1.0,84.0,1.0,9.0,0.0,,1.0,,4.0,,2.0,1.0,3.0,,,,,1.0,1.0,,0.0,1.0,3.0,,,,1.0,,1.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,3oj41up7cc77o5qj3i65szemt,C. Dájome,Forward,7,21.0,10.0,2.0,18.0,,11.0,,1.0,3.0,3.0,6.0,2.0,2.0,5.0,9.0,42.0,8.0,,41.0,,19.0,,5.0,,2.0,,52.0,1.0,4.0,18.0,210.0,4.0,44.0,27.0,10.0,5.0,18.0,,6.0,1.0,4.0,25.0,5.0,7.0,98.0,6.0,1.0,,26.0,12.0,7.0,4.0,,3.0,10.0,3.0,6.0,5.0,3.0,50.0,5.0,9.0,0.0,,1.0,,3.0,,4.0,1.0,2.0,,2.0,,,1.0,1.0,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,8axmwhckyu87l2shcwptsl3pw,E. Echeverría,Defender,17,17.0,14.0,1.0,4.0,,3.0,1.0,,3.0,1.0,9.0,1.0,1.0,16.0,8.0,44.0,8.0,,42.0,3.0,14.0,,3.0,,5.0,1.0,52.0,1.0,4.0,15.0,147.0,3.0,44.0,26.0,18.0,6.0,21.0,,6.0,2.0,,20.0,4.0,4.0,90.0,4.0,1.0,4.0,23.0,9.0,4.0,1.0,1.0,3.0,10.0,2.0,7.0,7.0,2.0,52.0,3.0,11.0,0.0,,1.0,,4.0,,6.0,,3.0,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,91u55bfhtij89owht5q7irxwq,F. Fagúndez,Forward,10,5.0,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,5.0,2.0,8.0,2.0,1.0,8.0,,1.0,,2.0,,,,10.0,,,3.0,15.0,,8.0,5.0,3.0,,1.0,,,1.0,,4.0,1.0,,18.0,2.0,,,7.0,3.0,,,,1.0,10.0,,2.0,,1.0,10.0,,2.0,0.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,f1trc7unzeeqvlexvzkltp46i,I. Govea,Defender,3,9.0,4.0,2.0,29.0,,,,1.0,2.0,7.0,4.0,6.0,1.0,3.0,6.0,54.0,10.0,1.0,51.0,3.0,8.0,,3.0,,8.0,,69.0,3.0,5.0,4.0,180.0,,59.0,13.0,29.0,1.0,36.0,,1.0,,,12.0,2.0,6.0,100.0,,,,23.0,3.0,6.0,,4.0,2.0,10.0,8.0,4.0,1.0,2.0,64.0,1.0,9.0,0.0,2.0,2.0,,5.0,1.0,7.0,,3.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,5zuetzoqduux3tt31yu74lsr9,É. Gutiérrez,Defender,23,7.0,5.0,1.0,5.0,,1.0,,,3.0,1.0,3.0,4.0,,26.0,4.0,53.0,6.0,,54.0,1.0,6.0,1.0,2.0,,2.0,,63.0,2.0,,5.0,142.0,1.0,57.0,10.0,26.0,,38.0,,2.0,2.0,,8.0,3.0,4.0,86.0,1.0,,,19.0,3.0,4.0,,1.0,3.0,10.0,3.0,2.0,,1.0,59.0,1.0,5.0,0.0,,2.0,,3.0,1.0,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,dh9uepuoe9cudkwnspfq3v4r9,J. Güémez,Midfielder,6,9.0,7.0,2.0,33.0,,,,1.0,3.0,5.0,,1.0,3.0,40.0,6.0,99.0,11.0,1.0,89.0,,15.0,1.0,9.0,,,,111.0,,,3.0,180.0,,100.0,9.0,23.0,1.0,53.0,1.0,,1.0,2.0,14.0,1.0,7.0,125.0,1.0,2.0,,47.0,3.0,7.0,1.0,,3.0,10.0,11.0,10.0,1.0,,110.0,1.0,6.0,0.0,,2.0,,4.0,,2.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Santos Laguna,b3bcfc301840kkcoukidw47e2,H. Holguín,Goalkeeper,33,,4.0,1.0,10.0,,,,,1.0,3.0,,5.0,,10.0,,16.0,7.0,,21.0,,,,7.0,,,,35.0,,,,90.0,,28.0,,15.0,,27.0,,,,,7.0,,2.0,46.0,,,,1.0,,2.0,,3.0,1.0,10.0,7.0,2.0,,,20.0,,,0.0,,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,12.0,8.0,1.0,,4.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
