liga,temporada,equipo,id,nombre,posicion,dorsal,Ground Duels,Unsuccessful Passes Opposition Half,Starts,Leftside Passes,Penalty Goals Conceded,Total Touches In Opposition Box,Corners Taken (incl short corners),Shots On Target ( inc goals ),Appearances,Unsuccessful Passes Own Half,Aerial Duels,Unsuccessful Long Passes,Total Shots,Rightside Passes,Ground Duels won,Successful Open Play Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Yellow Cards,Successful Short Passes,Aerial Duels won,Backward Passes,Substitute Off,Recoveries,Goals Conceded Outside Box,Throw Ins to Own Player,Unsuccessful Corners into Box,Total Passes,Interceptions,PutThrough/Blocked Distribution,Duels lost,Time Played,Unsuccessful Dribbles,Total Successful Passes ( Excl Crosses & Corners ) ,Duels,Forward Passes,Unsuccessful Crosses open play,Successful Passes Own Half,Through balls,Aerial Duels lost,Substitute On,Successful Lay-offs,Total Losses Of Possession,Total Fouls Conceded,Goals Conceded Inside Box,Touches,Times Tackled,Shots Off Target (inc woodwork),Corners Won,Successful Passes Opposition Half,Ground Duels lost,Goals Conceded,Key Passes (Attempt Assists),Unsuccessful Launches,Games Played,Index,Successful Long Passes,Unsuccessful Short Passes,Unsuccessful Crosses & Corners,Foul Attempted Tackle,Open Play Passes,Total Fouls Won,Duels won,Winning Goal,Blocks,Tackles Lost,Handballs conceded,Total Tackles,Throw Ins to Opposition Player,Total Clearances,Goals,Tackles Won,Straight Red Cards,PutThrough/Blocked Distribution Won,Total Red Cards,Overruns,Goals Openplay,Goals from Inside Box,Headed Goals,Home Goals,Away Goals,Successful Dribbles,Successful Launches,Penalties Conceded,Successful Crosses open play,Successful Crosses & Corners,Successful Corners into Box,Attempts from Set Pieces,Set Pieces Goals,Left Foot Goals,Goals from Outside Box,Offsides,Blocked Shots,Last Player Tackle,GK Successful Distribution,Goal Kicks,GK Unsuccessful Distribution,Saves made - parried,Saves Made,Saves Made from Inside Box,Goalkeeper Smother,Saves Made from Outside Box,Penalties Faced,Punches,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Assists (Intentional),Right Foot Goals,Hit Woodwork,Catches,Saves from Penalty,Penalties Saved,Foul Won Penalty,Penalties Taken,Penalty Goals,Clearances Off the Line,Red Cards - 2nd Yellow,Own Goal Scored,Drops,Saves made - caught,Second Goal Assists,Other Goals,Penalties Off Target
Concacaf_Leagues_Cup,2025,Club Tigres UANL,8f8h57y9u27itkkdehbdss4b9,J. Aquino,Midfielder,20,17.0,20.0,3.0,73.0,3.0,5.0,,,4.0,10.0,3.0,8.0,,19.0,9.0,177.0,22.0,,181.0,2.0,45.0,2.0,14.0,,13.0,,205.0,5.0,1.0,9.0,301.0,1.0,183.0,20.0,68.0,8.0,92.0,,1.0,1.0,1.0,35.0,4.0,5.0,256.0,2.0,,,93.0,8.0,5.0,2.0,5.0,4.0,10.0,2.0,14.0,8.0,2.0,199.0,3.0,11.0,0.0,,1.0,2.0,4.0,3.0,4.0,,3.0,,,,,,,,,,2.0,,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Tigres UANL,auegpd36ras84mp8q6j6gs8a1,J. Brunetta,Midfielder,11,38.0,37.0,4.0,93.0,3.0,2.0,10.0,3.0,4.0,4.0,3.0,13.0,6.0,112.0,20.0,278.0,32.0,1.0,263.0,1.0,42.0,,20.0,,2.0,6.0,326.0,3.0,3.0,20.0,360.0,4.0,294.0,41.0,79.0,2.0,129.0,3.0,2.0,,7.0,51.0,5.0,6.0,385.0,8.0,3.0,3.0,169.0,18.0,6.0,9.0,1.0,4.0,10.0,31.0,19.0,9.0,4.0,310.0,10.0,21.0,0.0,2.0,6.0,,7.0,,1.0,,1.0,,,,,,,,,,3.0,1.0,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,4.0,2.0,,1.0,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Tigres UANL,61huc8rado1jmr8ilgyv2aqxh,Samir,Defender,3,,,,1.0,,,,,1.0,1.0,,,,8.0,,11.0,1.0,,13.0,,2.0,,1.0,,,,14.0,,,,20.0,,13.0,,3.0,,11.0,,,1.0,,1.0,,,18.0,,,,2.0,,,,,1.0,10.0,,1.0,,,12.0,,,0.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Tigres UANL,608d9yxcn99up33girsspyaga,A. Carrera,Goalkeeper,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Tigres UANL,6fdvv4zs5pl6qj7pp6tsp5iad,Á. Correa,Forward,7,32.0,17.0,4.0,28.0,3.0,31.0,1.0,9.0,4.0,2.0,5.0,1.0,12.0,36.0,14.0,90.0,18.0,,90.0,2.0,31.0,2.0,6.0,,,,110.0,,4.0,21.0,350.0,5.0,92.0,37.0,15.0,1.0,27.0,,3.0,,5.0,37.0,7.0,6.0,167.0,9.0,3.0,5.0,67.0,18.0,6.0,9.0,,4.0,10.0,2.0,17.0,1.0,4.0,108.0,2.0,16.0,1.0,,3.0,,6.0,,1.0,5.0,3.0,,2.0,,,5.0,4.0,,4.0,1.0,6.0,,,1.0,2.0,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Tigres UANL,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17,3.0,4.0,,5.0,,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,6.0,2.0,16.0,4.0,,16.0,,5.0,,2.0,,,1.0,20.0,,1.0,2.0,31.0,1.0,16.0,4.0,4.0,,5.0,,1.0,2.0,1.0,6.0,,,26.0,1.0,,1.0,11.0,1.0,,,,2.0,10.0,,4.0,1.0,,20.0,,2.0,0.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Tigres UANL,4w21suigchse7vkzgbl98dt61,M. Farfan,Midfielder,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Tigres UANL,22iqqk9sbs82tmmyd17m2omlm,M. Flores,Midfielder,24,3.0,4.0,1.0,4.0,,2.0,,,2.0,2.0,1.0,,,2.0,1.0,12.0,2.0,,13.0,,7.0,1.0,1.0,,1.0,,15.0,,1.0,3.0,61.0,,13.0,4.0,2.0,4.0,2.0,,1.0,1.0,,7.0,,1.0,23.0,1.0,,1.0,11.0,2.0,1.0,,,2.0,10.0,,2.0,4.0,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Tigres UANL,745jx9uzim73pkz4qavdzt7je,J. Garza,Midfielder,14,18.0,10.0,4.0,19.0,3.0,1.0,,,4.0,13.0,2.0,7.0,2.0,74.0,7.0,185.0,20.0,1.0,184.0,1.0,43.0,1.0,20.0,,18.0,,205.0,7.0,11.0,12.0,343.0,3.0,185.0,20.0,69.0,3.0,101.0,,1.0,,,30.0,6.0,6.0,270.0,4.0,2.0,,84.0,11.0,6.0,2.0,7.0,4.0,10.0,1.0,13.0,3.0,5.0,205.0,4.0,8.0,0.0,2.0,1.0,,3.0,1.0,4.0,,2.0,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup,2025,Club Tigres UANL,4zjhf8g09in1aj4k6c7x485at,A. Gignac,Forward,10,3.0,2.0,1.0,1.0,1.0,5.0,,,4.0,1.0,,,3.0,9.0,1.0,15.0,3.0,1.0,12.0,,9.0,1.0,,,,,19.0,,1.0,2.0,88.0,1.0,16.0,3.0,,,7.0,,,3.0,1.0,6.0,1.0,1.0,28.0,1.0,3.0,,9.0,2.0,1.0,1.0,,4.0,10.0,4.0,3.0,,,18.0,1.0,1.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
