dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Los Angeles FC,Leagues Cup,Attacker,USA,18b4rpeia26xq688ieqaw2z2s,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/18b4rpeia26xq688ieqaw2z2s
,,Los Angeles FC,Leagues Cup,Attacker,El Salvador,36e17qrefearxp7lxb1eibwbu,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/36e17qrefearxp7lxb1eibwbu
,,Los Angeles FC,Leagues Cup,Attacker,Venezuela,39gpds71l6v25ba420on2k26s,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/39gpds71l6v25ba420on2k26s
,,Los Angeles FC,Leagues Cup,Defender,Ukraine,40jupzfrrdbgrppke0ptlhgd0,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/40jupzfrrdbgrppke0ptlhgd0
,,Los Angeles FC,Leagues Cup,Defender,Luxembourg,40lk020a1p1cvmj86ids7k05x,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/40lk020a1p1cvmj86ids7k05x
,,Los Angeles FC,Leagues Cup,,USA,4b0f4mz0yi44sl3fhscfvfi6t,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/4b0f4mz0yi44sl3fhscfvfi6t
,,Los Angeles FC,Leagues Cup,,USA,4rofe6lf26y27tam1l0du9239,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/4rofe6lf26y27tam1l0du9239
,,Los Angeles FC,Leagues Cup,Attacker,France,5awkzgwwh48prwgvxwewuc5hx,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/5awkzgwwh48prwgvxwewuc5hx
,,Los Angeles FC,Leagues Cup,Midfielder,Norway,5tkzdksbog7jnzscgr1cj771m,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/5tkzdksbog7jnzscgr1cj771m
,,Los Angeles FC,Leagues Cup,Midfielder,USA,62qm90k4d9lsuf4l176moad49,c6e7kqqrkt389ysrth6yy6puy,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/62qm90k4d9lsuf4l176moad49
