dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,San Diego FC,Leagues Cup,Midfielder,Germany,1e2rcqui6mxvgyrsha9fr1ai2,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/1e2rcqui6mxvgyrsha9fr1ai2
,,San Diego FC,Leagues Cup,Midfielder,USA,1lym8zscp7l8icay2cya7cauh,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/1lym8zscp7l8icay2cya7cauh
,,San Diego FC,Leagues Cup,Midfielder,Ghana,1uwtkp2t8af6ik8zini96r6z8,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/1uwtkp2t8af6ik8zini96r6z8
,,San Diego FC,Leagues Cup,Midfielder,Finland,2j1mbb8q1ewychwj5czmolii1,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/2j1mbb8q1ewychwj5czmolii1
,,San Diego FC,Leagues Cup,Defender,USA,2p7trpamkl4r0e0l489g83tyi,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/2p7trpamkl4r0e0l489g83tyi
,,San Diego FC,Leagues Cup,,USA,2rrso36wknip7tzf09cx2k6xg,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/2rrso36wknip7tzf09cx2k6xg
,,San Diego FC,Leagues Cup,Defender,Sweden,2y2trc5vf2vff26pqhidefpih,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/2y2trc5vf2vff26pqhidefpih
,,San Diego FC,Leagues Cup,Defender,USA,3etb72wtwcrim97dyp9g2px5g,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/3etb72wtwcrim97dyp9g2px5g
,,San Diego FC,Leagues Cup,Attacker,Denmark,3q2ibq6hhxyht8046ib49ye39,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/3q2ibq6hhxyht8046ib49ye39
,,San Diego FC,Leagues Cup,Midfielder,Panama,4ajhe29nxseyo6wqg3hjdghcl,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/4ajhe29nxseyo6wqg3hjdghcl
,,San Diego FC,Leagues Cup,Goalkeeper,Mexico,4k660h0n22tulciczpvmf1nmd,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/4k660h0n22tulciczpvmf1nmd
,,San Diego FC,Leagues Cup,Defender,Argentina,4qfqw1u2uvuardvdjw3pp6oyx,74lhmgpfmledj7a1h58wuar6c,9fuwphq8kvugrlc3ckm7k8wes,2aezgxs11btd9hxjynufeowt0,https://www.scoresway.com/en_GB/soccer/leagues-cup-2025/2aezgxs11btd9hxjynufeowt0/teams/view/74lhmgpfmledj7a1h58wuar6c/player/view/4qfqw1u2uvuardvdjw3pp6oyx
