dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Midfielder,Mexico,1cyhpfi77dom7gmpuownxlcrt,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/1cyhpfi77dom7gmpuownxlcrt
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Attacker,Mexico,2a4ps5qrt0o2jmbl7jgtg38bt,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/2a4ps5qrt0o2jmbl7jgtg38bt
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Attacker,Mexico,39twli4ggza19cr83weylmck4,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/39twli4ggza19cr83weylmck4
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Attacker,Mexico,3fg34yxa754wdwke9z0hxfzf8,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/3fg34yxa754wdwke9z0hxfzf8
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Defender,Mexico,3zrr36fbez8ksgivu7ksfv6ne,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/3zrr36fbez8ksgivu7ksfv6ne
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Attacker,Mexico,42w1fj2n8ubc7of8feg5z5p90,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/42w1fj2n8ubc7of8feg5z5p90
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Midfielder,Mexico,46gmlxyv64n96chf3smedv9ck,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/46gmlxyv64n96chf3smedv9ck
,Brian Gutiérrez,CD Guadalajara,CD_Guadalajara,Leagues Cup,Midfielder,Mexico,4905smnxfjmrv8ofswccszuqy,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/4905smnxfjmrv8ofswccszuqy
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Defender,Mexico,4am166qume7qpt7lojtm3frx0,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/4am166qume7qpt7lojtm3frx0
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Goalkeeper,Mexico,5fyryk75x4ra6y0tjeuf4zi1g,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/5fyryk75x4ra6y0tjeuf4zi1g
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Midfielder,Mexico,5iy3sz4b3mokizd2qlcskl5d6,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/5iy3sz4b3mokizd2qlcskl5d6
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,Defender,Mexico,5yt3hbvzpaqv8lrjgt4ahb78q,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/5yt3hbvzpaqv8lrjgt4ahb78q
,,CD Guadalajara,CD_Guadalajara,Leagues Cup,,Argentina,63auw9130usejz6f2dvr8lln9,e603sojy77s4u0ypqds2v2a1g,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/63auw9130usejz6f2dvr8lln9
