dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,Luis Reyes,CF Monterrey,CF_Monterrey,Leagues Cup,Defender,Mexico,21051apcxzotsbfnwivngarbp,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/21051apcxzotsbfnwivngarbp
,,CF Monterrey,CF_Monterrey,Leagues Cup,Midfielder,Mexico,2ufp5icqczg2wvcxl5axnxu96,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/2ufp5icqczg2wvcxl5axnxu96
,,CF Monterrey,CF_Monterrey,Leagues Cup,Attacker,Argentina,36g1p3hll0wmj8icjk1krrp0q,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/36g1p3hll0wmj8icjk1krrp0q
,,CF Monterrey,CF_Monterrey,Leagues Cup,Attacker,France,3ikhefktnj44ys7rqjzr5q09h,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/3ikhefktnj44ys7rqjzr5q09h
,,CF Monterrey,CF_Monterrey,Leagues Cup,Defender,Mexico,3peisc9ze0fnezd0kgji97kt0,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/3peisc9ze0fnezd0kgji97kt0
,,CF Monterrey,CF_Monterrey,Leagues Cup,,Argentina,47cf8n42u9lspiq3jg8gztecp,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/47cf8n42u9lspiq3jg8gztecp
,,CF Monterrey,CF_Monterrey,Leagues Cup,Defender,Mexico,4brxad2pilyhwhjgri3u0rmga,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/4brxad2pilyhwhjgri3u0rmga
,,CF Monterrey,CF_Monterrey,Leagues Cup,Midfielder,Mexico,4oqafb9exc0f0443kntkkm80k,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/4oqafb9exc0f0443kntkkm80k
,,CF Monterrey,CF_Monterrey,Leagues Cup,Goalkeeper,Uruguay,4tt9wh05c0oj5qviq1xn3qms5,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/4tt9wh05c0oj5qviq1xn3qms5
,,CF Monterrey,CF_Monterrey,Leagues Cup,Goalkeeper,Argentina,5e1an2e7bnk0269e1tvislv4l,233335xtoe3e3phg3hp91xguq,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/233335xtoe3e3phg3hp91xguq/player/view/5e1an2e7bnk0269e1tvislv4l
