dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Portland Timbers,Portland_Timbers,Leagues Cup,Attacker,Chile,1j3bnj5t14cvv87xfff0f0msq,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/1j3bnj5t14cvv87xfff0f0msq
,,Portland Timbers,Portland_Timbers,Leagues Cup,Attacker,Costa Rica,206pq3zqgobudaa5dfy93psr9,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/206pq3zqgobudaa5dfy93psr9
,,Portland Timbers,Portland_Timbers,Leagues Cup,Defender,USA,25pwi3q1y4tx1in9425eyln56,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/25pwi3q1y4tx1in9425eyln56
,,Portland Timbers,Portland_Timbers,Leagues Cup,Defender,Australia,3n3jrt6gx6o1z1q2nq0qmaxhw,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/3n3jrt6gx6o1z1q2nq0qmaxhw
,Eric Izoita,Portland Timbers,Portland_Timbers,Leagues Cup,Midfielder,USA,4758p8wg8z76pxjncaewx8mqc,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/4758p8wg8z76pxjncaewx8mqc
,,Portland Timbers,Portland_Timbers,Leagues Cup,Midfielder,Colombia,51gu23f6rpg1j0hs6d8dtpn56,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/51gu23f6rpg1j0hs6d8dtpn56
,,Portland Timbers,Portland_Timbers,Leagues Cup,Attacker,USA,5gvvjvj3aw75jrxcmajcx2b6c,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/5gvvjvj3aw75jrxcmajcx2b6c
,,Portland Timbers,Portland_Timbers,Leagues Cup,Midfielder,Ecuador,5lswx5dhnes79amobim2kcv6d,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/5lswx5dhnes79amobim2kcv6d
,,Portland Timbers,Portland_Timbers,Leagues Cup,Defender,Colombia,64iftio0uj6xszlfhu2koz696,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/64iftio0uj6xszlfhu2koz696
,Cole Bassett,Portland Timbers,Portland_Timbers,Leagues Cup,Midfielder,USA,6pgcyaivg3sjcm6jju4nn3omi,77o8sorlijzpr0t4s7231zzxp,9fuwphq8kvugrlc3ckm7k8wes,4cjeunnarebacq4t1owt1vp5g,https://www.scoresway.com/en_GB/soccer/leagues-cup-2026/4cjeunnarebacq4t1owt1vp5g/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/6pgcyaivg3sjcm6jju4nn3omi
