dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,Mathias Jørgensen,New York Red Bulls,Leagues Cup 2019-2022,Attacker,Denmark,1arzd8hqj73byhduozscqz5uy,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/1arzd8hqj73byhduozscqz5uy
,,New York Red Bulls,Leagues Cup 2019-2022,Defender,USA,1o6ncw2f6h5uodlhavzsswvrp,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/1o6ncw2f6h5uodlhavzsswvrp
,,New York Red Bulls,Leagues Cup 2019-2022,Midfielder,France,21vmi7qtrujzez3ziux0wa4et,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/21vmi7qtrujzez3ziux0wa4et
,,New York Red Bulls,Leagues Cup 2019-2022,Midfielder,USA,23pxtcocf0xyxeh31ac3hxgx5,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/23pxtcocf0xyxeh31ac3hxgx5
,,New York Red Bulls,Leagues Cup 2019-2022,Midfielder,Paraguay,2xkudoxz92f1vgbjlsbfum3f9,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/2xkudoxz92f1vgbjlsbfum3f9
,,New York Red Bulls,Leagues Cup 2019-2022,Goalkeeper,Republic of Ireland,36p2olvqxa4r4dqiilmaqn6xh,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/36p2olvqxa4r4dqiilmaqn6xh
,,New York Red Bulls,Leagues Cup 2019-2022,Midfielder,USA,3y5650rx37d3hnh3sxzhaz7xl,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/3y5650rx37d3hnh3sxzhaz7xl
,,New York Red Bulls,Leagues Cup 2019-2022,Midfielder,USA,4wy7kbv694s6xrm3tfsyl4hyh,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/4wy7kbv694s6xrm3tfsyl4hyh
,,New York Red Bulls,Leagues Cup 2019-2022,Defender,USA,4xs77e574mfyhel01usnjq7e,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/4xs77e574mfyhel01usnjq7e
,,New York Red Bulls,Leagues Cup 2019-2022,Midfielder,USA,64vrzsvixp5cvq9b7ol723zkl,7k329us81r2yiw9pakgo5tp6e,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/7k329us81r2yiw9pakgo5tp6e/player/view/64vrzsvixp5cvq9b7ol723zkl
