dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Portland Timbers,Leagues Cup 2019-2022,Goalkeeper,USA,2064tn0xmtvyqn799kddgrnpx,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/2064tn0xmtvyqn799kddgrnpx
,,Portland Timbers,Leagues Cup 2019-2022,Defender,Venezuela,2fckiuro6y0tpq9p42vepkgdl,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/2fckiuro6y0tpq9p42vepkgdl
,,Portland Timbers,Leagues Cup 2019-2022,Midfielder,Paraguay,2vi0jnzpu8uxqpkdwo0xcl2p5,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/2vi0jnzpu8uxqpkdwo0xcl2p5
,,Portland Timbers,Leagues Cup 2019-2022,Defender,Costa Rica,4d6cfs28p6vb6q1ijkw3dks7p,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/4d6cfs28p6vb6q1ijkw3dks7p
,,Portland Timbers,Leagues Cup 2019-2022,Midfielder,USA,4hmqtr4zzogg0yw2w9dibv5k9,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/4hmqtr4zzogg0yw2w9dibv5k9
,,Portland Timbers,Leagues Cup 2019-2022,Defender,Congo DR,4j2nh9w9r59fay6i6zk82lsd1,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/4j2nh9w9r59fay6i6zk82lsd1
,,Portland Timbers,Leagues Cup 2019-2022,Defender,USA,4w21suigchse7vkzgbl98dt61,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/4w21suigchse7vkzgbl98dt61
,,Portland Timbers,Leagues Cup 2019-2022,Defender,Norway,5ae3m4zqse49bnfq3gtq9vz6d,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/5ae3m4zqse49bnfq3gtq9vz6d
,,Portland Timbers,Leagues Cup 2019-2022,Attacker,Cameroon,6a6mbb6e462y31yyfprw3br3d,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/6a6mbb6e462y31yyfprw3br3d
,,Portland Timbers,Leagues Cup 2019-2022,Attacker,Colombia,6qmzaju2rlnvj46dvycvalrkl,77o8sorlijzpr0t4s7231zzxp,ovjt2s6fzt0l5txs3j003p7u,3njp02uzrqz6xvbwnp521v1ii,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/teams/view/77o8sorlijzpr0t4s7231zzxp/player/view/6qmzaju2rlnvj46dvycvalrkl
