liga,temporada,equipo,id,nombre,posicion,dorsal,Open Play Passes,Substitute On,Successful Open Play Passes,Successful Short Passes,Games Played,Successful Passes Opposition Half,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Forward Passes,Appearances,Index,Touches,Home Goals,Away Goals,Winning Goal,Duels lost,Ground Duels,Ground Duels won,Total Shots,Unsuccessful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Launches,Recoveries,Unsuccessful Long Passes,Clean Sheets,Times Tackled,Unsuccessful Passes Own Half,Total Touches In Opposition Box,Aerial Duels won,Blocks,Successful Passes Own Half,Goals Conceded Outside Box,Interceptions,Ground Duels lost,Total Clearances,Foul Attempted Tackle,Leftside Passes,Backward Passes,Rightside Passes,PutThrough/Blocked Distribution,Aerial Duels,Tackles Won,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Duels,Goals Conceded,Successful Dribbles,Total Fouls Conceded,Goals Conceded Inside Box,Starts,Total Tackles,Shots Off Target (inc woodwork),Successful Long Passes,Duels won,Total Losses Of Possession,Total Fouls Won,PutThrough/Blocked Distribution Won,Shots On Target ( inc goals ),Blocked Shots,Yellow Cards,Offsides,Unsuccessful Crosses & Corners,Aerial Duels lost,Goals,Attempts from Set Pieces,Unsuccessful Crosses open play,Substitute Off,Goals from Inside Box,Tackles Lost,Key Passes (Attempt Assists),Left Foot Goals,GK Unsuccessful Distribution,Saves Made from Inside Box,Saves Made,GK Successful Distribution,Through balls,Corners Won,Goal Assists,Assists (Intentional),Successful Lay-offs,Throw Ins to Own Player,Right Foot Goals,Corners Taken (incl short corners),Goals from Outside Box,Unsuccessful Corners into Box,Second Goal Assists,Successful Launches,Successful Crosses & Corners,Successful Crosses open play,Foul Won Penalty,Handballs conceded,Successful Corners into Box,Penalties Taken,Penalty Goals,Throw Ins to Opposition Player,Saves made - parried,Punches,Catches,Goalkeeper Smother,Saves Made from Outside Box,Clearances Off the Line,Hit Woodwork,Penalty Goals Conceded,Drops,Penalties Faced,Penalties Conceded,Straight Red Cards,Total Red Cards,Unsuccessful lay-offs,Headed Goals
Concacaf_Leagues_Cup_2019_2022,2021,Club León,2ufp5icqczg2wvcxl5axnxu96,F. Ambríz,Midfielder,26,1,1,1,1,1,1,1,1,3,1,1,10,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,84r1msh0g1qj25wss1n4fv74l,S. Barreiro,Defender,21,153,,128,122,2,49,160,135,180,68,2,10,176,0,0,0,4,6,2,1,18,25,5,10,7,1,2,12,2,3,2,86,1,3,4,4,1,68,6,18,1,3,1,13,1,9,2,1,1,1,2,1,1,13,5,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,av5uo0p5jq933l06f12zt9mtx,G. Burón,Defender,3,1,1,1,1,1,,1,1,4,,1,10,3,0,0,0,,2,2,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,2,,,,,,1,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,1u9sn1cu0pq16mina2q6d6dwp,S. Colombatto,Midfielder,22,166,,149,140,3,76,167,150,267,39,3,10,198,1,1,1,21,23,7,4,14,17,2,22,3,1,4,7,6,1,1,74,1,5,16,1,8,32,35,61,2,6,3,11,1,29,3,1,10,2,3,4,2,10,8,24,2,1,2,1,1,1,1,5,2,1,1,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,5jj07az7i7svdgh5egd1s5dqt,R. Cota,Goalkeeper,30,47,,39,45,3,,71,54,270,30,3,10,93,0,0,0,,1,1,,1,17,8,20,16,1,,8,,,,54,1,1,,1,,16,,25,,,1,9,,1,3,,,2,3,1,,9,1,17,,,,,,,,,,,,,,,,,5,4,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,30q9d8i2c8kgscpgze0x5h0b9,V. Dávila,Forward,7,54,,41,44,3,30,59,46,229,14,3,10,82,0,1,0,4,7,6,3,11,13,,5,2,1,1,2,5,2,1,16,,,1,2,,13,14,18,4,5,,11,1,12,2,2,,2,3,,,2,8,22,4,1,3,,,2,,3,1,,,2,1,,2,1,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,67xkw0v7i1og0x9x5cdbsg1qt,O. Fernández,Midfielder,25,104,,89,90,3,68,106,91,218,31,3,10,133,0,2,1,7,8,4,2,13,15,,8,2,,3,4,8,,,23,,1,4,1,,22,25,28,2,3,,14,3,11,2,1,,2,3,,,1,4,30,3,1,2,,,,3,3,2,,1,3,1,,,,,,,,,1,,,,1,2,4,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,5ftsfmgd1oqfh7m2gc3tqvzrp,E. Gigliotti,Forward,20,7,2,7,7,2,3,7,7,41,,2,10,11,1,0,1,2,3,1,1,,,,,,,,,1,2,,4,1,,2,,,1,4,2,,2,,,,5,1,,2,,,,,,3,1,1,,1,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,7pllpe90p67chza7qfpqjuv9x,R. González,Defender,23,51,,43,41,1,5,51,43,90,13,1,10,62,0,0,0,1,3,2,,4,8,3,3,4,,,2,1,2,1,38,,1,1,4,,12,2,24,3,2,1,6,,5,1,,1,1,1,2,,2,4,8,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club León,5jm6s85v4f9w6fgk3t23p9nmd,E. Hernández,Midfielder,11,50,2,43,40,3,33,50,43,104,9,3,10,64,0,0,0,3,5,2,1,6,7,,5,1,,3,1,5,,,12,1,,3,1,,2,16,23,3,,1,8,3,5,2,,,1,1,1,,3,2,15,1,,1,,,1,2,,,,2,1,,,2,,,,,,1,,2,2,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
