dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
6,,Canada Under 23,Olympic Qualifying Concacaf,Midfielder,Philippines,2jwbnsl7zicnbgutmpop29d61,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/2jwbnsl7zicnbgutmpop29d61
18,Matthew Nogueira,Canada Under 23,Olympic Qualifying Concacaf,Goalkeeper,Canada,2lbhlksd99erb9oba0j3gizmx,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/2lbhlksd99erb9oba0j3gizmx
15,,Canada Under 23,Olympic Qualifying Concacaf,Attacker,Canada,2r6suw717hgzqsp8ogvwdfk6h,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/2r6suw717hgzqsp8ogvwdfk6h
16,,Canada Under 23,Olympic Qualifying Concacaf,Defender,Canada,2x500ds4ke374qi3jcpdi1wtm,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/2x500ds4ke374qi3jcpdi1wtm
4,,Canada Under 23,Olympic Qualifying Concacaf,Defender,Canada,37pbdttxfaqvayoufo0q0dxey,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/37pbdttxfaqvayoufo0q0dxey
3,,Canada Under 23,Olympic Qualifying Concacaf,Defender,Canada,3dev7rxsam4451gyu07wwrkkp,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/3dev7rxsam4451gyu07wwrkkp
2,,Canada Under 23,Olympic Qualifying Concacaf,Defender,Canada,3dtxx6whin53g58f5rz9xil7t,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/3dtxx6whin53g58f5rz9xil7t
12,,Canada Under 23,Olympic Qualifying Concacaf,Defender,Algeria,49rr75teem0kobuhr4cesh756,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/49rr75teem0kobuhr4cesh756
,,Canada Under 23,Olympic Qualifying Concacaf,Midfielder,Canada,63rmd2xbr48c0zzvsj6bn3651,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/63rmd2xbr48c0zzvsj6bn3651
,,Canada Under 23,Olympic Qualifying Concacaf,Goalkeeper,Canada,6nmcuw8asxh6k3l5khx5atmfp,6rp0x65uyy4ajlhhsoeordknp,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/6rp0x65uyy4ajlhhsoeordknp/player/view/6nmcuw8asxh6k3l5khx5atmfp
