dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Midfielder,St. Kitts and Nevis,1l1ilvcyhfr64gw458yncvl5h,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/1l1ilvcyhfr64gw458yncvl5h
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Goalkeeper,St. Kitts and Nevis,1nnlpx2e262o3u7cevbzivwlx,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/1nnlpx2e262o3u7cevbzivwlx
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Defender,St. Kitts and Nevis,23acalcruyoqy28329iyxlg5,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/23acalcruyoqy28329iyxlg5
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Defender,St. Kitts and Nevis,2aqcb0d15k8or7212dgf2nyt,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/2aqcb0d15k8or7212dgf2nyt
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Attacker,St. Kitts and Nevis,2nwon3fpjc7jjj2sq5hebs2d,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/2nwon3fpjc7jjj2sq5hebs2d
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Midfielder,St. Kitts and Nevis,2uqjwwpa9ep06obuefi9h87p,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/2uqjwwpa9ep06obuefi9h87p
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Attacker,St. Kitts and Nevis,3n69uab4uzm85a4jvk8d8jpp1,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/3n69uab4uzm85a4jvk8d8jpp1
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Midfielder,St. Kitts and Nevis,4adykfltdae7mgl8g2ebk1979,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/4adykfltdae7mgl8g2ebk1979
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Defender,St. Kitts and Nevis,5qqeqpeddz7a6efaeym7hp2ad,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/5qqeqpeddz7a6efaeym7hp2ad
,,St Kitts and Nevis Under 23,Olympic Qualifying Concacaf,Attacker,St. Kitts and Nevis,9tvo9ou44zfvxfjcujkew3xlh,2igleiiqqv1u5e77srzzfz9at,epdc32z4i0wvp8l02r36c3lqt,678t6imup5cq4ndvauwfkb8q1,https://www.scoresway.com/en_GB/soccer/olympic-qualifying-concacaf-2020-tokyo/678t6imup5cq4ndvauwfkb8q1/teams/view/2igleiiqqv1u5e77srzzfz9at/player/view/9tvo9ou44zfvxfjcujkew3xlh
