dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,CD Guadalajara,CD_Guadalajara,Copa MX,Midfielder,Mexico,1c2hhoooyaqjyxgkg6pbsfeuh,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/1c2hhoooyaqjyxgkg6pbsfeuh
,,CD Guadalajara,CD_Guadalajara,Copa MX,Midfielder,Mexico,1f13igpnntzk602p88o9z4smh,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/1f13igpnntzk602p88o9z4smh
,,CD Guadalajara,CD_Guadalajara,Copa MX,Defender,Mexico,1lyhqcmglkzs3ls9zzk1mn26t,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/1lyhqcmglkzs3ls9zzk1mn26t
196,,CD Guadalajara,CD_Guadalajara,Copa MX,Attacker,Mexico,1xxns8gvfw2dzab64011w2g6i,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/1xxns8gvfw2dzab64011w2g6i
,Ángel López,CD Guadalajara,CD_Guadalajara,Copa MX,Midfielder,Mexico,1yy9dzm5dhk3x6f8ypkymeooa,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/1yy9dzm5dhk3x6f8ypkymeooa
183,,CD Guadalajara,CD_Guadalajara,Copa MX,Midfielder,Mexico,27g83fp7at8q7ukq60842wnsa,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/27g83fp7at8q7ukq60842wnsa
,,CD Guadalajara,CD_Guadalajara,Copa MX,Defender,Mexico,2uaeu4okrtspi9m04h8bonlk9,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/2uaeu4okrtspi9m04h8bonlk9
,,CD Guadalajara,CD_Guadalajara,Copa MX,Defender,Mexico,2zjsc9ayn289howk0gbrclall,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/2zjsc9ayn289howk0gbrclall
,,CD Guadalajara,CD_Guadalajara,Copa MX,Midfielder,Mexico,39vlfcg8e9k8ubcc586nh2nl5,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/39vlfcg8e9k8ubcc586nh2nl5
194,,CD Guadalajara,CD_Guadalajara,Copa MX,Midfielder,Mexico,3d16m7pha49aagceu3ub6bey2,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/3d16m7pha49aagceu3ub6bey2
,,CD Guadalajara,CD_Guadalajara,Copa MX,,Mexico,3hjak6bsusd2uw3erorhc50bt,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/3hjak6bsusd2uw3erorhc50bt
200,,CD Guadalajara,CD_Guadalajara,Copa MX,Defender,Mexico,3zrr36fbez8ksgivu7ksfv6ne,e603sojy77s4u0ypqds2v2a1g,1rlh9j70dy0rmqwm89v2jmzg6,cv55lr5zxxsdy8z8fledti3ca,https://www.scoresway.com/en_GB/soccer/copa-mx-2019-2020/cv55lr5zxxsdy8z8fledti3ca/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/3zrr36fbez8ksgivu7ksfv6ne
