root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Time Played,Substitute On,Own Goal Scored,Goals Conceded Inside Box,Starts,Touches,Appearances,Index,Goals Conceded,Games Played,Goals Conceded Outside Box,Substitute Off,Goals,Right Foot Goals,Total Shots,Total Touches In Opposition Box,Shots On Target ( inc goals ),Goals from Inside Box,Penalties Taken,Penalty Goals,Goals from Outside Box,Yellow Cards,Penalty Goals Conceded,Penalties Faced,Total Red Cards,Straight Red Cards,Unsuccessful Crosses open play,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Ground Duels,Forward Passes,Duels won,Successful Long Passes,Aerial Duels won,Duels,Total Clearances,Unsuccessful Crosses & Corners,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Headed Goals,Set Pieces Goals,Attempts from Set Pieces,Corners Won,Successful Crosses & Corners,Successful Dribbles,Successful Corners into Box,Corners Taken (incl short corners),Total Fouls Won,Unsuccessful Corners into Box,Aerial Duels lost,Total Fouls Conceded,Foul Attempted Tackle,Successful Crosses open play,Handballs conceded,Successful Lay-offs,Unsuccessful Dribbles,Assists (Intentional),Goal Assists,Successful Launches,Unsuccessful Launches,Unsuccessful Long Passes,Blocks,Tackles Won,Penalties Conceded,Offsides,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Unsuccessful lay-offs,Through balls,Red Cards - 2nd Yellow,Goalkeeper Smother,Times Tackled,Winning Goal,Hit Woodwork,Left Foot Goals,Foul Won Penalty,Penalties Saved,Saves from Penalty
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,bei486ox42219hyokmlee8kq1,A. Alvarado,Forward,199,525.0,1.0,,3.0,7.0,75.0,8.0,10.0,3.0,8.0,,6.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,,,,1.0,,43.0,7.0,23.0,1.0,,25.0,8.0,3.0,11.0,43.0,27.0,13.0,10.0,4.0,10.0,1.0,,7.0,3.0,5.0,21.0,12.0,16.0,3.0,1.0,24.0,,2.0,6.0,14.0,30.0,30.0,3.0,,8.0,,1.0,15.0,,,1.0,1.0,1.0,1.0,,1.0,11.0,1.0,2.0,2.0,1.0,1.0,,,1.0,,,,1.0,2.0,,3.0,,1.0,,,,,,,,,,,,5.0,1.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,67kiza0mpm996eve7t6hezgx6,E. Banda,Forward,204,18.0,3.0,,1.0,,,3.0,10.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,exi29g84yg4gaptqo55lhmqj9,M. Barovero,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,algbhkns08ibwpdc4sehpem6t,J. Basanta,Defender,15,180.0,,,,2.0,,2.0,10.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,dyvaiyl178toh3exww7qz0nl6,É. Cantú,Midfielder,35,117.0,3.0,,,1.0,46.0,4.0,10.0,1.0,4.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,11.0,14.0,5.0,5.0,,,13.0,5.0,2.0,5.0,15.0,6.0,6.0,1.0,,5.0,,4.0,5.0,1.0,1.0,5.0,4.0,2.0,3.0,,6.0,3.0,,3.0,5.0,9.0,9.0,1.0,,4.0,1.0,1.0,2.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,2.0,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,7868bje3gt1j3zhtps28oluc5,L. Cárdenas,Goalkeeper,22,1080.0,,,4.0,12.0,57.0,12.0,10.0,9.0,12.0,5.0,,,,,,,,,,,,1.0,1.0,,,,,18.0,,10.0,,,19.0,16.0,,,44.0,12.0,18.0,5.0,,18.0,,,13.0,,,,33.0,1.0,14.0,1.0,1.0,3.0,,,6.0,14.0,26.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,18.0,,,,,3.0,12.0,2.0,2.0,1.0,1.0,13.0,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,12fkwhjtu3w5l6lo64dkxn74l,R. Funes Mori,Forward,7,437.0,1.0,,,5.0,74.0,6.0,10.0,3.0,6.0,3.0,3.0,3.0,3.0,7.0,9.0,3.0,2.0,1.0,1.0,1.0,2.0,,,,,1.0,,41.0,11.0,20.0,,4.0,25.0,11.0,2.0,12.0,43.0,31.0,12.0,12.0,4.0,9.0,,,2.0,3.0,4.0,15.0,8.0,9.0,,3.0,21.0,2.0,1.0,9.0,12.0,29.0,31.0,6.0,1.0,12.0,1.0,1.0,6.0,,,,2.0,,,,,4.0,,3.0,,,,,2.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,7.0,1.0,1.0,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,306gjy5xp2u15gh9qwrek551x,J. Gallardo,Midfielder,17,667.0,1.0,,2.0,7.0,39.0,8.0,10.0,7.0,8.0,5.0,3.0,1.0,1.0,2.0,6.0,2.0,,,,1.0,1.0,,,,,3.0,,21.0,6.0,7.0,2.0,,14.0,7.0,1.0,7.0,21.0,13.0,7.0,7.0,,9.0,1.0,,1.0,4.0,1.0,8.0,8.0,8.0,1.0,4.0,15.0,,3.0,4.0,,14.0,14.0,7.0,1.0,7.0,1.0,1.0,4.0,,,,1.0,,1.0,,,2.0,,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,dj0mnh206bmg6g2980038frp,A. González,Midfielder,21,494.0,1.0,,1.0,6.0,45.0,7.0,10.0,3.0,7.0,2.0,4.0,,,,1.0,,,,,,,,,,,2.0,,32.0,9.0,13.0,1.0,,14.0,13.0,,6.0,34.0,25.0,8.0,10.0,1.0,11.0,,,5.0,2.0,,3.0,9.0,4.0,1.0,3.0,7.0,,3.0,2.0,6.0,25.0,26.0,4.0,2.0,3.0,,2.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,8hvgcyrjla6crn2toiqflxn85,H. González,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,3xhxdg5j5a2xri7n7ox0aoctl,J. Gónzalez,Midfielder,25,699.0,2.0,,4.0,8.0,,10.0,10.0,8.0,10.0,4.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,4ar9qv2f1k3ehvm0377r13gbu,Á. Grijalva,Defender,187,229.0,2.0,,1.0,2.0,,4.0,10.0,3.0,4.0,2.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,5zuetzoqduux3tt31yu74lsr9,É. Gutiérrez,Defender,6,663.0,3.0,,4.0,7.0,32.0,10.0,10.0,5.0,10.0,1.0,,,,,,,,,,,,1.0,,,,,4.0,15.0,,7.0,1.0,,8.0,4.0,3.0,1.0,17.0,10.0,6.0,1.0,,3.0,,,1.0,1.0,3.0,6.0,9.0,5.0,1.0,1.0,7.0,1.0,,2.0,7.0,10.0,11.0,1.0,4.0,2.0,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,5.0,5.0,1.0,3.0,,,,,,,,,,,,,,2.0,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,5zpifeodjjnl4z070la091wph,A. Hurtado,Midfielder,18,34.0,2.0,,,,5.0,2.0,10.0,2.0,2.0,2.0,,,,1.0,4.0,,,,,,,,,,,,,3.0,2.0,4.0,,1.0,,,,,4.0,4.0,,2.0,1.0,,,,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,Forward,9,594.0,3.0,,3.0,6.0,24.0,9.0,10.0,4.0,9.0,1.0,2.0,7.0,6.0,7.0,9.0,7.0,4.0,2.0,2.0,3.0,1.0,,,,,,,9.0,2.0,6.0,,,3.0,1.0,,3.0,10.0,7.0,3.0,3.0,1.0,3.0,1.0,,3.0,,,8.0,4.0,7.0,,2.0,10.0,,,3.0,1.0,6.0,7.0,2.0,2.0,3.0,,1.0,5.0,,,,1.0,,1.0,,,4.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,adbr7wt8l9cv4wg7i1e2wirpx,M. Kranevitter,Midfielder,5,276.0,,,,4.0,81.0,4.0,10.0,1.0,4.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,45.0,8.0,24.0,1.0,,17.0,15.0,7.0,8.0,52.0,35.0,14.0,4.0,1.0,10.0,,,9.0,2.0,4.0,16.0,30.0,11.0,3.0,1.0,17.0,4.0,,6.0,10.0,32.0,38.0,1.0,1.0,6.0,3.0,7.0,10.0,,,,,1.0,1.0,1.0,1.0,2.0,,,4.0,2.0,,,,1.0,,,,2.0,6.0,,4.0,,,,,,,,,,,,,,2.0,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,dq7sreeigwha462ih1rx93105,M. Layún,Defender,19,270.0,,,,3.0,2.0,3.0,10.0,4.0,3.0,4.0,,2.0,2.0,2.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,a1hc0kfyu3y7irx8gx6iospnt,A. Loba,Forward,10,237.0,3.0,,2.0,3.0,,6.0,10.0,6.0,6.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,25tiud9keevxb6chlx4y4m5pm,J. Machado,Forward,295,13.0,2.0,,,,,2.0,10.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,6s1oih9gufvq1s3uudy76xmju,J. Martínez,Midfielder,197,1.0,1.0,,,,,1.0,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,avklyjdqb9280ejj78gwtsb85,S. Medina,Defender,33,315.0,,,,4.0,,4.0,10.0,3.0,4.0,3.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,2bzyvewvkmmwqtvzwt079o4mi,W. Mejía,Midfielder,194,106.0,2.0,,1.0,1.0,,3.0,10.0,2.0,3.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,bdibb4tinr5kyhu8va15rmok5,M. Meza,Midfielder,11,486.0,2.0,,1.0,5.0,45.0,7.0,10.0,5.0,7.0,4.0,1.0,2.0,2.0,3.0,2.0,2.0,,,,2.0,,,,,,,,23.0,5.0,12.0,,1.0,13.0,7.0,1.0,6.0,24.0,15.0,7.0,2.0,2.0,7.0,1.0,,7.0,,1.0,9.0,9.0,8.0,2.0,3.0,14.0,,1.0,4.0,8.0,16.0,17.0,5.0,2.0,6.0,,2.0,5.0,,,1.0,1.0,2.0,,2.0,2.0,4.0,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,2.0,2.0,,,1.0,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,d3eq55id5cqbis96aet5seoa2,S. Mohamed,Forward,210,1.0,1.0,,,,,1.0,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,cbhdq57m8kxdeqjf42z0i3rop,C. Montes,Defender,3,829.0,1.0,,4.0,9.0,72.0,10.0,10.0,9.0,10.0,5.0,,1.0,1.0,2.0,3.0,1.0,1.0,,,,4.0,1.0,,,,,,38.0,2.0,7.0,,1.0,27.0,15.0,5.0,9.0,44.0,18.0,23.0,4.0,,18.0,,,3.0,,5.0,9.0,25.0,13.0,3.0,6.0,15.0,11.0,,2.0,13.0,18.0,21.0,6.0,3.0,2.0,,1.0,7.0,,,,,1.0,,,,2.0,,,1.0,,1.0,,,,,,1.0,8.0,14.0,2.0,5.0,,,,,,,,,,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CF Monterrey,CF_Monterrey,8b9lvuqf5ltpcy1gqw7ps3z6d,C. Ortiz,Midfielder,16,205.0,1.0,,2.0,2.0,10.0,3.0,10.0,2.0,3.0,,,,,,,,,,,,,,,,,,,6.0,1.0,,2.0,,4.0,2.0,1.0,2.0,6.0,2.0,4.0,1.0,,2.0,,,1.0,2.0,2.0,2.0,3.0,2.0,,1.0,3.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,0.0,,,,,
