root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Time Played,Substitute On,Own Goal Scored,Goals Conceded Inside Box,Starts,Touches,Appearances,Index,Goals Conceded,Games Played,Goals Conceded Outside Box,Substitute Off,Goals,Right Foot Goals,Total Shots,Total Touches In Opposition Box,Shots On Target ( inc goals ),Goals from Inside Box,Penalties Taken,Penalty Goals,Goals from Outside Box,Yellow Cards,Penalty Goals Conceded,Penalties Faced,Total Red Cards,Straight Red Cards,Unsuccessful Crosses open play,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Ground Duels,Forward Passes,Duels won,Successful Long Passes,Aerial Duels won,Duels,Total Clearances,Unsuccessful Crosses & Corners,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Headed Goals,Set Pieces Goals,Attempts from Set Pieces,Corners Won,Successful Crosses & Corners,Successful Dribbles,Successful Corners into Box,Corners Taken (incl short corners),Total Fouls Won,Unsuccessful Corners into Box,Aerial Duels lost,Total Fouls Conceded,Foul Attempted Tackle,Successful Crosses open play,Handballs conceded,Successful Lay-offs,Unsuccessful Dribbles,Assists (Intentional),Goal Assists,Successful Launches,Unsuccessful Launches,Unsuccessful Long Passes,Blocks,Tackles Won,Penalties Conceded,Offsides,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Unsuccessful lay-offs,Through balls,Red Cards - 2nd Yellow,Goalkeeper Smother,Times Tackled,Winning Goal,Hit Woodwork,Left Foot Goals,Foul Won Penalty,Penalties Saved,Saves from Penalty
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,aduvdymojwlxqe8u7xd1dtiol,V. Angulo,Forward,9,90.0,,,2.0,1.0,,1.0,10.0,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,72rmmvedarr8urn5u2lejlas5,F. Bordagaray,Forward,10,32.0,1.0,,1.0,,,1.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,fraqebh5kz50qaxm9w2krsgl,J. Chávez,Defender,4,459.0,,,5.0,5.0,32.0,5.0,10.0,6.0,5.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,14.0,,3.0,1.0,1.0,5.0,9.0,1.0,,17.0,9.0,5.0,2.0,1.0,5.0,,,4.0,1.0,,2.0,13.0,3.0,3.0,1.0,5.0,6.0,,,2.0,9.0,12.0,3.0,1.0,2.0,,3.0,2.0,,,,,,,,,1.0,,2.0,,,,,,,,,2.0,4.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,3scc8412czpvj9epquykrd0x5,F. Contreras,Midfielder,20,377.0,2.0,,6.0,4.0,27.0,6.0,10.0,6.0,6.0,,2.0,,,1.0,,,,,,,1.0,1.0,,,,,,20.0,1.0,9.0,1.0,1.0,4.0,8.0,1.0,3.0,20.0,14.0,4.0,8.0,1.0,2.0,,,3.0,1.0,2.0,3.0,6.0,2.0,2.0,1.0,5.0,,,2.0,5.0,16.0,16.0,2.0,,3.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,8t05ca2ojrs4ne42c7aecl2ol,A. Domínguez,Midfielder,16,190.0,,,2.0,2.0,52.0,2.0,10.0,2.0,2.0,,,,,,,,,,,,,,,,,,,35.0,2.0,13.0,,,17.0,12.0,2.0,7.0,35.0,22.0,11.0,6.0,1.0,10.0,,,9.0,2.0,2.0,12.0,17.0,5.0,2.0,,14.0,1.0,1.0,7.0,10.0,24.0,24.0,2.0,,9.0,,2.0,5.0,,,,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,1tgdfd9t1o9sfoipu5wu7b9p1,F. Elizari,Midfielder,5,158.0,,,1.0,2.0,,2.0,10.0,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,d5v66qyfnyed52vg60c8xblxx,A. Escoto,Forward,7,455.0,1.0,,3.0,5.0,34.0,6.0,10.0,5.0,6.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,20.0,4.0,7.0,,,11.0,6.0,,8.0,21.0,13.0,8.0,7.0,2.0,8.0,,,,,,4.0,4.0,2.0,,,6.0,2.0,,2.0,6.0,12.0,13.0,2.0,,4.0,,,2.0,,1.0,1.0,1.0,,1.0,,,1.0,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,264mcof3qc8w24lnug4ze8k8a,F. Félix,Defender,0,90.0,,,1.0,1.0,,1.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,cvtcdvadfa2rd0iwce89chdyh,C. González,Midfielder,24,293.0,1.0,,5.0,4.0,,5.0,10.0,6.0,5.0,1.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Mexico_Copa_MX,2019-2020,CSyD Dorados de Sinaloa,CSyD_Dorados_de_Sinaloa,8olehmwdsscn7q5fjir7zsdzp,D. González,Midfielder,19,144.0,3.0,,1.0,1.0,1.0,4.0,10.0,1.0,4.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
