dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Club Puebla,Liga MX,Defender,USA,1knx6w8nx8sd81peciwtes3x1,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/1knx6w8nx8sd81peciwtes3x1
17,,Club Puebla,Liga MX,Midfielder,Mexico,1ljlncw47fok0auowkrat0set,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/1ljlncw47fok0auowkrat0set
5,,Club Puebla,Liga MX,Defender,Mexico,1lyhqcmglkzs3ls9zzk1mn26t,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/1lyhqcmglkzs3ls9zzk1mn26t
,,Club Puebla,Liga MX,,Argentina,1mhe5hhsapuesk1tovmvaex1x,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/1mhe5hhsapuesk1tovmvaex1x
8,,Club Puebla,Liga MX,Midfielder,Mexico,1rjzs2reiblo186mofip259ed,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/1rjzs2reiblo186mofip259ed
,,Club Puebla,Liga MX,Defender,Mexico,1uipjna75tbwlujm02gg241xx,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/1uipjna75tbwlujm02gg241xx
20,,Club Puebla,Liga MX,Midfielder,Colombia,2bka1393417xnw60zc7366or9,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/2bka1393417xnw60zc7366or9
22,,Club Puebla,Liga MX,Attacker,Colombia,2nwb0i2s9gg9etdrpxcwbwz4l,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/2nwb0i2s9gg9etdrpxcwbwz4l
6,,Club Puebla,Liga MX,Midfielder,Mexico,30wni7q1lt14ls0ysz9ggr2dx,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/30wni7q1lt14ls0ysz9ggr2dx
,,Club Puebla,Liga MX,Attacker,Ecuador,3e84n15x929wnh8ihyqxisixh,4kw25nmgmacpbvo24ttr994k5,2hsidwomhjsaaytdy9u5niyi4,alxinhaimxa8ks7lohc5m16i8,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/teams/view/4kw25nmgmacpbvo24ttr994k5/player/view/3e84n15x929wnh8ihyqxisixh
