liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Lay-offs,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Offsides,GK Successful Distribution,Successful Launches,Successful Corners into Box,Corners Taken (incl short corners),Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Attempts from Set Pieces,Assists (Intentional),Goal Assists,Saves Made,Crosses not Claimed,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Right Foot Goals,Clearances Off the Line,Goals from Inside Box,Left Foot Goals,Headed Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Goals from Outside Box,Penalties Conceded,Last Man Tackle,Own Goal Scored,Set Pieces Goals,Penalties Faced,Penalties Off Target,Penalties Saved,Saves from Penalty,Fifty Fifty,Drops
Mexico_Liga_MX,2014-2015,Club Tigres UANL,3fu6aqiio3nm7tovgb6515j2t,V. Alvarado,Midfielder,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,a07qa8wa5v6aa040b5yev5p05,E. Arévalo,Midfielder,5.0,14.0,,,,,,5.0,6.0,1.0,703.0,,3.0,383.0,1.0,52.0,,152.0,1.0,6.0,6.0,4.0,1.0,4.0,65.0,191.0,19.0,47.0,396.0,2.0,,325.0,9.0,5.0,53.0,123.0,5.0,40.0,2.0,,63.0,9.0,15.0,14.0,474.0,14.0,2.0,2.0,47.0,108.0,1.0,10.0,34.0,1.0,18.0,,11.0,4.0,,55.0,5.0,10.0,1.0,17.0,113.0,330.0,343.0,8.0,1.0,,2.0,16.0,21.0,3.0,12.0,30.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,6stnu5c38qqzze7xbyrfwb74l,H. Ayala,Defender,4.0,18.0,,1.0,,,,,1.0,,1600.0,3.0,,909.0,2.0,28.0,,266.0,24.0,66.0,14.0,1.0,2.0,21.0,137.0,546.0,41.0,64.0,942.0,10.0,4.0,742.0,15.0,3.0,130.0,187.0,8.0,94.0,,,93.0,18.0,20.0,36.0,1159.0,18.0,5.0,12.0,77.0,372.0,1.0,10.0,99.0,2.0,70.0,,22.0,36.0,2.0,134.0,59.0,17.0,,14.0,355.0,780.0,812.0,57.0,4.0,,,40.0,35.0,1.0,41.0,63.0,1.0,,12.0,,,,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,bn8eqcglavl5j1kmlgyy3hed,A. Briseño,Defender,13.0,7.0,,1.0,,,,4.0,1.0,,377.0,4.0,,186.0,,17.0,,69.0,5.0,9.0,6.0,,,9.0,34.0,96.0,8.0,17.0,191.0,10.0,,152.0,4.0,,26.0,32.0,1.0,20.0,,1.0,24.0,3.0,6.0,6.0,259.0,7.0,8.0,4.0,30.0,81.0,,10.0,17.0,,13.0,,2.0,7.0,1.0,46.0,24.0,4.0,,20.0,61.0,161.0,165.0,16.0,1.0,,,7.0,29.0,1.0,9.0,10.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,eosduweo896mdq134v5lu0pud,H. Burbano,Midfielder,10.0,12.0,1.0,1.0,,,,2.0,6.0,22.0,832.0,3.0,9.0,284.0,11.0,79.0,15.0,207.0,3.0,9.0,13.0,4.0,2.0,8.0,140.0,47.0,11.0,37.0,285.0,12.0,9.0,227.0,7.0,16.0,46.0,109.0,17.0,63.0,9.0,1.0,35.0,10.0,19.0,9.0,488.0,12.0,7.0,,98.0,40.0,5.0,10.0,46.0,12.0,12.0,12.0,21.0,5.0,17.0,111.0,1.0,9.0,26.0,57.0,57.0,239.0,239.0,13.0,1.0,2.0,,10.0,65.0,1.0,4.0,41.0,4.0,,,3.0,6.0,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,8eb0x6klamglotez9w6nsh3o5,A. Carreño,Forward,13.0,7.0,,,,,,1.0,4.0,4.0,412.0,,6.0,75.0,3.0,14.0,,51.0,,,3.0,4.0,1.0,12.0,45.0,8.0,5.0,24.0,83.0,7.0,2.0,55.0,4.0,8.0,24.0,31.0,5.0,24.0,1.0,,8.0,6.0,5.0,4.0,140.0,7.0,3.0,,29.0,15.0,3.0,10.0,20.0,4.0,4.0,,5.0,9.0,3.0,50.0,3.0,5.0,4.0,18.0,23.0,51.0,59.0,21.0,1.0,2.0,,5.0,30.0,,2.0,11.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,cwd9n2pi4gpyy486mnm7hvqhh,G. Castillo,Midfielder,32.0,2.0,,,,,,2.0,,7.0,91.0,,,32.0,2.0,7.0,1.0,13.0,1.0,1.0,2.0,2.0,,2.0,20.0,14.0,2.0,5.0,32.0,1.0,1.0,24.0,1.0,3.0,6.0,18.0,1.0,12.0,,,4.0,,2.0,2.0,58.0,2.0,,,9.0,6.0,,10.0,5.0,1.0,2.0,1.0,2.0,,1.0,11.0,1.0,1.0,8.0,4.0,1.0,26.0,26.0,2.0,,,,2.0,6.0,,,5.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,ebd087qhfyhs6i8k2442xgb11,J. Dueñas,Midfielder,29.0,18.0,2.0,6.0,,,,2.0,4.0,13.0,1459.0,16.0,12.0,803.0,11.0,145.0,12.0,503.0,6.0,20.0,12.0,17.0,2.0,11.0,200.0,222.0,20.0,95.0,828.0,20.0,11.0,643.0,12.0,27.0,115.0,215.0,29.0,128.0,8.0,3.0,83.0,16.0,25.0,16.0,1088.0,18.0,13.0,3.0,105.0,214.0,,10.0,59.0,10.0,70.0,7.0,22.0,9.0,10.0,125.0,14.0,14.0,29.0,55.0,254.0,689.0,713.0,20.0,5.0,,,16.0,66.0,4.0,17.0,50.0,,,2.0,4.0,14.0,8.0,2.0,1.0,5.0,2.0,3.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,d5v66qyfnyed52vg60c8xblxx,A. Escoto,Midfielder,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2014-2015,Club Tigres UANL,cje0cib3r1m2fdhxaxcyeevp,J. Espericueta,Midfielder,34.0,1.0,,,,,,1.0,,,25.0,,,15.0,,4.0,,8.0,,,,,,,3.0,5.0,,2.0,15.0,1.0,,11.0,,,2.0,5.0,1.0,2.0,,,,,1.0,,16.0,1.0,1.0,,3.0,3.0,,10.0,,,2.0,,,,,3.0,,,,3.0,3.0,13.0,13.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
