dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
215,,CF Pachuca,Liga MX,Attacker,Mexico,1dy5rizde67rkpj51rr3qtgx5,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/1dy5rizde67rkpj51rr3qtgx5
335,,CF Pachuca,Liga MX,Midfielder,Mexico,1mp9j88p7nrt1nxnlmnxt0iy1,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/1mp9j88p7nrt1nxnlmnxt0iy1
26,,CF Pachuca,Liga MX,Midfielder,Mexico,1xxg0aou3yp4zl9j64ztdm4fd,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/1xxg0aou3yp4zl9j64ztdm4fd
28,Rafael Ramírez,CF Pachuca,Liga MX,Goalkeeper,Mexico,241p529jehorfcv97ld9jtnth,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/241p529jehorfcv97ld9jtnth
27,,CF Pachuca,Liga MX,Attacker,Colombia,2e14x64zf30rgadc9ylbnll2h,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/2e14x64zf30rgadc9ylbnll2h
10,,CF Pachuca,Liga MX,Attacker,Uruguay,2jafomm5g9wg1k5d8ecvuo5x,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/2jafomm5g9wg1k5d8ecvuo5x
6,,CF Pachuca,Liga MX,Midfielder,Mexico,311ggil9lszlrn1l7gbtbqa51,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/311ggil9lszlrn1l7gbtbqa51
100,,CF Pachuca,Liga MX,Midfielder,Mexico,4z37bxk0xpkejnj3l4o3ofzdh,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/4z37bxk0xpkejnj3l4o3ofzdh
99,,CF Pachuca,Liga MX,Midfielder,Mexico,4zg07x3hp8bw42r6l664snnx1,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/4zg07x3hp8bw42r6l664snnx1
16,,CF Pachuca,Liga MX,Midfielder,Mexico,4zudld3tsiho4fya7v8xyju1h,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/4zudld3tsiho4fya7v8xyju1h
288,,CF Pachuca,Liga MX,Midfielder,Mexico,56ew9sgcos8mzjk0cpi66q9k9,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/56ew9sgcos8mzjk0cpi66q9k9
24,,CF Pachuca,Liga MX,Defender,Mexico,56gpi68f68jhdw5p2aifi7hzp,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/56gpi68f68jhdw5p2aifi7hzp
11,,CF Pachuca,Liga MX,Midfielder,Argentina,57q6t05rvn7xnrel90osqfljp,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/57q6t05rvn7xnrel90osqfljp
18,,CF Pachuca,Liga MX,Defender,Mexico,5shco09rftlth4ofo7l0ist79,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/5shco09rftlth4ofo7l0ist79
30,,CF Pachuca,Liga MX,Defender,USA,5ywmuj75fpflsqyne41dsgpg5,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/5ywmuj75fpflsqyne41dsgpg5
26,,CF Pachuca,Liga MX,Midfielder,Mexico,61inkxpun49cj9nxwgeyu0iqd,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/61inkxpun49cj9nxwgeyu0iqd
9,,CF Pachuca,Liga MX,Attacker,Argentina,68se1vew8l1geo7buytqinbo5,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/68se1vew8l1geo7buytqinbo5
23,,CF Pachuca,Liga MX,Midfielder,Ecuador,6kwvv619nu41j14077aw1vg7p,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/6kwvv619nu41j14077aw1vg7p
19,,CF Pachuca,Liga MX,Attacker,Paraguay,6swchkgpv8vk1jzqfoi60dxw5,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/6swchkgpv8vk1jzqfoi60dxw5
284,,CF Pachuca,Liga MX,Defender,Mexico,6vawru1s2pzrmrq9vpymzzeuh,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/6vawru1s2pzrmrq9vpymzzeuh
299,,CF Pachuca,Liga MX,Midfielder,Mexico,71mkms16395b6py3grp5p0mw9,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/71mkms16395b6py3grp5p0mw9
,,CF Pachuca,Liga MX,,Argentina,7niq07vftk4ow6agbt2l849g5,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/7niq07vftk4ow6agbt2l849g5
23,,CF Pachuca,Liga MX,Defender,Colombia,8sbgxc5sow6ahmw8ac8bvcfkl,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/8sbgxc5sow6ahmw8ac8bvcfkl
3,,CF Pachuca,Liga MX,Defender,Colombia,9kziqy5is9iduxjcfl6x7konp,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/9kziqy5is9iduxjcfl6x7konp
15,,CF Pachuca,Liga MX,Midfielder,Mexico,9uuk73i8obc7ji0dnan352nkl,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/9uuk73i8obc7ji0dnan352nkl
13,,CF Pachuca,Liga MX,Goalkeeper,Mexico,ai1q7eeu5k90x364z6g4bxl91,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/ai1q7eeu5k90x364z6g4bxl91
2,,CF Pachuca,Liga MX,Midfielder,Mexico,aka66dg7v90vcmip25x6sbth,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/aka66dg7v90vcmip25x6sbth
290,,CF Pachuca,Liga MX,Attacker,Mexico,amh6728j6a1jwarsqut1d5adx,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/amh6728j6a1jwarsqut1d5adx
,,CF Pachuca,Liga MX,Goalkeeper,Uruguay,arz1vichch4xb4kuhqerm65sl,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/arz1vichch4xb4kuhqerm65sl
14,,CF Pachuca,Liga MX,Midfielder,Mexico,asm07nms0t3abdnox6hp8y40l,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/asm07nms0t3abdnox6hp8y40l
282,Héctor López,CF Pachuca,Liga MX,Defender,Mexico,at0f0v249k5q2hwbx37v7ilm1,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/at0f0v249k5q2hwbx37v7ilm1
7,,CF Pachuca,Liga MX,Midfielder,Mexico,aul0t01lanfx9qbnosguego9h,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/aul0t01lanfx9qbnosguego9h
31,,CF Pachuca,Liga MX,Goalkeeper,Uruguay,auudl8h3g7rqlxoiky2r6jxzp,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/auudl8h3g7rqlxoiky2r6jxzp
33,,CF Pachuca,Liga MX,Defender,Colombia,avklyjdqb9280ejj78gwtsb85,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/avklyjdqb9280ejj78gwtsb85
31,,CF Pachuca,Liga MX,Midfielder,Mexico,axbtzuc23599lwq4gz6or7lqt,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/axbtzuc23599lwq4gz6or7lqt
34,Osvaldo Rodríguez,CF Pachuca,Liga MX,Defender,Mexico,ayzzitkww58cz1w3b64f65a6t,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/ayzzitkww58cz1w3b64f65a6t
84,,CF Pachuca,Liga MX,Defender,Mexico,azn1j7kbaicyyhdk624v4vzdh,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/azn1j7kbaicyyhdk624v4vzdh
25,,CF Pachuca,Liga MX,Attacker,Mexico,b3fvifkmifofxu0gt0x7dmpqt,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/b3fvifkmifofxu0gt0x7dmpqt
295,,CF Pachuca,Liga MX,Attacker,Mexico,bdp36n5n4uyu539nzh0z9zwlx,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/bdp36n5n4uyu539nzh0z9zwlx
22,,CF Pachuca,Liga MX,Attacker,Mexico,be02zvjpnx5bjyu6absr8745x,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/be02zvjpnx5bjyu6absr8745x
12,,CF Pachuca,Liga MX,Defender,Mexico,ce1y45gb7zb9zoaeisgvvx2ad,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/ce1y45gb7zb9zoaeisgvvx2ad
8,,CF Pachuca,Liga MX,Attacker,Mexico,cen5nxf8sb8binjr7apt9nb2t,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/cen5nxf8sb8binjr7apt9nb2t
285,,CF Pachuca,Liga MX,Defender,Mexico,ctihnzj7rc3idsu4irqcnsbmx,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/ctihnzj7rc3idsu4irqcnsbmx
,,CF Pachuca,Liga MX,,Uruguay,czikys2t6pl5wxm6w53i2vu8l,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/czikys2t6pl5wxm6w53i2vu8l
298,,CF Pachuca,Liga MX,Midfielder,Mexico,d7ky4oar1v8i1kdrmmxhwv27d,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/d7ky4oar1v8i1kdrmmxhwv27d
29,,CF Pachuca,Liga MX,Attacker,Argentina,dat3cnif8tjb0l88o28wx9brp,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/dat3cnif8tjb0l88o28wx9brp
22,Lucas Silva,CF Pachuca,Liga MX,Midfielder,Brazil,dkaq2nkzz7ye5bo6ao2nyrlqt,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/dkaq2nkzz7ye5bo6ao2nyrlqt
21,,CF Pachuca,Liga MX,Goalkeeper,Mexico,dmgtn14s7xc14vgnhur6m491x,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/dmgtn14s7xc14vgnhur6m491x
5,,CF Pachuca,Liga MX,Midfielder,Mexico,e2ecjp2hobzgi1o9l57xgcd0p,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/e2ecjp2hobzgi1o9l57xgcd0p
299,,CF Pachuca,Liga MX,Midfielder,Paraguay,evphpo5ei34dwebzmatjscd05,cynfvfb31rml7xrlsnejf8r6j,2hsidwomhjsaaytdy9u5niyi4,9q6l70c3yret5j3ddkjzr9z3d,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/teams/view/cynfvfb31rml7xrlsnejf8r6j/player/view/evphpo5ei34dwebzmatjscd05
