dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
33,,Club Necaxa,Liga MX,Defender,Mexico,1lyhqcmglkzs3ls9zzk1mn26t,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/1lyhqcmglkzs3ls9zzk1mn26t
11,,Club Necaxa,Liga MX,Midfielder,Mexico,1v3lq8vey4ddxio0o17fuuitx,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/1v3lq8vey4ddxio0o17fuuitx
304,,Club Necaxa,Liga MX,Attacker,Mexico,1y7niob3hgav4kjw26r0t8stl,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/1y7niob3hgav4kjw26r0t8stl
90,,Club Necaxa,Liga MX,Midfielder,Mexico,2ozchhggsfyfv5y1p8hteo82x,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/2ozchhggsfyfv5y1p8hteo82x
8,,Club Necaxa,Liga MX,Midfielder,Mexico,31d0bklhbxhptjuzmgy3l7x79,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/31d0bklhbxhptjuzmgy3l7x79
18,,Club Necaxa,Liga MX,Attacker,Chile,44cplnd0k0y93sjrcmybvt42d,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/44cplnd0k0y93sjrcmybvt42d
26,Jairo González,Club Necaxa,Liga MX,Defender,Mexico,4i9mwmaay4x7nkbuda0v777it,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/4i9mwmaay4x7nkbuda0v777it
13,,Club Necaxa,Liga MX,Defender,Mexico,4jis3pq2m00ga2b6wsn24ymz9,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/4jis3pq2m00ga2b6wsn24ymz9
14,,Club Necaxa,Liga MX,Attacker,Mexico,50p5umz3jteom30momuyxnutx,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/50p5umz3jteom30momuyxnutx
3,,Club Necaxa,Liga MX,Defender,Chile,52rrhh0kjvsfzl5pqadxnclw5,b7hn6knkuxbpj1i8rmzapns7b,2hsidwomhjsaaytdy9u5niyi4,9vc300fnxeng9to0wtax0c6p5,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/52rrhh0kjvsfzl5pqadxnclw5
