liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Hit Woodwork,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Substitute On,Offsides,Penalties Conceded,Goals,Successful Corners into Box,Total Red Cards,Throw Ins to Opposition Player,Red Cards - 2nd Yellow,Blocks,Left Foot Goals,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goals from Inside Box,Penalties Taken,Penalty Goals,Goals from Outside Box,Headed Goals,Last Man Tackle,Straight Red Cards,Saves Made,GK Successful Distribution,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Right Foot Goals,Foul Won Penalty,Set Pieces Goals,Drops,Penalties Off Target,Crosses not Claimed,Own Goal Scored,Clearances Off the Line,Penalties Saved,Saves from Penalty,Other Goals
Mexico_Liga_MX,2017-2018,Club Puebla,eb8zwnam8ieg4y7xra9x5on9x,F. Acuña,Midfielder,8,14.0,1051.0,10.0,20.0,2.0,410.0,1.0,105.0,3.0,240.0,5.0,,9.0,11.0,5.0,1.0,8.0,168.0,94.0,12.0,71.0,411.0,7.0,12.0,26.0,320.0,12.0,12.0,80.0,74.0,20.0,78.0,3.0,70.0,12.0,32.0,16.0,624.0,,17.0,6.0,125.0,89.0,45.0,10.0,63.0,7.0,,11.0,3.0,22.0,3.0,17.0,136.0,4.0,13.0,14.0,17.0,1.0,65.0,143.0,330.0,331.0,11.0,1.0,3.0,2.0,,7.0,73.0,5.0,11.0,60.0,5.0,4.0,,2.0,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,6ft3hk7jxnwnajm7zs6hwsst1,B. Angulo,Defender,2,44.0,1416.0,103.0,3.0,1.0,728.0,12.0,106.0,11.0,353.0,11.0,2.0,22.0,11.0,4.0,2.0,19.0,249.0,278.0,30.0,103.0,745.0,1.0,19.0,39.0,597.0,21.0,12.0,125.0,323.0,12.0,128.0,2.0,91.0,16.0,48.0,43.0,1146.0,1.0,16.0,10.0,148.0,283.0,22.0,10.0,95.0,8.0,,23.0,10.0,9.0,18.0,17.0,185.0,18.0,23.0,46.0,16.0,,71.0,33.0,606.0,620.0,37.0,4.0,,1.0,3.0,20.0,90.0,10.0,23.0,77.0,,,,1.0,,,13.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,emd0kurj6j6xo9teeee66ouzt,Matheus Ribeiro,Defender,16,,76.0,1.0,2.0,,42.0,,14.0,2.0,23.0,,,,,,,,13.0,10.0,1.0,11.0,42.0,1.0,,2.0,29.0,1.0,,11.0,1.0,2.0,10.0,,8.0,1.0,1.0,1.0,53.0,,2.0,,5.0,15.0,1.0,10.0,5.0,,,2.0,2.0,1.0,1.0,,6.0,,1.0,,2.0,,1.0,12.0,31.0,31.0,1.0,,,,,1.0,1.0,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,313mkucsov90cmyvl97q2r3kl,P. Araújo,Defender,5,,42.0,,,,26.0,,1.0,,17.0,,,,,,,,,9.0,1.0,,26.0,,1.0,,23.0,1.0,,,10.0,1.0,,,1.0,,,,31.0,,2.0,,3.0,9.0,,10.0,1.0,,,3.0,,,,,3.0,3.0,1.0,,2.0,,2.0,6.0,26.0,26.0,,,,,,,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,8eb0x6klamglotez9w6nsh3o5,A. Carreño,Forward,18,,29.0,,,,4.0,,1.0,1.0,3.0,,,,,1.0,,1.0,3.0,,,2.0,4.0,,,,2.0,,1.0,2.0,1.0,,1.0,,,,,1.0,7.0,,1.0,,,2.0,2.0,10.0,1.0,,,,1.0,,1.0,,2.0,,,,1.0,,,,2.0,2.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,cdeomoi09osphftlezrqa7qol,L. Cavallini,Forward,22,5.0,1426.0,1.0,40.0,,291.0,4.0,121.0,2.0,163.0,1.0,4.0,4.0,9.0,15.0,2.0,69.0,186.0,57.0,12.0,105.0,327.0,,46.0,12.0,211.0,20.0,36.0,109.0,52.0,12.0,97.0,5.0,26.0,16.0,19.0,17.0,554.0,,16.0,15.0,143.0,66.0,75.0,10.0,121.0,21.0,,7.0,2.0,43.0,58.0,10.0,270.0,6.0,22.0,5.0,16.0,2.0,80.0,88.0,189.0,218.0,127.0,4.0,11.0,,2.0,8.0,149.0,4.0,4.0,63.0,,5.0,,9.0,,1.0,,,2.0,1.0,,3.0,,9.0,2.0,1.0,,5.0,,1.0,,,,,,,,,,,,3.0,,,,1.0,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,9o3oeacjbkfi3jkku7z1b0k45,A. Chumacero,Midfielder,33,10.0,1153.0,8.0,17.0,,506.0,5.0,113.0,4.0,282.0,4.0,1.0,16.0,9.0,7.0,2.0,12.0,137.0,170.0,26.0,58.0,522.0,2.0,29.0,9.0,425.0,16.0,14.0,74.0,140.0,10.0,66.0,2.0,56.0,13.0,19.0,20.0,695.0,1.0,14.0,19.0,116.0,125.0,22.0,10.0,44.0,7.0,,23.0,4.0,7.0,2.0,8.0,130.0,7.0,18.0,12.0,14.0,1.0,74.0,144.0,432.0,448.0,14.0,3.0,,1.0,,20.0,86.0,6.0,11.0,42.0,1.0,1.0,,2.0,,1.0,,1.0,3.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,3s13x7brd5ldrls2ssyanng89,D. Cruz,Defender,15,3.0,225.0,18.0,4.0,,102.0,1.0,28.0,2.0,54.0,,,1.0,,2.0,1.0,1.0,25.0,38.0,8.0,13.0,104.0,1.0,,2.0,87.0,5.0,3.0,14.0,19.0,2.0,13.0,,15.0,2.0,3.0,4.0,164.0,,4.0,,22.0,28.0,4.0,10.0,18.0,1.0,,3.0,2.0,4.0,4.0,2.0,27.0,1.0,6.0,3.0,4.0,,8.0,29.0,88.0,90.0,5.0,,,1.0,,7.0,9.0,1.0,6.0,14.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,h5famamo0uce7p128fzkw8ut,J. Enríquez,Midfielder,25,1.0,448.0,,2.0,,204.0,,26.0,,90.0,3.0,,6.0,4.0,2.0,,3.0,53.0,80.0,8.0,34.0,210.0,3.0,4.0,4.0,161.0,7.0,2.0,40.0,65.0,,25.0,1.0,20.0,5.0,8.0,16.0,268.0,,8.0,1.0,38.0,64.0,3.0,10.0,35.0,,,9.0,,8.0,16.0,,57.0,9.0,7.0,1.0,8.0,,19.0,55.0,164.0,170.0,19.0,1.0,,,,5.0,22.0,3.0,1.0,19.0,3.0,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Club Puebla,8dw29j8k2379f7hvij6mna4lx,A. Escoboza,Forward,7,8.0,336.0,1.0,9.0,1.0,108.0,3.0,32.0,7.0,61.0,2.0,,4.0,4.0,2.0,,2.0,55.0,37.0,6.0,17.0,112.0,3.0,1.0,3.0,81.0,3.0,5.0,21.0,29.0,6.0,29.0,4.0,13.0,3.0,8.0,3.0,196.0,4.0,8.0,1.0,33.0,24.0,8.0,10.0,19.0,3.0,,10.0,5.0,8.0,2.0,5.0,37.0,4.0,3.0,11.0,8.0,,16.0,27.0,87.0,91.0,4.0,,1.0,,1.0,2.0,18.0,4.0,2.0,17.0,5.0,2.0,,,2.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
