liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Throw Ins to Opposition Player,Offsides,Goals,Right Foot Goals,Yellow Cards,Successful Corners into Box,Left Foot Goals,Foul Won Penalty,Handballs conceded,Goals from Inside Box,Penalties Taken,Penalty Goals,Penalties Conceded,Total Red Cards,Straight Red Cards,Unsuccessful lay-offs,Headed Goals,Saves Made,GK Successful Distribution,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Clearances Off the Line,Penalty Goals Conceded,Winning Goal,Times Tackled,Overruns,Own Goal Scored,Second Goal Assists,Home Goals,Away Goals,Saves from Penalty,Penalties Saved,Goal Kicks,Goals from Outside Box,Goalkeeper Smother,Crosses not Claimed,Red Cards - 2nd Yellow,Set Pieces Goals,Last Player Tackle,Penalties Off Target,Other Goals
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,ep474zkeolxwxqs0rj620hjh1,G. Achilier,Defender,24,,1372.0,3.0,,,10.0,462.0,2.0,15.0,,92.0,29.0,47.0,8.0,7.0,3.0,21.0,103.0,292.0,24.0,50.0,481.0,,22.0,,354.0,19.0,9.0,97.0,86.0,2.0,68.0,1.0,58.0,16.0,11.0,29.0,658.0,,16.0,13.0,7.0,55.0,242.0,13.0,10.0,76.0,2.0,,30.0,,10.0,47.0,,123.0,68.0,22.0,,16.0,,,1.0,26.0,138.0,371.0,384.0,68.0,3.0,1.0,1.0,16.0,47.0,8.0,27.0,29.0,,,1.0,,3.0,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,1.0,3.0,,,,1.0,0.0,,,2.0,,,,,,1.0,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,62gy76vhmyxy2hfuql8cu7kdl,S. Ferreira,Forward,11,2.0,581.0,1.0,6.0,5.0,,99.0,4.0,28.0,1.0,58.0,,,1.0,4.0,1.0,14.0,48.0,22.0,3.0,29.0,108.0,6.0,19.0,2.0,79.0,6.0,18.0,29.0,36.0,3.0,29.0,3.0,8.0,7.0,5.0,2.0,167.0,,13.0,6.0,,39.0,22.0,26.0,10.0,23.0,14.0,,,1.0,6.0,12.0,1.0,65.0,1.0,7.0,2.0,13.0,,,,28.0,22.0,71.0,79.0,26.0,1.0,1.0,,1.0,42.0,2.0,,11.0,,2.0,5.0,3.0,2.0,,2.0,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,,1.0,4.0,,,,1.0,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,d744e265dva4ix71yuv8zzyt,C. Fierro,Forward,7,58.0,1020.0,19.0,5.0,3.0,3.0,250.0,16.0,37.0,30.0,156.0,5.0,17.0,9.0,4.0,2.0,6.0,217.0,44.0,14.0,66.0,253.0,7.0,9.0,3.0,157.0,16.0,11.0,83.0,18.0,23.0,139.0,10.0,38.0,12.0,38.0,22.0,527.0,33.0,17.0,5.0,3.0,81.0,94.0,32.0,10.0,38.0,7.0,1.0,13.0,14.0,17.0,4.0,10.0,91.0,5.0,18.0,78.0,17.0,17.0,,3.0,47.0,104.0,168.0,170.0,10.0,,3.0,,7.0,53.0,7.0,5.0,34.0,,4.0,,,,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,32.0,3.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,9ilhjiaswd1oqx4xhf7wd01jp,É. Flores,Midfielder,10,7.0,319.0,,5.0,1.0,1.0,141.0,4.0,29.0,2.0,71.0,1.0,2.0,1.0,3.0,,2.0,58.0,40.0,11.0,30.0,141.0,,2.0,6.0,105.0,7.0,4.0,32.0,55.0,5.0,36.0,3.0,16.0,2.0,10.0,5.0,203.0,3.0,7.0,2.0,,29.0,34.0,8.0,10.0,20.0,1.0,,4.0,1.0,1.0,3.0,4.0,34.0,2.0,7.0,9.0,7.0,2.0,1.0,1.0,12.0,23.0,109.0,109.0,5.0,,1.0,,7.0,14.0,4.0,1.0,17.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,1vyrm2szw740ztlukubtjqhka,R. Gutiérrez,Goalkeeper,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,b32tamno8dpk5te2oq7d9a6t,C. Guzmán,Defender,5,54.0,1530.0,113.0,,,6.0,573.0,8.0,68.0,15.0,253.0,25.0,57.0,9.0,3.0,3.0,23.0,253.0,211.0,40.0,81.0,587.0,,12.0,10.0,395.0,23.0,4.0,138.0,79.0,14.0,156.0,1.0,67.0,17.0,30.0,37.0,1019.0,1.0,17.0,6.0,12.0,114.0,261.0,16.0,10.0,89.0,1.0,,54.0,15.0,18.0,23.0,5.0,160.0,36.0,26.0,55.0,17.0,1.0,,1.0,48.0,179.0,438.0,449.0,46.0,3.0,1.0,1.0,28.0,71.0,12.0,22.0,66.0,27.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,17.0,2.0,,,,,,,1.0,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,edrl7m5r17vghnnbull4qlnmd,G. Lezcano,Midfielder,31,,84.0,2.0,5.0,1.0,,27.0,,5.0,,16.0,1.0,3.0,1.0,2.0,1.0,1.0,12.0,1.0,,8.0,28.0,,,,16.0,2.0,2.0,11.0,10.0,1.0,10.0,,4.0,,1.0,1.0,37.0,,5.0,,,2.0,8.0,1.0,10.0,3.0,,,1.0,,1.0,2.0,1.0,5.0,2.0,3.0,,5.0,,,,1.0,5.0,16.0,17.0,3.0,,,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,dblkws8pgwpn3mkumxwjrokid,E. Loeschbor,Defender,17,,967.0,4.0,,,4.0,320.0,,20.0,,71.0,12.0,26.0,5.0,2.0,2.0,17.0,71.0,214.0,12.0,30.0,341.0,1.0,15.0,3.0,258.0,16.0,2.0,56.0,111.0,1.0,40.0,2.0,40.0,11.0,8.0,16.0,483.0,,11.0,7.0,12.0,51.0,135.0,5.0,10.0,47.0,,,27.0,,11.0,22.0,,90.0,42.0,18.0,,11.0,,,,26.0,75.0,270.0,285.0,39.0,1.0,,,9.0,43.0,3.0,24.0,25.0,,1.0,,,6.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,0.0,5.0,1.0,,,,,,,1.0,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,a1qs3b34p5u2s6mmlhdkgdp7t,L. Malagón,Goalkeeper,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2018-2019,Club Atlético Morelia,5shco09rftlth4ofo7l0ist79,J. Martínez,Defender,23,18.0,1283.0,117.0,,4.0,6.0,397.0,10.0,60.0,4.0,174.0,9.0,19.0,6.0,,2.0,15.0,128.0,164.0,41.0,49.0,402.0,4.0,21.0,6.0,307.0,13.0,,68.0,18.0,8.0,65.0,2.0,60.0,15.0,16.0,21.0,714.0,,15.0,15.0,1.0,113.0,170.0,7.0,10.0,73.0,,,27.0,4.0,19.0,8.0,3.0,136.0,19.0,15.0,18.0,15.0,,,,48.0,154.0,329.0,334.0,23.0,3.0,,,30.0,63.0,11.0,18.0,65.0,15.0,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,3.0,,,,,,,,,,,,,,,
