liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Tackles Won,Unsuccessful Launches,Successful Long Passes,Recoveries,Aerial Duels lost,Successful Open Play Passes,Successful Passes Own Half,Total Passes,Total Clearances,Total Losses Of Possession,Unsuccessful Passes Own Half,Backward Passes,Duels lost,Goals Conceded Inside Box,Aerial Duels won,Duels won,Key Passes (Attempt Assists),Throw Ins to Own Player,Successful Launches,Touches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Goals Conceded,Substitute Off,Successful Passes Opposition Half,Throw Ins to Opposition Player,Unsuccessful Short Passes,Goals Conceded Outside Box,Forward Passes,Unsuccessful Crosses open play,Leftside Passes,Foul Attempted Tackle,Index,Starts,Total Fouls Conceded,Ground Duels won,Unsuccessful Passes Opposition Half,Aerial Duels,Appearances,Unsuccessful Long Passes,Open Play Passes,Interceptions,Unsuccessful Crosses & Corners,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels lost,Successful Short Passes,Rightside Passes,Time Played,Tackles Lost,Total Tackles,Ground Duels,Winning Goal,Times Tackled,Blocks,Substitute On,Unsuccessful lay-offs,Shots Off Target (inc woodwork),Clean Sheets,PutThrough/Blocked Distribution,Blocked Shots,Overruns,Successful Dribbles,Through balls,Total Touches In Opposition Box,Penalty Goals Conceded,PutThrough/Blocked Distribution Won,Handballs conceded,Unsuccessful Dribbles,Corners Taken (incl short corners),Successful Crosses & Corners,Yellow Cards,Total Shots,Corners Won,Total Fouls Won,Successful Lay-offs,Shots On Target ( inc goals ),Successful Crosses open play,Offsides,Unsuccessful Corners into Box,Penalties Conceded,Goals,Goals from Outside Box,Left Foot Goals,Home Goals,Away Goals,Penalties Taken,Goals from Inside Box,Headed Goals,Attempts from Set Pieces,Straight Red Cards,Total Red Cards,Assists (Intentional),Goal Assists,Right Foot Goals,Successful Corners into Box,Set Pieces Goals,Second Goal Assists,Hit Woodwork,Penalty Goals,Clearances Off the Line,Red Cards - 2nd Yellow,Foul Won Penalty,Saves from Penalty,GK Unsuccessful Distribution,Punches,Saves Made from Inside Box,Penalties Saved,Saves Made from Outside Box,Penalties Faced,Saves made - parried,Own Goal Scored,Goal Kicks,Saves Made,Saves made - caught,GK Successful Distribution,Last Player Tackle,Goalkeeper Smother,Catches,Penalties Off Target,Crosses not Claimed,Drops,Other Goals
Mexico_Liga_MX,2019-2020,Atlas FC,apsv0c0r1zc7q3bjqex8033kl,J. Abella,Defender,4,3.0,3.0,3.0,12.0,15.0,14.0,94.0,50.0,122.0,9.0,30.0,5.0,6.0,20.0,4.0,3.0,7.0,1.0,8.0,2.0,161.0,23.0,27.0,6.0,1.0,49.0,1.0,13.0,2.0,53.0,4.0,48.0,1.0,10.0,3.0,1.0,4.0,22.0,17.0,3.0,10.0,117.0,5.0,4.0,99.0,6.0,87.0,15.0,260.0,1.0,4.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,12pbzh0runi0dsqcxh9u36jca,D. Aguilar,Defender,16,4.0,,,,2.0,1.0,5.0,1.0,6.0,1.0,3.0,,,2.0,,,,,,,14.0,1.0,2.0,,,4.0,,,,4.0,,2.0,,10.0,,,,1.0,1.0,4.0,1.0,6.0,1.0,,5.0,1.0,5.0,,27.0,,,1.0,0.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,daycar7otzfqiei5wk8rmd0b9,A. Andrade,Midfielder,8,13.0,10.0,3.0,6.0,28.0,10.0,145.0,55.0,204.0,6.0,122.0,7.0,42.0,68.0,11.0,4.0,55.0,12.0,10.0,,390.0,49.0,123.0,12.0,3.0,103.0,1.0,32.0,1.0,46.0,8.0,19.0,13.0,10.0,5.0,19.0,51.0,54.0,14.0,13.0,17.0,193.0,4.0,12.0,155.0,58.0,149.0,97.0,536.0,7.0,17.0,109.0,0.0,30.0,3.0,8.0,1.0,4.0,1.0,10.0,1.0,4.0,24.0,3.0,22.0,1.0,5.0,1.0,12.0,2.0,3.0,1.0,10.0,3.0,10.0,2.0,6.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,609edevf8qla1f6vi4mjkkgkp,J. Angulo,Defender,27,15.0,19.0,16.0,23.0,65.0,13.0,393.0,218.0,491.0,28.0,141.0,33.0,65.0,74.0,12.0,21.0,91.0,5.0,81.0,5.0,796.0,86.0,165.0,15.0,4.0,188.0,15.0,56.0,3.0,199.0,3.0,23.0,11.0,10.0,15.0,21.0,70.0,56.0,34.0,15.0,30.0,478.0,22.0,3.0,405.0,61.0,382.0,204.0,1306.0,9.0,28.0,131.0,0.0,17.0,6.0,,,1.0,4.0,21.0,1.0,2.0,10.0,1.0,4.0,1.0,11.0,,9.0,,1.0,3.0,1.0,1.0,32.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,2ufqv9nnv9m88e2b9vcnb5979,M. Balda,Midfielder,20,3.0,3.0,,4.0,8.0,,77.0,24.0,89.0,,20.0,2.0,15.0,12.0,1.0,2.0,13.0,4.0,,,118.0,10.0,25.0,1.0,1.0,56.0,,10.0,,25.0,,25.0,2.0,10.0,1.0,2.0,11.0,10.0,2.0,3.0,,87.0,,2.0,79.0,12.0,75.0,24.0,161.0,1.0,4.0,23.0,0.0,5.0,,2.0,,1.0,,,,,2.0,,2.0,,,,2.0,,1.0,1.0,3.0,1.0,5.0,1.0,2.0,1.0,,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,cxktd9vpx9m7gmgdfcy9v4n3d,D. Barbosa,Defender,15,5.0,15.0,12.0,7.0,31.0,5.0,127.0,77.0,174.0,15.0,57.0,20.0,21.0,18.0,5.0,3.0,37.0,,35.0,,296.0,45.0,55.0,6.0,,53.0,7.0,24.0,1.0,72.0,2.0,55.0,5.0,10.0,5.0,9.0,34.0,27.0,8.0,5.0,21.0,172.0,7.0,2.0,129.0,13.0,122.0,26.0,450.0,4.0,19.0,47.0,0.0,1.0,2.0,,,,2.0,14.0,,,7.0,,2.0,1.0,4.0,1.0,1.0,,1.0,2.0,1.0,1.0,8.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,94q8fhryc2maob9q1n8tgjo45,F. Barceló,Forward,31,14.0,10.0,2.0,1.0,21.0,72.0,118.0,36.0,227.0,14.0,135.0,8.0,50.0,105.0,16.0,58.0,96.0,13.0,,,393.0,88.0,201.0,20.0,6.0,103.0,,85.0,4.0,67.0,5.0,64.0,7.0,10.0,13.0,21.0,38.0,85.0,130.0,14.0,3.0,206.0,3.0,5.0,139.0,33.0,138.0,46.0,1097.0,4.0,14.0,71.0,1.0,10.0,,1.0,1.0,6.0,,24.0,5.0,1.0,,,52.0,1.0,14.0,,6.0,,,1.0,17.0,7.0,29.0,9.0,11.0,,8.0,,,4.0,,2.0,2.0,2.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,3gxwh529yietclalkd1zf8zu2,U. Cardona,Forward,13,4.0,12.0,4.0,6.0,21.0,4.0,90.0,35.0,127.0,2.0,64.0,7.0,12.0,20.0,6.0,,22.0,1.0,25.0,1.0,221.0,33.0,42.0,7.0,,60.0,4.0,25.0,1.0,59.0,10.0,2.0,1.0,10.0,3.0,4.0,22.0,37.0,4.0,4.0,8.0,123.0,2.0,11.0,94.0,16.0,88.0,54.0,296.0,2.0,14.0,38.0,0.0,9.0,1.0,1.0,,,,9.0,,1.0,6.0,,2.0,,1.0,2.0,2.0,,1.0,,,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,4531lhau95nvqia7uzei903x1,J. Correa,Forward,11,13.0,4.0,1.0,7.0,20.0,28.0,105.0,25.0,164.0,6.0,110.0,9.0,24.0,75.0,6.0,22.0,40.0,5.0,1.0,,293.0,55.0,115.0,8.0,1.0,84.0,,51.0,2.0,40.0,1.0,55.0,9.0,10.0,6.0,15.0,18.0,47.0,50.0,13.0,4.0,160.0,1.0,1.0,109.0,47.0,102.0,45.0,690.0,1.0,5.0,65.0,0.0,23.0,1.0,7.0,2.0,9.0,2.0,10.0,6.0,,9.0,,31.0,1.0,4.0,1.0,8.0,,,2.0,16.0,4.0,6.0,10.0,7.0,,1.0,,,1.0,,1.0,0.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,f0slqqkc8zqvijfofcj6wdoet,M. Cuero,Forward,17,12.0,5.0,1.0,1.0,27.0,5.0,121.0,27.0,156.0,1.0,117.0,11.0,36.0,52.0,10.0,2.0,29.0,5.0,6.0,,310.0,34.0,81.0,12.0,3.0,101.0,,29.0,2.0,37.0,24.0,60.0,5.0,10.0,8.0,17.0,27.0,51.0,7.0,12.0,5.0,155.0,1.0,28.0,122.0,47.0,121.0,23.0,756.0,4.0,9.0,74.0,0.0,28.0,1.0,4.0,,7.0,,9.0,1.0,5.0,7.0,,21.0,2.0,4.0,2.0,18.0,3.0,6.0,1.0,11.0,5.0,11.0,1.0,4.0,6.0,1.0,3.0,,1.0,,,1.0,0.0,,1.0,,,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
