dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,CD Tiburones Rojos de Veracruz,Liga MX,,Mexico,1an31gmzjc6yknxsl985pxqeh,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/1an31gmzjc6yknxsl985pxqeh
,,CD Tiburones Rojos de Veracruz,Liga MX,,Argentina,1qgiaa7fnqo31a9p8c5owgsus,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/1qgiaa7fnqo31a9p8c5owgsus
189,,CD Tiburones Rojos de Veracruz,Liga MX,Midfielder,Mexico,21bohuayhajn07h7p74rkvvqi,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/21bohuayhajn07h7p74rkvvqi
14,,CD Tiburones Rojos de Veracruz,Liga MX,Midfielder,Uruguay,22junimp8ibyj734nx54lyi1h,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/22junimp8ibyj734nx54lyi1h
8,,CD Tiburones Rojos de Veracruz,Liga MX,Midfielder,USA,271x0k4dhjqn4h7ecmt44pzo5,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/271x0k4dhjqn4h7ecmt44pzo5
,,CD Tiburones Rojos de Veracruz,Liga MX,Goalkeeper,Peru,2q8ntruz96k9ia7np1tma4udx,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/2q8ntruz96k9ia7np1tma4udx
188,,CD Tiburones Rojos de Veracruz,Liga MX,Midfielder,Mexico,379vg1i082zg7ahxd6olzmne,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/379vg1i082zg7ahxd6olzmne
1,,CD Tiburones Rojos de Veracruz,Liga MX,Goalkeeper,Mexico,3e9svasemtenwlwxqda3o9jvt,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/3e9svasemtenwlwxqda3o9jvt
5,,CD Tiburones Rojos de Veracruz,Liga MX,Defender,Mexico,458fztg3q75fu1brrxjrg1jh1,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/458fztg3q75fu1brrxjrg1jh1
195,,CD Tiburones Rojos de Veracruz,Liga MX,Midfielder,Mexico,4hwn30i6cmtkr8mx8ihl5lnca,cpont9f3vrdasvnxgmcamkfh7,2hsidwomhjsaaytdy9u5niyi4,ac6pswlr5x7tdt4o3jpl1bhii,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/teams/view/cpont9f3vrdasvnxgmcamkfh7/player/view/4hwn30i6cmtkr8mx8ihl5lnca
