dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
16,Luis Reyes,CF América,Liga MX,Defender,Mexico,21051apcxzotsbfnwivngarbp,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/21051apcxzotsbfnwivngarbp
,,CF América,Liga MX,,Mexico,21nj88iz9j4rv3x1gikqukjbp,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/21nj88iz9j4rv3x1gikqukjbp
3,,CF América,Liga MX,Defender,Mexico,29m8py8czo6w0zf2arwolirjd,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/29m8py8czo6w0zf2arwolirjd
13,,CF América,Liga MX,Goalkeeper,Mexico,2luxnwcabb7msig7odfq5p5g5,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/2luxnwcabb7msig7odfq5p5g5
14,,CF América,Liga MX,Attacker,Colombia,3l0ic1vk57ensflic4gb7tu5l,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/3l0ic1vk57ensflic4gb7tu5l
25,,CF América,Liga MX,Defender,Mexico,3lmsvkv37p1dv30tr9ufnuh1x,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/3lmsvkv37p1dv30tr9ufnuh1x
,,CF América,Liga MX,,Argentina,3npnxt2m9lzomcug98tw027yt,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/3npnxt2m9lzomcug98tw027yt
237,,CF América,Liga MX,Midfielder,Mexico,3y4ih5mddq0begj4lvsob5las,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/3y4ih5mddq0begj4lvsob5las
,,CF América,Liga MX,Defender,Mexico,3zs52b90se14xuu87lzqboy6s,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/3zs52b90se14xuu87lzqboy6s
,,CF América,Liga MX,,Mexico,5kw4mlnpr3ctt30yh8bxnyk0l,eu8c408f59yx7egaqossbv25e,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/eu8c408f59yx7egaqossbv25e/player/view/5kw4mlnpr3ctt30yh8bxnyk0l
