liga,temporada,equipo,id,nombre,posicion,dorsal,Ground Duels lost,Successful Open Play Passes,Total Touches In Opposition Box,Interceptions,Aerial Duels won,Ground Duels won,Aerial Duels lost,Times Tackled,Starts,Open Play Passes,PutThrough/Blocked Distribution,Total Tackles,Offsides,Successful Crosses open play,Touches,Unsuccessful Short Passes,Leftside Passes,Successful Passes Opposition Half,Substitute Off,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Successful Launches,Penalty Goals Conceded,Forward Passes,Time Played,Total Fouls Won,Foul Attempted Tackle,Duels,Overruns,Unsuccessful Long Passes,Successful Passes Own Half,Appearances,Index,Total Clearances,Total Fouls Conceded,Goals Conceded Inside Box,Ground Duels,Successful Long Passes,Unsuccessful Crosses & Corners,Aerial Duels,Rightside Passes,Backward Passes,Shots Off Target (inc woodwork),Successful Crosses & Corners,Tackles Won,Total Passes,Yellow Cards,Tackles Lost,Successful Dribbles,Duels lost,Unsuccessful Passes Opposition Half,Corners Won,Throw Ins to Own Player,Games Played,Successful Short Passes,Unsuccessful Crosses open play,Total Successful Passes ( Excl Crosses & Corners ) ,Clean Sheets,Total Shots,Recoveries,Goals Conceded Outside Box,Throw Ins to Opposition Player,Unsuccessful Launches,Duels won,Key Passes (Attempt Assists),Blocks,Total Losses Of Possession,Unsuccessful Passes Own Half,Winning Goal,Substitute On,Foul Won Penalty,Successful Lay-offs,Shots On Target ( inc goals ),Goals,Total Red Cards,Handballs conceded,Headed Goals,Straight Red Cards,Unsuccessful Corners into Box,Through balls,Corners Taken (incl short corners),Blocked Shots,Right Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Goal Assists,Penalties Conceded,Unsuccessful lay-offs,Hit Woodwork,Goals from Outside Box,Attempts from Set Pieces,Set Pieces Goals,Left Foot Goals,Assists (Intentional),Penalties Taken,Penalty Goals,Clearances Off the Line,Successful Corners into Box,Saves Made from Inside Box,GK Successful Distribution,Goal Kicks,GK Unsuccessful Distribution,Saves Made from Outside Box,Saves Made,Own Goal Scored,Red Cards - 2nd Yellow,Saves made - parried,Punches,Saves made - caught,Catches,Goalkeeper Smother,Penalties Faced,Penalties Off Target,Successful Fifty Fifty,Fifty Fifty,Second Goal Assists,Saves from Penalty,Penalties Saved,Crosses not Claimed,Drops,Last Player Tackle,Other Goals
Mexico_Liga_MX,2020-2021,CF Monterrey,bei486ox42219hyokmlee8kq1,A. Alvarado,Forward,199,11.0,23.0,15.0,1.0,7.0,11.0,8.0,6.0,1.0,31.0,2.0,5.0,2.0,,68.0,7.0,9.0,18.0,1.0,,8.0,2.0,1.0,,,9.0,167.0,4.0,3.0,37.0,,1.0,6.0,10.0,10.0,1.0,3.0,,22.0,,,15.0,7.0,7.0,3.0,,3.0,32.0,,2.0,2.0,19.0,8.0,1.0,,10.0,24.0,,24.0,,5.0,3.0,,,1.0,18.0,2.0,,20.0,,0.0,9.0,,1.0,2.0,1.0,,,,,,,,1.0,,1.0,0.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,10.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,8ee4k1a6cueo6h3vyvp5fudey,A. Ávila,Forward,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,dyvaiyl178toh3exww7qz0nl6,É. Cantú,Midfielder,35,4.0,7.0,,,,1.0,,,1.0,11.0,3.0,1.0,,,13.0,4.0,2.0,5.0,1.0,,4.0,,1.0,,,4.0,60.0,,1.0,5.0,,,2.0,2.0,10.0,,1.0,,5.0,,,,3.0,2.0,,,,11.0,,1.0,,4.0,2.0,,,2.0,7.0,,7.0,,,,,,,1.0,,,4.0,2.0,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,7868bje3gt1j3zhtps28oluc5,L. Cárdenas,Goalkeeper,22,,18.0,,,,,,,1.0,23.0,,,,,46.0,,11.0,4.0,,,7.0,,,3.0,,18.0,90.0,,,,,7.0,27.0,1.0,10.0,,,,,8.0,,,9.0,,,,,38.0,,,,,5.0,,,1.0,23.0,,31.0,1.0,,8.0,,,3.0,,,,7.0,2.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,11.0,,2.0,3.0,3.0,,,1.0,,,,1.0,,,,1.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,12fkwhjtu3w5l6lo64dkxn74l,R. Funes Mori,Forward,7,49.0,207.0,79.0,4.0,36.0,38.0,51.0,23.0,15.0,298.0,16.0,7.0,10.0,2.0,539.0,84.0,84.0,163.0,2.0,13.0,91.0,11.0,6.0,1.0,1.0,61.0,1368.0,28.0,6.0,174.0,,7.0,64.0,16.0,10.0,7.0,27.0,13.0,87.0,12.0,10.0,87.0,98.0,73.0,26.0,2.0,4.0,316.0,7.0,3.0,6.0,100.0,90.0,9.0,,16.0,213.0,10.0,225.0,5.0,50.0,31.0,,,4.0,74.0,20.0,1.0,171.0,11.0,3.0,1.0,1.0,15.0,24.0,9.0,,4.0,1.0,,,1.0,,7.0,7.0,9.0,5.0,4.0,1.0,,4.0,5.0,,,,1.0,,5.0,4.0,,,,,,,,,,,,,,,,,1.0,14.0,22.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,306gjy5xp2u15gh9qwrek551x,J. Gallardo,Midfielder,17,70.0,451.0,33.0,32.0,33.0,78.0,20.0,19.0,18.0,603.0,42.0,50.0,2.0,5.0,1080.0,103.0,21.0,268.0,1.0,13.0,154.0,13.0,20.0,4.0,1.0,266.0,1530.0,17.0,24.0,201.0,,51.0,203.0,18.0,10.0,30.0,37.0,13.0,148.0,41.0,27.0,53.0,236.0,97.0,7.0,5.0,32.0,620.0,4.0,18.0,13.0,90.0,126.0,8.0,147.0,18.0,425.0,27.0,466.0,5.0,11.0,95.0,,17.0,36.0,111.0,14.0,3.0,241.0,55.0,0.0,,,,4.0,,1.0,1.0,,,,1.0,,5.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,14.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,dj0mnh206bmg6g2980038frp,A. González,Midfielder,21,59.0,376.0,44.0,22.0,13.0,79.0,14.0,24.0,17.0,477.0,38.0,36.0,1.0,3.0,822.0,85.0,98.0,278.0,13.0,15.0,104.0,11.0,17.0,2.0,1.0,168.0,1358.0,25.0,15.0,165.0,,19.0,138.0,19.0,10.0,3.0,23.0,15.0,138.0,22.0,40.0,27.0,148.0,88.0,7.0,18.0,18.0,502.0,1.0,18.0,18.0,73.0,117.0,13.0,1.0,19.0,376.0,10.0,398.0,,18.0,110.0,,1.0,10.0,92.0,34.0,4.0,218.0,27.0,1.0,2.0,,6.0,11.0,2.0,,1.0,,,23.0,,41.0,8.0,,1.0,0.0,2.0,2.0,,,1.0,1.0,3.0,,2.0,1.0,,,,14.0,,,,,,,,,,,,,,,,4.0,10.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,8hvgcyrjla6crn2toiqflxn85,H. González,Goalkeeper,1,,183.0,,1.0,7.0,2.0,,,18.0,245.0,,1.0,,,622.0,1.0,76.0,71.0,,16.0,136.0,,,26.0,1.0,297.0,1620.0,3.0,,9.0,,135.0,235.0,18.0,10.0,11.0,,16.0,2.0,104.0,,7.0,69.0,,,,1.0,442.0,,,1.0,,109.0,,1.0,18.0,202.0,,306.0,5.0,,163.0,,,60.0,9.0,,,137.0,27.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,20.0,175.0,,39.0,26.0,46.0,,,7.0,6.0,1.0,16.0,2.0,1.0,,,,,,,,1.0,,
Mexico_Liga_MX,2020-2021,CF Monterrey,3xhxdg5j5a2xri7n7ox0aoctl,J. Gónzalez,Midfielder,25,4.0,53.0,,2.0,1.0,6.0,1.0,1.0,2.0,56.0,2.0,2.0,,,75.0,3.0,13.0,25.0,2.0,,3.0,,2.0,,,15.0,147.0,5.0,1.0,12.0,,,29.0,5.0,10.0,1.0,2.0,,10.0,,,2.0,11.0,18.0,,,2.0,57.0,,,,5.0,2.0,,,5.0,54.0,,54.0,,,3.0,,,,7.0,,,6.0,1.0,0.0,3.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,,,,
Mexico_Liga_MX,2020-2021,CF Monterrey,4ar9qv2f1k3ehvm0377r13gbu,Á. Grijalva,Defender,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
