liga,temporada,equipo,id,nombre,posicion,dorsal,Ground Duels lost,Successful Open Play Passes,Total Touches In Opposition Box,Interceptions,Aerial Duels won,Ground Duels won,Aerial Duels lost,Times Tackled,Starts,Open Play Passes,PutThrough/Blocked Distribution,Total Tackles,Offsides,Successful Crosses open play,Touches,Unsuccessful Short Passes,Leftside Passes,Successful Passes Opposition Half,Substitute Off,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Successful Launches,Penalty Goals Conceded,Forward Passes,Time Played,Total Fouls Won,Foul Attempted Tackle,Duels,Overruns,Unsuccessful Long Passes,Successful Passes Own Half,Appearances,Index,Total Clearances,Total Fouls Conceded,Goals Conceded Inside Box,Ground Duels,Successful Long Passes,Unsuccessful Crosses & Corners,Aerial Duels,Rightside Passes,Backward Passes,Shots Off Target (inc woodwork),Successful Crosses & Corners,Tackles Won,Total Passes,Yellow Cards,Tackles Lost,Successful Dribbles,Duels lost,Unsuccessful Passes Opposition Half,Corners Won,Throw Ins to Own Player,Games Played,Successful Short Passes,Unsuccessful Crosses open play,Total Successful Passes ( Excl Crosses & Corners ) ,Clean Sheets,Total Shots,Recoveries,Goals Conceded Outside Box,Throw Ins to Opposition Player,Unsuccessful Launches,Duels won,Key Passes (Attempt Assists),Blocks,Total Losses Of Possession,Unsuccessful Passes Own Half,Winning Goal,Substitute On,Foul Won Penalty,Successful Lay-offs,Shots On Target ( inc goals ),Goals,Total Red Cards,Handballs conceded,Headed Goals,Straight Red Cards,Unsuccessful Corners into Box,Through balls,Corners Taken (incl short corners),Blocked Shots,Right Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Goal Assists,Penalties Conceded,Unsuccessful lay-offs,Hit Woodwork,Goals from Outside Box,Attempts from Set Pieces,Set Pieces Goals,Left Foot Goals,Assists (Intentional),Penalties Taken,Penalty Goals,Clearances Off the Line,Successful Corners into Box,Saves Made from Inside Box,GK Successful Distribution,Goal Kicks,GK Unsuccessful Distribution,Saves Made from Outside Box,Saves Made,Own Goal Scored,Red Cards - 2nd Yellow,Saves made - parried,Punches,Saves made - caught,Catches,Goalkeeper Smother,Penalties Faced,Penalties Off Target,Successful Fifty Fifty,Fifty Fifty,Second Goal Assists,Saves from Penalty,Penalties Saved,Crosses not Claimed,Drops,Last Player Tackle,Other Goals
Mexico_Liga_MX,2020-2021,Club Santos Laguna,cs0ukx1l3r8kdyn8iu26qupyh,C. Acevedo,Goalkeeper,1,,79.0,,,4.0,2.0,,,18.0,121.0,1.0,1.0,,,476.0,4.0,28.0,79.0,,23.0,136.0,,,27.0,2.0,266.0,1620.0,2.0,,6.0,,132.0,119.0,18.0,10.0,8.0,,19.0,2.0,109.0,,4.0,40.0,,,,1.0,334.0,,,,,105.0,1.0,,18.0,89.0,,198.0,5.0,,115.0,4.0,,53.0,6.0,1.0,,143.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,131.0,131.0,53.0,29.0,63.0,1.0,,25.0,2.0,,6.0,2.0,4.0,,,,,2.0,2.0,,1.0,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,cb6oodfu9rk751khbomxg2yuh,E. Aguirre,Forward,19,34.0,79.0,38.0,3.0,13.0,26.0,21.0,25.0,7.0,106.0,18.0,8.0,1.0,2.0,247.0,27.0,22.0,70.0,7.0,8.0,28.0,6.0,10.0,,,20.0,557.0,12.0,3.0,94.0,1.0,1.0,13.0,13.0,10.0,2.0,7.0,8.0,60.0,4.0,2.0,34.0,37.0,30.0,12.0,2.0,4.0,109.0,,4.0,7.0,55.0,25.0,5.0,,13.0,77.0,2.0,81.0,,15.0,15.0,,,,39.0,12.0,2.0,84.0,5.0,0.0,6.0,1.0,,3.0,,,,,,,1.0,,3.0,,,,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,9txaaokrq6jn39otwm2omwdzp,D. Andrade,Midfielder,14,32.0,343.0,10.0,14.0,14.0,40.0,17.0,14.0,14.0,446.0,41.0,21.0,,9.0,769.0,74.0,14.0,199.0,3.0,15.0,104.0,9.0,12.0,9.0,2.0,246.0,1210.0,7.0,4.0,103.0,5.0,30.0,158.0,14.0,10.0,15.0,13.0,11.0,72.0,34.0,34.0,31.0,146.0,46.0,7.0,9.0,11.0,452.0,2.0,10.0,12.0,49.0,96.0,12.0,99.0,14.0,314.0,33.0,348.0,4.0,12.0,66.0,4.0,20.0,14.0,54.0,7.0,,191.0,42.0,0.0,,,,5.0,1.0,,2.0,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,Defender,17,1.0,19.0,,,,5.0,,1.0,1.0,27.0,2.0,2.0,,1.0,54.0,6.0,1.0,11.0,,2.0,8.0,1.0,1.0,1.0,,11.0,90.0,1.0,,6.0,,2.0,10.0,1.0,10.0,,,2.0,6.0,2.0,1.0,,11.0,5.0,,1.0,2.0,28.0,,,2.0,1.0,7.0,,15.0,1.0,18.0,1.0,20.0,,,4.0,,,1.0,5.0,1.0,,10.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,2ufqv9nnv9m88e2b9vcnb5979,M. Balda,Midfielder,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,1s6iiyybed5a643wiv9x7ui5m,J. Carrillo,Midfielder,9,5.0,9.0,2.0,,1.0,4.0,2.0,4.0,,14.0,1.0,,,1.0,33.0,4.0,4.0,7.0,,1.0,5.0,1.0,,,,3.0,67.0,4.0,,12.0,,1.0,3.0,4.0,10.0,,,1.0,9.0,1.0,,3.0,3.0,4.0,1.0,1.0,,14.0,,,,7.0,3.0,,,4.0,8.0,,9.0,,2.0,,,,,5.0,,,13.0,2.0,0.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,87gmnnxvwtr265s3efeziwrft,A. Cervantes,Midfielder,6,86.0,512.0,7.0,15.0,19.0,63.0,24.0,35.0,15.0,570.0,17.0,25.0,1.0,1.0,821.0,43.0,181.0,292.0,3.0,19.0,58.0,11.0,10.0,3.0,2.0,171.0,1305.0,24.0,24.0,192.0,,15.0,241.0,18.0,10.0,14.0,32.0,16.0,149.0,25.0,5.0,43.0,152.0,85.0,4.0,2.0,15.0,589.0,2.0,10.0,15.0,110.0,45.0,11.0,5.0,18.0,506.0,3.0,531.0,4.0,7.0,100.0,3.0,1.0,3.0,82.0,10.0,7.0,126.0,18.0,0.0,3.0,,3.0,3.0,,,1.0,,,1.0,,2.0,2.0,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,4531lhau95nvqia7uzei903x1,J. Correa,Forward,9,43.0,170.0,64.0,,33.0,27.0,45.0,21.0,15.0,259.0,22.0,8.0,5.0,,440.0,85.0,68.0,120.0,12.0,16.0,91.0,8.0,9.0,,2.0,65.0,1222.0,16.0,7.0,148.0,4.0,6.0,67.0,16.0,10.0,11.0,16.0,15.0,70.0,13.0,4.0,78.0,69.0,76.0,16.0,,6.0,278.0,3.0,2.0,5.0,88.0,73.0,15.0,,16.0,174.0,4.0,187.0,,31.0,16.0,1.0,,2.0,60.0,14.0,1.0,149.0,22.0,0.0,1.0,,18.0,15.0,1.0,,1.0,,,,1.0,,7.0,1.0,,0.0,1.0,,,5.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,yjqa4y6eca2qkf99e8ooxuui,J. Díaz,Defender,4,5.0,42.0,4.0,,4.0,10.0,2.0,4.0,1.0,57.0,4.0,6.0,,2.0,113.0,14.0,19.0,20.0,,1.0,15.0,1.0,4.0,2.0,,23.0,144.0,2.0,,21.0,,1.0,24.0,3.0,10.0,1.0,1.0,1.0,15.0,2.0,3.0,6.0,5.0,10.0,,2.0,,57.0,,6.0,2.0,7.0,10.0,,21.0,3.0,40.0,3.0,42.0,1.0,,6.0,,4.0,,14.0,1.0,,27.0,8.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2020-2021,Club Santos Laguna,3hspnklskppmobi4ihyg5a09h,Matheus Dória,Defender,0,16.0,420.0,17.0,25.0,35.0,24.0,31.0,2.0,17.0,545.0,16.0,12.0,,1.0,793.0,43.0,125.0,180.0,,21.0,133.0,,5.0,14.0,2.0,284.0,1530.0,12.0,5.0,106.0,,90.0,263.0,17.0,10.0,61.0,12.0,18.0,40.0,58.0,2.0,66.0,136.0,30.0,12.0,1.0,8.0,575.0,1.0,4.0,1.0,47.0,95.0,5.0,17.0,17.0,384.0,2.0,442.0,5.0,16.0,103.0,3.0,7.0,44.0,59.0,4.0,18.0,152.0,40.0,0.0,,,,4.0,1.0,,,1.0,,,,,8.0,,1.0,0.0,1.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
