dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
33,,Mazatlán FC,Liga MX,Goalkeeper,Mexico,1vyrm2szw740ztlukubtjqhka,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/1vyrm2szw740ztlukubtjqhka
15,,Mazatlán FC,Liga MX,Attacker,Mexico,20xa5vhtwotp2rfv7emdut905,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/20xa5vhtwotp2rfv7emdut905
185,,Mazatlán FC,Liga MX,Defender,Mexico,27q7n02x8uzefzcva3viowydw,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/27q7n02x8uzefzcva3viowydw
23,,Mazatlán FC,Liga MX,Attacker,Mexico,2a4ps5qrt0o2jmbl7jgtg38bt,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/2a4ps5qrt0o2jmbl7jgtg38bt
22,,Mazatlán FC,Liga MX,Defender,Mexico,34hf54wyn9xhsyzi115kn9mg9,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/34hf54wyn9xhsyzi115kn9mg9
13,,Mazatlán FC,Liga MX,Defender,Mexico,3gxwh529yietclalkd1zf8zu2,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/3gxwh529yietclalkd1zf8zu2
1,,Mazatlán FC,Liga MX,Attacker,Mexico,48anl4qgpl4f13hkdkc2u9jhl,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/48anl4qgpl4f13hkdkc2u9jhl
29,,Mazatlán FC,Liga MX,Attacker,Colombia,49noj44dhhu6c2atgyl44mh91,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/49noj44dhhu6c2atgyl44mh91
7,,Mazatlán FC,Liga MX,Attacker,Mexico,4nzjmby7mtgkrhq1lh20rbzrp,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/4nzjmby7mtgkrhq1lh20rbzrp
182,,Mazatlán FC,Liga MX,Goalkeeper,Mexico,4p4k8329ftuk0g258y1fo7gbu,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/4p4k8329ftuk0g258y1fo7gbu
11,,Mazatlán FC,Liga MX,Midfielder,Mexico,4pj1h4jn8fm7lha1im6b6qokp,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/4pj1h4jn8fm7lha1im6b6qokp
,Ray Sandoval,Mazatlán FC,Liga MX,Attacker,Peru,4qehaq7w29k1510e00jbcwgr9,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/4qehaq7w29k1510e00jbcwgr9
2,,Mazatlán FC,Liga MX,Defender,Mexico,54imt0lkrhtkk0a474yj0gafp,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/54imt0lkrhtkk0a474yj0gafp
26,,Mazatlán FC,Liga MX,Midfielder,Mexico,62hgf13it1y2bhucfxl7bmdhx,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/62hgf13it1y2bhucfxl7bmdhx
27,,Mazatlán FC,Liga MX,Attacker,Mexico,6pls7k4zl6it29szg6iemhiad,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/6pls7k4zl6it29szg6iemhiad
,,Mazatlán FC,Liga MX,,Mexico,78nimlcq06rji9lo8bj0qc34l,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/78nimlcq06rji9lo8bj0qc34l
,,Mazatlán FC,Liga MX,,Mexico,8au9gqsc4fa8up0eo71x2nfmd,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/8au9gqsc4fa8up0eo71x2nfmd
1,,Mazatlán FC,Liga MX,Attacker,Mexico,8mte9if061bfau2q60ymimz11,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/8mte9if061bfau2q60ymimz11
3,,Mazatlán FC,Liga MX,Goalkeeper,Mexico,9a1doja0m3boh2ulxbkr8euad,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/9a1doja0m3boh2ulxbkr8euad
9,,Mazatlán FC,Liga MX,Attacker,Venezuela,9rdsmagtddurspwjcqp5l4t05,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/9rdsmagtddurspwjcqp5l4t05
32,,Mazatlán FC,Liga MX,Midfielder,Mexico,9tgudowrplsdi16lr0fvcikx6,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/9tgudowrplsdi16lr0fvcikx6
34,,Mazatlán FC,Liga MX,Goalkeeper,Uruguay,9ydn81kyj239kft7a44wol51x,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/9ydn81kyj239kft7a44wol51x
14,,Mazatlán FC,Liga MX,Midfielder,Chile,a6kw1x4kpkio8ua2zxaz7v6c5,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/a6kw1x4kpkio8ua2zxaz7v6c5
6,,Mazatlán FC,Liga MX,Midfielder,Mexico,a8fg4hsvv6z4fhmma45d0sfd,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/a8fg4hsvv6z4fhmma45d0sfd
184,José Rodríguez,Mazatlán FC,Liga MX,Defender,Mexico,aafxtwdxou435d2x5u8z0myvo,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/aafxtwdxou435d2x5u8z0myvo
20,,Mazatlán FC,Liga MX,Midfielder,Chile,al24bb2oqh535ay4zcnmdv5xx,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/al24bb2oqh535ay4zcnmdv5xx
187,,Mazatlán FC,Liga MX,Defender,Mexico,alqnanizwho9z46di0qrv5u22,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/alqnanizwho9z46di0qrv5u22
13,,Mazatlán FC,Liga MX,Goalkeeper,Uruguay,auudl8h3g7rqlxoiky2r6jxzp,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/auudl8h3g7rqlxoiky2r6jxzp
21,,Mazatlán FC,Liga MX,Defender,Mexico,avtvw9a5m9djxlvclp5dv32i2,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/avtvw9a5m9djxlvclp5dv32i2
194,,Mazatlán FC,Liga MX,Midfielder,Mexico,b1ej41k6xnytyg9vl2e5lgk16,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/b1ej41k6xnytyg9vl2e5lgk16
19,,Mazatlán FC,Liga MX,Attacker,Mexico,b3fvifkmifofxu0gt0x7dmpqt,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/b3fvifkmifofxu0gt0x7dmpqt
10,,Mazatlán FC,Liga MX,Midfielder,Chile,bij6cq79e9uflurixtdq6itp1,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/bij6cq79e9uflurixtdq6itp1
30,Giovanni Augusto,Mazatlán FC,Liga MX,Midfielder,Brazil,cfpdr332fox6cfenhnnqx6191,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/cfpdr332fox6cfenhnnqx6191
18,,Mazatlán FC,Liga MX,Defender,Chile,ckqhi1qdi7p8jkw8y5an8sg5x,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/ckqhi1qdi7p8jkw8y5an8sg5x
5,,Mazatlán FC,Liga MX,Defender,Mexico,d0lrousd653vo6gpwe6xrq9d5,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/d0lrousd653vo6gpwe6xrq9d5
195,,Mazatlán FC,Liga MX,Attacker,Mexico,d9yps5iuefppdc8otqz7ofvqi,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/d9yps5iuefppdc8otqz7ofvqi
28,,Mazatlán FC,Liga MX,Defender,Mexico,dlu5fuv77lo98xjijkrdx6wvd,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/dlu5fuv77lo98xjijkrdx6wvd
16,,Mazatlán FC,Liga MX,Midfielder,Colombia,dqqpmln8hfu1dohwikn13ewdm,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/dqqpmln8hfu1dohwikn13ewdm
8,,Mazatlán FC,Liga MX,Midfielder,Mexico,dt88ve9zcyhrgljysrb21hmfp,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/dt88ve9zcyhrgljysrb21hmfp
4,,Mazatlán FC,Liga MX,Defender,Chile,dvjwtt5v39s05c5cbd5e25hbd,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/dvjwtt5v39s05c5cbd5e25hbd
189,,Mazatlán FC,Liga MX,Defender,Mexico,eepz7a6g48hbfq1wh125sfzoq,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/eepz7a6g48hbfq1wh125sfzoq
25,,Mazatlán FC,Liga MX,Defender,Mexico,envpdcapbpk8477snh5aidhp1,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/envpdcapbpk8477snh5aidhp1
183,,Mazatlán FC,Liga MX,Goalkeeper,Mexico,eyatwnh9hd4waj7aorc1j6ane,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/eyatwnh9hd4waj7aorc1j6ane
14,,Mazatlán FC,Liga MX,Midfielder,Chile,mw8f3n0hwancpspwqgfl6fh1,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/mw8f3n0hwancpspwqgfl6fh1
17,Camilo Sanvezzo,Mazatlán FC,Liga MX,Attacker,Brazil,ou2tp7tjup0x5mggdnte9l1x,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/ou2tp7tjup0x5mggdnte9l1x
3,,Mazatlán FC,Liga MX,Defender,Mexico,x0l4a3ldh0ibrwqvesc7kfyt,dsm1dxw4j3f973w7kzhe2n816,2hsidwomhjsaaytdy9u5niyi4,hpgk8o0q36q57zrbigeuilbe,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/teams/view/dsm1dxw4j3f973w7kzhe2n816/player/view/x0l4a3ldh0ibrwqvesc7kfyt
