liga,temporada,equipo,id,nombre,posicion,dorsal,Total Passes,Total Clearances,Offsides,Foul Attempted Tackle,Through balls,Unsuccessful Long Passes,Time Played,Starts,Duels,Index,Aerial Duels lost,Clean Sheets,Penalty Goals Conceded,Interceptions,Total Successful Passes ( Excl Crosses & Corners ) ,Leftside Passes,Total Shots,Unsuccessful Crosses open play,Total Fouls Conceded,Open Play Passes,Aerial Duels won,Throw Ins to Own Player,Blocks,Total Tackles,Successful Short Passes,Unsuccessful Passes Opposition Half,Recoveries,Games Played,Appearances,Unsuccessful Dribbles,PutThrough/Blocked Distribution,Ground Duels lost,Unsuccessful Passes Own Half,Successful Crosses & Corners,Unsuccessful Short Passes,Duels lost,Forward Passes,Ground Duels,Successful Passes Opposition Half,Goals Conceded Outside Box,Unsuccessful Launches,Backward Passes,Successful Long Passes,Rightside Passes,Duels won,Ground Duels won,Corners Won,Successful Crosses open play,Total Losses Of Possession,Shots On Target ( inc goals ),Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots Off Target (inc woodwork),PutThrough/Blocked Distribution Won,Substitute Off,Throw Ins to Opposition Player,Blocked Shots,Total Touches In Opposition Box,Successful Launches,Times Tackled,Total Fouls Won,Tackles Won,Successful Dribbles,Goals Conceded Inside Box,Successful Open Play Passes,Aerial Duels,Goals Conceded,Successful Passes Own Half,Key Passes (Attempt Assists),Successful Lay-offs,Unsuccessful Crosses & Corners,Touches,Winning Goal,Attempts from Set Pieces,Clearances Off the Line,Substitute On,Yellow Cards,Goals from Inside Box,Handballs conceded,Overruns,Penalties Taken,Left Foot Goals,Goal Assists,Goals,Right Foot Goals,Unsuccessful lay-offs,Penalty Goals,Assists (Intentional),Home Goals,Away Goals,Headed Goals,Successful Corners into Box,Unsuccessful Corners into Box,Corners Taken (incl short corners),GK Successful Distribution,Saves Made from Inside Box,Saves Made,Goalkeeper Smother,Saves Made from Outside Box,Saves made - parried,Drops,GK Unsuccessful Distribution,Goal Kicks,Punches,Catches,Goals from Outside Box,Hit Woodwork,Straight Red Cards,Total Red Cards,Foul Won Penalty,Set Pieces Goals,Second Goal Assists,Penalties Conceded,Saves made - caught,Penalties Faced,Last Player Tackle,Saves from Penalty,Penalties Saved,Red Cards - 2nd Yellow,Penalties Off Target,Own Goal Scored,Crosses not Claimed,Other Goals,Last Man Tackle
Mexico_Liga_MX,2022-2023,CF Pachuca,4brxad2pilyhwhjgri3u0rmga,A. Aceves,Defender,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Pachuca,bsy8lkmbj23rwec5ne1q9cnv9,G. Cabral,Defender,22,831.0,61.0,1.0,4.0,,52.0,1862.0,21.0,186.0,10.0,61.0,6.0,2.0,46.0,701.0,257.0,12.0,,10.0,782.0,69.0,7.0,7.0,21.0,630.0,74.0,101.0,21.0,21.0,1.0,5.0,23.0,56.0,1.0,78.0,84.0,365.0,56.0,256.0,5.0,20.0,52.0,71.0,157.0,102.0,33.0,3.0,1.0,145.0,4.0,10.0,130.0,8.0,4.0,2.0,,2.0,25.0,12.0,2.0,9.0,11.0,3.0,14.0,657.0,130.0,19.0,446.0,2.0,2.0,,1052.0,1.0,,,,5.0,3.0,1.0,,1.0,,1.0,3.0,2.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Pachuca,8mdiikf8397ay3a7yf6vnv2p6,L. Calzadilla,Forward,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Pachuca,cc6hut3e5vccvj399c9gb1m1,B. Castillo,Defender,6,497.0,17.0,,14.0,,17.0,1429.0,16.0,140.0,10.0,12.0,2.0,2.0,11.0,409.0,199.0,4.0,47.0,24.0,493.0,6.0,95.0,4.0,25.0,393.0,100.0,65.0,17.0,17.0,13.0,28.0,54.0,36.0,19.0,71.0,66.0,185.0,122.0,271.0,2.0,11.0,76.0,16.0,37.0,74.0,68.0,20.0,18.0,226.0,3.0,8.0,88.0,1.0,7.0,3.0,28.0,3.0,28.0,2.0,28.0,28.0,17.0,16.0,26.0,405.0,18.0,28.0,157.0,24.0,,48.0,899.0,0.0,,2.0,1.0,4.0,,1.0,4.0,,,2.0,1.0,1.0,,,2.0,0.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,
Mexico_Liga_MX,2022-2023,CF Pachuca,ey0dok6grjk40qsvo6as36hre,José Castillo Pérez,Defender,14,212.0,15.0,,3.0,,17.0,419.0,5.0,42.0,10.0,12.0,,,8.0,179.0,61.0,,8.0,5.0,208.0,6.0,32.0,1.0,13.0,166.0,31.0,34.0,7.0,7.0,1.0,9.0,10.0,10.0,3.0,16.0,22.0,95.0,24.0,82.0,1.0,11.0,27.0,13.0,29.0,20.0,14.0,,3.0,51.0,,3.0,33.0,,3.0,2.0,2.0,,1.0,7.0,4.0,2.0,10.0,,6.0,175.0,18.0,7.0,100.0,3.0,,8.0,318.0,0.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Pachuca,ehwo68aazpcv1eqhaq5nusrmd,L. Chávez,Midfielder,24,1140.0,21.0,,14.0,1.0,67.0,1953.0,22.0,213.0,10.0,27.0,7.0,1.0,33.0,942.0,279.0,33.0,7.0,22.0,1081.0,39.0,9.0,6.0,39.0,854.0,186.0,181.0,22.0,22.0,14.0,29.0,69.0,50.0,17.0,131.0,96.0,413.0,147.0,587.0,5.0,39.0,95.0,88.0,353.0,117.0,78.0,15.0,2.0,292.0,17.0,11.0,198.0,16.0,15.0,3.0,,19.0,13.0,6.0,24.0,23.0,28.0,16.0,13.0,887.0,66.0,18.0,372.0,32.0,4.0,38.0,1509.0,2.0,13.0,,,4.0,1.0,1.0,2.0,,2.0,2.0,2.0,,,,2.0,1.0,1.0,,12.0,13.0,32.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Pachuca,9ooya5dkbzhgzt7k1hz80ecd0,A. Contreras,Defender,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Pachuca,78wqwjoxq8fo54r2ug99shwx5,L. Di Yorio,Forward,7,221.0,14.0,3.0,8.0,,3.0,1556.0,17.0,206.0,10.0,51.0,3.0,2.0,7.0,149.0,29.0,43.0,11.0,23.0,188.0,45.0,,3.0,13.0,140.0,79.0,32.0,18.0,18.0,15.0,18.0,64.0,4.0,2.0,69.0,115.0,46.0,110.0,97.0,2.0,1.0,80.0,9.0,66.0,91.0,46.0,14.0,2.0,176.0,18.0,7.0,72.0,25.0,9.0,,,6.0,86.0,1.0,37.0,25.0,6.0,8.0,28.0,116.0,96.0,30.0,54.0,6.0,6.0,11.0,506.0,0.0,,,1.0,3.0,8.0,3.0,5.0,,2.0,2.0,8.0,5.0,1.0,,,6.0,2.0,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Pachuca,y3pdxd91h77y95lhqk2ncru,J. Eulogio,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2022-2023,CF Pachuca,b1rg7kkgu7kcbf1rdsm1mdtk9,A. Figueroa,Midfielder,16,26.0,,,,,3.0,45.0,,7.0,10.0,,,,,22.0,10.0,,4.0,,26.0,,1.0,,2.0,22.0,7.0,3.0,4.0,4.0,1.0,,3.0,1.0,,1.0,3.0,9.0,7.0,17.0,,1.0,7.0,,,4.0,4.0,,,12.0,,,4.0,,,,,,,,2.0,1.0,2.0,1.0,1.0,22.0,,1.0,5.0,1.0,,4.0,40.0,0.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
