dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,CD Guadalajara,Liga MX,Attacker,Mexico,22k00jtryfsbz0hl42dfar71m,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/22k00jtryfsbz0hl42dfar71m
19,,CD Guadalajara,Liga MX,Attacker,Mexico,2a4ps5qrt0o2jmbl7jgtg38bt,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/2a4ps5qrt0o2jmbl7jgtg38bt
24,,CD Guadalajara,Liga MX,Midfielder,Mexico,31e3kw8b8zovsaqjaduuvz6xh,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/31e3kw8b8zovsaqjaduuvz6xh
31,,CD Guadalajara,Liga MX,Attacker,Mexico,39twli4ggza19cr83weylmck4,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/39twli4ggza19cr83weylmck4
,,CD Guadalajara,Liga MX,Midfielder,Mexico,3d16m7pha49aagceu3ub6bey2,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/3d16m7pha49aagceu3ub6bey2
205,,CD Guadalajara,Liga MX,Midfielder,Mexico,3iag1oc1pinlllyi5umo3orv8,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/3iag1oc1pinlllyi5umo3orv8
,Diego Martínez,CD Guadalajara,Liga MX,Midfielder,Mexico,3kn7wmkmpfn31wttm1ymoy0b8,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/3kn7wmkmpfn31wttm1ymoy0b8
18,,CD Guadalajara,Liga MX,Attacker,Mexico,4pw00eq0okwcadrq7t1jzlmmt,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/4pw00eq0okwcadrq7t1jzlmmt
7,,CD Guadalajara,Liga MX,Attacker,Mexico,4xlgsrklbu5qofhrk52pjttnu,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/4xlgsrklbu5qofhrk52pjttnu
11,,CD Guadalajara,Liga MX,Midfielder,Mexico,52xjaejv3eeiyd2xn5642g2xh,e603sojy77s4u0ypqds2v2a1g,2hsidwomhjsaaytdy9u5niyi4,cgr8k7g0pwtlbzca75gxq1g5w,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/52xjaejv3eeiyd2xn5642g2xh
