liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Ground Duels lost,Shots Off Target (inc woodwork),Successful Dribbles,Total Fouls Conceded,Leftside Passes,Penalty Goals Conceded,Ground Duels won,Throw Ins to Opposition Player,Recoveries,Throw Ins to Own Player,Goals Conceded Outside Box,Total Passes,Clearances Off the Line,Touches,Aerial Duels lost,Shots On Target ( inc goals ),Unsuccessful Passes Own Half,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Duels,Total Touches In Opposition Box,Corners Won,Ground Duels,Unsuccessful Crosses open play,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Index,Duels won,Hit Woodwork,Yellow Cards,Successful Open Play Passes,Successful Passes Own Half,Successful Lay-offs,Successful Short Passes,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Duels lost,Successful Crosses & Corners,Successful Crosses open play,Total Shots,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Tackles,Unsuccessful Short Passes,Backward Passes,Forward Passes,Aerial Duels won,Appearances,Clean Sheets,Successful Passes Opposition Half,Unsuccessful Dribbles,Games Played,Total Clearances,Tackles Won,Tackles Lost,Aerial Duels,Open Play Passes,Key Passes (Attempt Assists),Unsuccessful Launches,Times Tackled,Successful Long Passes,Total Fouls Won,Rightside Passes,Successful Launches,PutThrough/Blocked Distribution,Interceptions,Blocks,Starts,Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Winning Goal,Corners Taken (incl short corners),Through balls,Substitute Off,Substitute On,Unsuccessful Corners into Box,Goals from Inside Box,Handballs conceded,Goals,Right Foot Goals,Blocked Shots,Overruns,Unsuccessful lay-offs,Home Goals,Away Goals,Successful Corners into Box,Last Player Tackle,Left Foot Goals,Offsides,Goals from Outside Box,Headed Goals,Straight Red Cards,Total Red Cards,Assists (Intentional),Goal Assists,Penalties Conceded,Attempts from Set Pieces,Red Cards - 2nd Yellow,Goal Kicks,GK Successful Distribution,Foul Won Penalty,Second Goal Assists,Saves Made from Outside Box,Saves Made,Penalties Faced,GK Unsuccessful Distribution,Punches,Catches,Goalkeeper Smother,Saves Made from Inside Box,Drops,Saves made - parried,Set Pieces Goals,Penalties Taken,Penalty Goals,Own Goal Scored,Saves made - caught,Saves from Penalty,Penalties Saved,Crosses not Claimed,Other Goals,Penalties Off Target
Mexico_Liga_MX,2023-2024,CF América,c2sm93wtigxc9gl3ayobtucph,N. Araújo,Defender,14,16.0,4.0,,,3.0,50.0,,4.0,,17.0,,1.0,129.0,,156.0,3.0,,9.0,114.0,180.0,12.0,,,8.0,,1.0,,10.0,5.0,,,110.0,84.0,,108.0,6.0,,7.0,,,,2.0,15.0,4.0,9.0,4.0,61.0,1.0,2.0,1.0,30.0,,2.0,10.0,1.0,3.0,4.0,125.0,1.0,3.0,1.0,6.0,,14.0,1.0,1.0,4.0,1.0,2.0,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,dl40zb7nm9ayqf10noredupd5,C. Calderón,Defender,18,203.0,34.0,6.0,7.0,12.0,22.0,4.0,44.0,43.0,87.0,95.0,4.0,440.0,,764.0,22.0,,25.0,338.0,1186.0,115.0,14.0,9.0,78.0,26.0,16.0,29.0,10.0,59.0,,3.0,328.0,180.0,,315.0,41.0,7.0,56.0,12.0,12.0,6.0,20.0,102.0,29.0,61.0,71.0,188.0,15.0,15.0,4.0,170.0,6.0,15.0,15.0,20.0,9.0,37.0,426.0,10.0,19.0,13.0,23.0,8.0,159.0,2.0,22.0,11.0,3.0,13.0,7.0,106.0,0.0,4.0,3.0,3.0,2.0,3.0,,1.0,,,2.0,1.0,,,,,,,1.0,,,,,3.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,91kuubgbg8lyg7nrn541hi6fo,J. Cantú,Forward,192,2.0,1.0,,,1.0,1.0,,,,,,1.0,5.0,,7.0,1.0,,,4.0,23.0,2.0,1.0,1.0,1.0,,1.0,,10.0,,,,2.0,2.0,,4.0,,,2.0,,,,2.0,1.0,,1.0,2.0,1.0,,1.0,,2.0,,1.0,,,,1.0,3.0,,,,,,1.0,,,,,,,1.0,0.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,5jj07az7i7svdgh5egd1s5dqt,R. Cota,Goalkeeper,30,86.0,2.0,,1.0,,125.0,3.0,8.0,,183.0,,2.0,403.0,,624.0,,,20.0,322.0,1800.0,13.0,,,10.0,,28.0,,10.0,11.0,,2.0,167.0,288.0,,250.0,73.0,,2.0,,,,30.0,81.0,,8.0,,193.0,3.0,20.0,4.0,34.0,,20.0,22.0,,,3.0,204.0,,22.0,,72.0,5.0,85.0,6.0,,,,20.0,,61.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,251.0,,,15.0,43.0,3.0,22.0,12.0,14.0,7.0,28.0,3.0,14.0,,,,,,,,1.0,,
Mexico_Liga_MX,2023-2024,CF América,claujooxyw4dzynzmy752r3l5,S. Cáceres,Defender,4,106.0,17.0,3.0,4.0,8.0,198.0,,29.0,1.0,58.0,2.0,2.0,726.0,,876.0,17.0,1.0,50.0,628.0,1237.0,89.0,7.0,,46.0,,6.0,,10.0,55.0,,3.0,615.0,482.0,,595.0,48.0,5.0,34.0,,,4.0,8.0,98.0,18.0,50.0,42.0,306.0,26.0,15.0,7.0,146.0,2.0,15.0,50.0,10.0,8.0,43.0,710.0,1.0,25.0,4.0,33.0,7.0,180.0,6.0,11.0,20.0,7.0,14.0,2.0,48.0,0.0,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,3kuft9ocsrjgrzf3tb4rmvip6,B. El-mesmari,Midfielder,196,4.0,3.0,,,1.0,3.0,,1.0,,1.0,,,15.0,,22.0,,,1.0,14.0,20.0,4.0,2.0,,4.0,,,,10.0,1.0,,,13.0,7.0,,13.0,,1.0,3.0,,,,,1.0,1.0,1.0,11.0,,,2.0,,7.0,2.0,2.0,,,1.0,,14.0,,,2.0,1.0,,1.0,,1.0,,,,1.0,,0.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,9vy0gclovljnladztpsu1usr8,D. Espinoza,Midfielder,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,b4m0mxdb872egv094ogshtp90,D. Esqueda,Defender,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,733ho2s9aqwwxzbqfiia3b7bp,Álvaro Fidalgo,Midfielder,8,227.0,58.0,6.0,24.0,4.0,264.0,,76.0,1.0,125.0,1.0,3.0,1616.0,,1886.0,5.0,8.0,26.0,1490.0,1674.0,146.0,29.0,11.0,134.0,11.0,11.0,14.0,10.0,83.0,1.0,1.0,1441.0,648.0,4.0,1406.0,40.0,10.0,63.0,5.0,5.0,14.0,14.0,126.0,22.0,86.0,223.0,488.0,7.0,20.0,9.0,847.0,13.0,20.0,12.0,15.0,7.0,12.0,1561.0,24.0,6.0,37.0,84.0,31.0,641.0,2.0,20.0,15.0,5.0,18.0,1.0,114.0,0.0,4.0,8.0,3.0,2.0,2.0,1.0,,1.0,1.0,4.0,2.0,,1.0,0.0,,1.0,,,,,,,2.0,4.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,CF América,bh5emxazjkbwd6i86qx30hfit,L. Fuentes,Defender,2,158.0,38.0,2.0,2.0,16.0,62.0,,52.0,18.0,81.0,107.0,3.0,820.0,,1139.0,15.0,,39.0,725.0,1447.0,124.0,6.0,3.0,90.0,21.0,9.0,21.0,10.0,71.0,1.0,1.0,713.0,370.0,,700.0,36.0,15.0,53.0,4.0,4.0,2.0,12.0,95.0,33.0,59.0,94.0,374.0,19.0,20.0,6.0,359.0,7.0,20.0,28.0,19.0,14.0,34.0,808.0,7.0,18.0,13.0,25.0,18.0,290.0,6.0,24.0,11.0,5.0,16.0,8.0,77.0,0.0,,,3.0,4.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
