liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution,Successful Lay-offs,Successful Passes Own Half,Starts,Successful Short Passes,Touches,Total Fouls Conceded,Duels won,Duels lost,Tackles Won,Total Tackles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots Off Target (inc woodwork),Interceptions,Shots On Target ( inc goals ),Successful Long Passes,PutThrough/Blocked Distribution Won,Unsuccessful Passes Own Half,Total Clearances,Goals,Successful Crosses open play,Total Losses Of Possession,Substitute Off,Offsides,Aerial Duels won,Clean Sheets,Blocked Shots,Goals from Inside Box,Unsuccessful Crosses & Corners,Ground Duels won,Backward Passes,Tackles Lost,Handballs conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Dribbles,Total Shots,Unsuccessful Passes Opposition Half,Goals Conceded Outside Box,Aerial Duels lost,Successful Passes Opposition Half,Unsuccessful lay-offs,Throw Ins to Own Player,Leftside Passes,Goals Conceded Inside Box,Key Passes (Attempt Assists),Goals Conceded,Total Touches In Opposition Box,Unsuccessful Crosses open play,Appearances,Blocks,GK Successful Distribution,Yellow Cards,Open Play Passes,Times Tackled,Ground Duels lost,Right Foot Goals,Rightside Passes,Unsuccessful Long Passes,Forward Passes,Successful Crosses & Corners,Successful Dribbles,Unsuccessful Launches,Successful Open Play Passes,Headed Goals,Time Played,Goal Kicks,Duels,Recoveries,Unsuccessful Short Passes,Substitute On,Total Fouls Won,Foul Attempted Tackle,Total Passes,Corners Won,Games Played,Penalty Goals Conceded,Index,Aerial Duels,Ground Duels,Home Goals,Away Goals,Winning Goal,Foul Won Penalty,Throw Ins to Opposition Player,Total Red Cards,Red Cards - 2nd Yellow,Successful Launches,Straight Red Cards,Overruns,Hit Woodwork,Penalties Conceded,Attempts from Set Pieces,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Assists (Intentional),Goal Assists,Goals from Outside Box,Penalties Faced,Saves Made,Catches,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made from Outside Box,Left Foot Goals,Through balls,Last Player Tackle,Second Goal Assists,Penalties Taken,Penalty Goals,Goalkeeper Smother,Saves from Penalty,Penalties Saved,Saves made - parried,Punches,Drops,Clearances Off the Line,Own Goal Scored,Saves made - caught,Crosses not Claimed,Penalties Off Target,Set Pieces Goals
Mexico_Liga_MX,2024-2025,CF América,9xaps7t7xtt5x3grjpbgxtfit,R. Aguirre,Forward,27,14.0,10.0,34.0,9.0,121.0,383.0,26.0,76.0,100.0,10.0,19.0,57.0,12.0,2.0,20.0,1.0,9.0,12.0,6.0,8.0,1.0,139.0,8.0,5.0,34.0,1.0,4.0,8.0,6.0,42.0,42.0,9.0,,122.0,14.0,32.0,51.0,2.0,37.0,89.0,1.0,1.0,59.0,12.0,7.0,14.0,54.0,6.0,17.0,1.0,,7.0,164.0,33.0,63.0,,25.0,4.0,53.0,1.0,10.0,2.0,107.0,1.0,922.0,,176.0,29.0,53.0,8.0,13.0,12.0,179.0,9.0,17.0,1.0,10.0,71.0,105.0,3.0,5.0,5.0,,,1.0,1.0,,,3.0,2.0,,,,,,1.0,1.0,,,,,,,,7.0,,,,1.0,1.0,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,CF América,c2sm93wtigxc9gl3ayobtucph,N. Araújo,Defender,14,6.0,1.0,351.0,12.0,426.0,670.0,10.0,58.0,27.0,13.0,18.0,82.0,5.0,16.0,3.0,23.0,3.0,37.0,63.0,,,89.0,4.0,1.0,38.0,1.0,1.0,,,20.0,29.0,5.0,1.0,449.0,,8.0,45.0,5.0,16.0,98.0,,,154.0,14.0,5.0,19.0,9.0,,16.0,8.0,,1.0,521.0,1.0,11.0,,147.0,33.0,201.0,,1.0,24.0,439.0,,1068.0,,85.0,37.0,49.0,4.0,1.0,7.0,531.0,1.0,16.0,,10.0,54.0,31.0,,,0.0,,,,,7.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,CF América,csvbc0k1f54418nn8pjhg8ull,C. Borja,Defender,26,23.0,2.0,176.0,10.0,351.0,670.0,7.0,52.0,24.0,17.0,24.0,54.0,1.0,13.0,3.0,17.0,9.0,14.0,21.0,1.0,6.0,109.0,6.0,,11.0,2.0,,1.0,18.0,41.0,78.0,7.0,,368.0,4.0,4.0,58.0,2.0,5.0,199.0,,83.0,27.0,8.0,5.0,10.0,11.0,18.0,18.0,1.0,,1.0,407.0,9.0,19.0,1.0,165.0,18.0,152.0,7.0,8.0,13.0,353.0,,906.0,,76.0,32.0,36.0,8.0,10.0,2.0,422.0,8.0,18.0,,10.0,16.0,60.0,0.0,1.0,0.0,,15.0,,,6.0,,1.0,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,CF América,dl40zb7nm9ayqf10noredupd5,C. Calderón,Defender,18,27.0,,264.0,15.0,492.0,947.0,17.0,51.0,48.0,16.0,18.0,94.0,2.0,17.0,2.0,26.0,13.0,33.0,29.0,,10.0,179.0,8.0,6.0,18.0,1.0,,,18.0,33.0,140.0,2.0,3.0,518.0,10.0,4.0,79.0,4.0,9.0,264.0,,109.0,38.0,15.0,11.0,19.0,18.0,17.0,21.0,2.0,,3.0,596.0,17.0,39.0,,196.0,31.0,238.0,10.0,6.0,16.0,502.0,,1318.0,,99.0,69.0,63.0,6.0,10.0,3.0,612.0,6.0,21.0,1.0,10.0,27.0,72.0,,,0.0,,26.0,,,6.0,,6.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Mexico_Liga_MX,2024-2025,CF América,3y4ih5mddq0begj4lvsob5las,K. Campos,Midfielder,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,CF América,87gmnnxvwtr265s3efeziwrft,A. Cervantes,Midfielder,13,12.0,6.0,300.0,12.0,533.0,788.0,20.0,69.0,63.0,21.0,30.0,59.0,3.0,19.0,5.0,23.0,4.0,21.0,13.0,1.0,,92.0,,1.0,12.0,4.0,3.0,,4.0,57.0,117.0,9.0,,556.0,7.0,8.0,42.0,3.0,15.0,256.0,2.0,4.0,186.0,16.0,9.0,19.0,15.0,4.0,20.0,4.0,,1.0,596.0,15.0,48.0,1.0,160.0,13.0,152.0,,3.0,7.0,537.0,,1243.0,,132.0,64.0,46.0,8.0,24.0,10.0,615.0,6.0,20.0,2.0,10.0,27.0,105.0,1.0,0.0,1.0,,,,,3.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,CF América,5jj07az7i7svdgh5egd1s5dqt,R. Cota,Goalkeeper,30,,,18.0,1.0,15.0,30.0,,,,,,3.0,,,,4.0,,2.0,,,,3.0,,,,,,,,,,,,19.0,,,1.0,1.0,,1.0,,,5.0,1.0,,2.0,,,1.0,,9.0,,16.0,,,,3.0,3.0,14.0,,,3.0,13.0,,90.0,5.0,,8.0,,,,,22.0,,1.0,,10.0,,,,,0.0,,,,,2.0,,,,,,,,,,,,,3.0,1.0,3.0,,,,,,,,,,,,1.0,,,,,,,,
Mexico_Liga_MX,2024-2025,CF América,claujooxyw4dzynzmy752r3l5,S. Cáceres,Defender,4,7.0,,181.0,9.0,211.0,367.0,4.0,26.0,21.0,3.0,7.0,41.0,2.0,12.0,,22.0,4.0,13.0,33.0,,1.0,49.0,6.0,1.0,14.0,1.0,,,,12.0,16.0,4.0,,233.0,1.0,2.0,28.0,1.0,14.0,53.0,,,77.0,7.0,1.0,8.0,4.0,,9.0,5.0,,,265.0,3.0,7.0,,75.0,24.0,106.0,1.0,1.0,14.0,228.0,,647.0,,47.0,16.0,17.0,,4.0,3.0,274.0,1.0,9.0,,10.0,28.0,19.0,,,0.0,,,,,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,CF América,dy8wa8cciiae72q2ynm80rlcl,J. Dilrosun,Forward,24,22.0,2.0,72.0,7.0,179.0,349.0,4.0,26.0,28.0,6.0,8.0,40.0,6.0,5.0,6.0,5.0,13.0,8.0,3.0,1.0,3.0,91.0,7.0,,1.0,,1.0,1.0,10.0,25.0,57.0,2.0,,184.0,16.0,12.0,42.0,2.0,2.0,116.0,,1.0,97.0,6.0,7.0,8.0,15.0,8.0,12.0,,,3.0,222.0,18.0,26.0,,15.0,3.0,55.0,4.0,8.0,1.0,183.0,,621.0,,54.0,23.0,37.0,5.0,9.0,3.0,224.0,3.0,12.0,,10.0,3.0,51.0,1.0,0.0,0.0,,,,,1.0,,6.0,,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,CF América,30q9d8i2c8kgscpgze0x5h0b9,V. Dávila,Forward,11,3.0,9.0,35.0,4.0,112.0,210.0,1.0,22.0,11.0,2.0,6.0,22.0,1.0,,5.0,7.0,,2.0,,1.0,1.0,55.0,4.0,2.0,3.0,,3.0,1.0,10.0,19.0,46.0,4.0,,119.0,1.0,6.0,30.0,1.0,2.0,86.0,1.0,2.0,47.0,2.0,8.0,3.0,12.0,7.0,8.0,,,,135.0,7.0,9.0,1.0,26.0,4.0,22.0,2.0,3.0,,113.0,,322.0,,33.0,9.0,18.0,4.0,10.0,,141.0,3.0,8.0,,10.0,5.0,28.0,1.0,0.0,0.0,,,,,,,,,,,8.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
