dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Club Necaxa,Supercopa MX,Goalkeeper,Mexico,1n70orzr4n3hwfdxun0u6yvl6,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/1n70orzr4n3hwfdxun0u6yvl6
9,,Club Necaxa,Supercopa MX,Attacker,Mexico,21f7hh7sala9wz8kqyc29vw0l,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/21f7hh7sala9wz8kqyc29vw0l
,,Club Necaxa,Supercopa MX,Attacker,Mexico,2a4ps5qrt0o2jmbl7jgtg38bt,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/2a4ps5qrt0o2jmbl7jgtg38bt
26,,Club Necaxa,Supercopa MX,Attacker,Chile,30q9d8i2c8kgscpgze0x5h0b9,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/30q9d8i2c8kgscpgze0x5h0b9
29,,Club Necaxa,Supercopa MX,Midfielder,Chile,31v8oj4g71deihi2p1qw8r36x,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/31v8oj4g71deihi2p1qw8r36x
15,,Club Necaxa,Supercopa MX,Attacker,Chile,3bifa75w0r6nlebuwxhqt231l,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/3bifa75w0r6nlebuwxhqt231l
,,Club Necaxa,Supercopa MX,,Mexico,3hjak6bsusd2uw3erorhc50bt,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/3hjak6bsusd2uw3erorhc50bt
21,José Luis Hernández,Club Necaxa,Supercopa MX,Defender,Mexico,3pbbvxg8ynhrxcq8fjtqurje1,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/3pbbvxg8ynhrxcq8fjtqurje1
,,Club Necaxa,Supercopa MX,Midfielder,Mexico,4456keyaj8fnnvr286bh0gb8p,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/4456keyaj8fnnvr286bh0gb8p
18,,Club Necaxa,Supercopa MX,Attacker,Chile,44cplnd0k0y93sjrcmybvt42d,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/44cplnd0k0y93sjrcmybvt42d
28,Giovani Hernández,Club Necaxa,Supercopa MX,Midfielder,Mexico,48o6b4og0psoolrm3tzlpk251,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/48o6b4og0psoolrm3tzlpk251
4,,Club Necaxa,Supercopa MX,Defender,Mexico,493l6f4w0zm4bqaqbp4xlcpg5,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/493l6f4w0zm4bqaqbp4xlcpg5
3,,Club Necaxa,Supercopa MX,Defender,Mexico,55ht1r15uynu0ebd3al9j4fzd,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/55ht1r15uynu0ebd3al9j4fzd
30,,Club Necaxa,Supercopa MX,Midfielder,Mexico,6160hoemo058yudf4j35letat,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/6160hoemo058yudf4j35letat
,,Club Necaxa,Supercopa MX,,Mexico,6c3zmvnrap87bhwahwkjn85ih,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/6c3zmvnrap87bhwahwkjn85ih
6,,Club Necaxa,Supercopa MX,Midfielder,Mexico,6cixm7u6txk9qnnhen5ju84wl,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/6cixm7u6txk9qnnhen5ju84wl
,Brian Fernández,Club Necaxa,Supercopa MX,Attacker,Argentina,6jdawjzbqq54yorulpz98c5w5,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/6jdawjzbqq54yorulpz98c5w5
27,,Club Necaxa,Supercopa MX,Midfielder,Mexico,7d7nst8wf8ge70bjz00z9glat,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/7d7nst8wf8ge70bjz00z9glat
32,,Club Necaxa,Supercopa MX,Midfielder,Mexico,7lmbo1nez7w3q0lriiwb7q5pm,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/7lmbo1nez7w3q0lriiwb7q5pm
7,,Club Necaxa,Supercopa MX,Midfielder,Mexico,812w5nzemdj9bi101mlewuvv9,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/812w5nzemdj9bi101mlewuvv9
1,,Club Necaxa,Supercopa MX,Goalkeeper,Mexico,8hvgcyrjla6crn2toiqflxn85,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/8hvgcyrjla6crn2toiqflxn85
,,Club Necaxa,Supercopa MX,Attacker,Mexico,9333wjw1to8x658iesmvx517u,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/9333wjw1to8x658iesmvx517u
,,Club Necaxa,Supercopa MX,Attacker,Uruguay,95pzzekgfm9589ip2fomr3lxx,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/95pzzekgfm9589ip2fomr3lxx
23,Leobardo López,Club Necaxa,Supercopa MX,Defender,Mexico,9kx6jqnoo9mdze8g62qi5gzit,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/9kx6jqnoo9mdze8g62qi5gzit
19,,Club Necaxa,Supercopa MX,Attacker,Argentina,adm0uiif0vbbs4p72edizgwr9,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/adm0uiif0vbbs4p72edizgwr9
12,,Club Necaxa,Supercopa MX,Goalkeeper,Mexico,ajcfzl4xbszwrel3ggz3ytlyi,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/ajcfzl4xbszwrel3ggz3ytlyi
2,,Club Necaxa,Supercopa MX,Defender,Honduras,akvnlaszzemsj14oa62n39c5x,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/akvnlaszzemsj14oa62n39c5x
34,,Club Necaxa,Supercopa MX,Midfielder,Mexico,awqz60rwyfq2vugykb4e9tvbp,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/awqz60rwyfq2vugykb4e9tvbp
,,Club Necaxa,Supercopa MX,Defender,Mexico,ax1snhlcft1fd5fpmz1in3vqi,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/ax1snhlcft1fd5fpmz1in3vqi
5,,Club Necaxa,Supercopa MX,Defender,Mexico,c7l6c6gphs8amkcwomtrku7e1,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/c7l6c6gphs8amkcwomtrku7e1
,,Club Necaxa,Supercopa MX,Midfielder,Mexico,cd2zh0j7l1qbsojkvu8d8o6ei,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/cd2zh0j7l1qbsojkvu8d8o6ei
10,,Club Necaxa,Supercopa MX,Midfielder,Mexico,cfc38fybizx6ev3gvg1tv6ok5,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/cfc38fybizx6ev3gvg1tv6ok5
14,,Club Necaxa,Supercopa MX,Midfielder,Chile,diauyo66kudxbolux358mjhed,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/diauyo66kudxbolux358mjhed
25,,Club Necaxa,Supercopa MX,Goalkeeper,Mexico,dml0jmfeoiwn7ik3tr7xlzmc5,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/dml0jmfeoiwn7ik3tr7xlzmc5
22,,Club Necaxa,Supercopa MX,Midfielder,Mexico,dta2hcu8sq62dx9diax5shk9,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/dta2hcu8sq62dx9diax5shk9
31,,Club Necaxa,Supercopa MX,Defender,USA,dx0sxtnwt47os8e6vymenhoet,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/dx0sxtnwt47os8e6vymenhoet
,,Club Necaxa,Supercopa MX,Defender,Mexico,ednytsavf8qi37p5dyebqrt62,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/ednytsavf8qi37p5dyebqrt62
24,Rubén González,Club Necaxa,Supercopa MX,Midfielder,Mexico,evsi15yzlgsbn8fj4phrhi39,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/evsi15yzlgsbn8fj4phrhi39
20,,Club Necaxa,Supercopa MX,Defender,Mexico,f1pe2edlecy0s3buxaqxo8w6h,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/f1pe2edlecy0s3buxaqxo8w6h
13,,Club Necaxa,Supercopa MX,Attacker,Mexico,pe4j7x9k1h0nmsbhbneahhhx,b7hn6knkuxbpj1i8rmzapns7b,aoptcrsdi34eue1fnlk38ivo5,9sd31bfww5p23ipxgkqge2noq,https://www.scoresway.com/en_GB/soccer/supercopa-mx-2018/9sd31bfww5p23ipxgkqge2noq/teams/view/b7hn6knkuxbpj1i8rmzapns7b/player/view/pe4j7x9k1h0nmsbhbneahhhx
