liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
Mexico_Supercopa_MX,2021-2022,Atlas FC,apsv0c0r1zc7q3bjqex8033kl,J. Abella,Defender,,1,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,6l5na1ucaovnml3tqjdyysbth,E. Aguilera,Defender,,1,1,0,0,0,0,0,1
Mexico_Supercopa_MX,2021-2022,Atlas FC,ancqubjqqf22bdzlposz8okbt,G. Aguirre,Defender,,0,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,cxktd9vpx9m7gmgdfcy9v4n3d,D. Barbosa,Defender,,1,0,0,0,0,0,0,1
Mexico_Supercopa_MX,2021-2022,Atlas FC,1kggpaz4j0ttrjavw0z6tzjhm,I. Domínguez,Defender,,0,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,9ilhjiaswd1oqx4xhf7wd01jp,É. Flores,Midfielder,,1,0,1,0,0,0,1,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,2xchh8ku8lm05p0sd89y6gjit,J. Furch,Attacker,,0,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,69fnat87plv2mxsyivi1n0twq,A. Gómez,Defender,,0,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,2hlfqnms7bs6eiy9gibc4fvft,José Hernández,Goalkeeper,,0,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,l4rbm35vbn136hutia3pksiy,O. Herrera,Attacker,,1,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,dsif2f4ny3beg21vrvnociwru,J. Márquez,Midfielder,,1,0,0,0,0,0,1,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,aa53igsrv81m9zy3ub1ri4v6d,M. Nervo,Defender,,1,0,1,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,avdpequoe93pu17qm8ithscbu,E. Ortega,Midfielder,,0,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,8oysg1rd2ern90ef3pbxsuwo9,J. Quiñones,Attacker,,1,1,1,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,21051apcxzotsbfnwivngarbp,L. Reyes,Defender,,1,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,62hgf13it1y2bhucfxl7bmdhx,A. Rocha,Midfielder,,1,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,5mlvsyrovx07gvivuj643nvje,L. Rodríguez,Midfielder,,0,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,ew34ex1in43myj1umh5xcx7md,A. Santamaría,Defender,,1,0,1,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,7ot6emo291avsnjabzt36a9uy,C. Trejo,Attacker,,1,0,0,0,0,0,1,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,bsijqtivxx9jbkjsh9c7ixu51,C. Vargas,Goalkeeper,,1,0,0,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,Atlas FC,8oiw6d6y3tzcc58ijwwg0hh49,É. Zaldívar,Midfielder,,1,0,0,0,0,0,0,1
Mexico_Supercopa_MX,2021-2022,CF Cruz Azul,652d6i0jem2jymjfzd8w0ndn9,L. Abram,Defender,,1,0,1,0,0,0,0,0
Mexico_Supercopa_MX,2021-2022,CF Cruz Azul,4051hgvu9v8jnu9rbbd0pr9bd,U. Antuna,Attacker,,1,0,0,0,0,0,0,1
Mexico_Supercopa_MX,2021-2022,CF Cruz Azul,f47fwbxgm35jx628hwpmfdrrp,R. Baca,Midfielder,,1,0,0,0,0,0,1,0
Mexico_Supercopa_MX,2021-2022,CF Cruz Azul,2lsqo8x3mbz4shb8nuv5catp1,Jesús Corona,Goalkeeper,,0,0,0,0,0,0,0,0
