liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Forward Passes,Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Time Played,Successful Short Passes,Unsuccessful Passes Own Half,Duels,Touches,Duels won,Corners Won,Unsuccessful Long Passes,Successful Passes Opposition Half,Ground Duels won,Times Tackled,Duels lost,Recoveries,Unsuccessful Short Passes,Total Tackles,Tackles Won,Total Passes,Leftside Passes,Ground Duels,Throw Ins to Own Player,Ground Duels lost,Total Losses Of Possession,Index,Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Home Goals,Away Goals,Winning Goal,Aerial Duels lost,Shots On Target ( inc goals ),Foul Won Penalty,Successful Lay-offs,Unsuccessful Crosses open play,Successful Passes Own Half,Unsuccessful Crosses & Corners,Unsuccessful Dribbles,Successful Open Play Passes,Goals Conceded,Right Foot Goals,Rightside Passes,Unsuccessful lay-offs,Interceptions,Offsides,Successful Dribbles,Shots Off Target (inc woodwork),Penalty Goals Conceded,Goals from Inside Box,Total Fouls Won,Goals Conceded Inside Box,Open Play Passes,Through balls,Starts,Aerial Duels won,Blocked Shots,Key Passes (Attempt Assists),Goals Conceded Outside Box,Total Shots,Successful Long Passes,Total Clearances,Total Fouls Conceded,Backward Passes,Aerial Duels,Handballs conceded,Attempts from Set Pieces,Successful Crosses & Corners,Corners Taken (incl short corners),Unsuccessful Launches,Second Goal Assists,Successful Crosses open play,Penalties Taken,Throw Ins to Opposition Player,Penalty Goals,Tackles Lost,Headed Goals,Goals from Outside Box,Left Foot Goals,Clean Sheets,Successful Launches,Blocks,Goal Assists,Assists (Intentional),Hit Woodwork,Total Touches In Opposition Box,Unsuccessful Corners into Box,Penalties Conceded,Successful Corners into Box,Set Pieces Goals,Last Man Tackle,Own Goal Scored,Catches,Saves made - parried,Goalkeeper Smother,Saves Made from Outside Box,GK Successful Distribution,GK Unsuccessful Distribution,Drops,Saves Made from Inside Box,Saves Made,Crosses not Claimed,Punches,Penalties Faced,Saves made - caught,Clearances Off the Line,Penalties Off Target,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2011,Colorado Rapids,c3lcfwtn0saryp7yo0ic0wf6d,E. Ababio,Defender,8.0,1.0,,,,,,1.0,,2.0,4.0,6.0,10.0,1.0,2.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,7.0,5.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,9mt8aljv2kkabe4nhvqjmdcyd,A. Akpan,Forward,19.0,12.0,1.0,,,,,7.0,4.0,40.0,51.0,55.0,479.0,105.0,8.0,79.0,232.0,34.0,5.0,2.0,81.0,14.0,16.0,45.0,11.0,53.0,1.0,1.0,164.0,44.0,37.0,1.0,23.0,91.0,100.0,109.0,12.0,1.0,0.0,0.0,22.0,5.0,1.0,15.0,4.0,28.0,4.0,2.0,3.0,6.0,1.0,32.0,2.0,1.0,2.0,5.0,9.0,1.0,1.0,8.0,5.0,4.0,1.0,5.0,20.0,1.0,3.0,1.0,14.0,4.0,3.0,8.0,48.0,42.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,9odqxkb5kucctyhjx8t337emt,Q. Amarikwa,Forward,12.0,16.0,1.0,1.0,1.0,1.0,,11.0,6.0,14.0,42.0,35.0,554.0,60.0,2.0,91.0,235.0,32.0,8.0,6.0,54.0,28.0,41.0,59.0,11.0,29.0,3.0,3.0,99.0,19.0,81.0,3.0,53.0,121.0,43.0,64.0,16.0,0.0,1.0,1.0,6.0,5.0,,10.0,9.0,12.0,9.0,10.0,,7.0,1.0,42.0,2.0,1.0,8.0,8.0,8.0,1.0,1.0,17.0,5.0,,2.0,5.0,4.0,4.0,3.0,2.0,13.0,4.0,3.0,14.0,24.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,50arpsced14ecvl5wj4g2znpx,C. Casey,Forward,9.0,14.0,6.0,4.0,1.0,1.0,,3.0,6.0,74.0,74.0,68.0,809.0,134.0,4.0,116.0,341.0,33.0,6.0,7.0,125.0,22.0,45.0,83.0,21.0,61.0,5.0,3.0,217.0,32.0,89.0,1.0,67.0,146.0,50.0,149.0,14.0,4.0,2.0,0.0,16.0,10.0,,22.0,10.0,29.0,10.0,19.0,,10.0,3.0,61.0,,1.0,12.0,3.0,7.0,,5.0,14.0,8.0,,6.0,11.0,11.0,1.0,12.0,2.0,17.0,15.0,4.0,25.0,50.0,27.0,3.0,,5.0,,,,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,71bcwrrg3hbhc25s2ll3dlec5,S. Ceus,Goalkeeper,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,eiuzh3m2sgrl2k003fitfz4k5,M. Comminges,Defender,32.0,7.0,,1.0,1.0,,1.0,,2.0,141.0,65.0,80.0,592.0,160.0,21.0,30.0,409.0,13.0,1.0,32.0,76.0,11.0,4.0,17.0,17.0,48.0,10.0,9.0,250.0,4.0,26.0,60.0,15.0,125.0,27.0,170.0,7.0,0.0,0.0,0.0,2.0,,,,6.0,94.0,6.0,,,8.0,,86.0,,16.0,,,1.0,1.0,,1.0,7.0,,,7.0,2.0,,,1.0,1.0,10.0,22.0,9.0,19.0,4.0,,,,,35.0,,,,18.0,,1.0,,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,18onv7xvx194c51ow74g7y1ud,O. Cummings,Forward,14.0,29.0,4.0,1.0,,,,8.0,14.0,101.0,145.0,136.0,1889.0,342.0,20.0,189.0,830.0,65.0,14.0,8.0,287.0,58.0,87.0,124.0,51.0,128.0,17.0,14.0,501.0,134.0,165.0,11.0,107.0,332.0,37.0,365.0,29.0,4.0,0.0,2.0,17.0,13.0,,43.0,29.0,85.0,29.0,22.0,10.0,26.0,3.0,124.0,9.0,5.0,24.0,16.0,22.0,2.0,4.0,25.0,22.0,15.0,19.0,21.0,7.0,10.0,24.0,4.0,35.0,23.0,4.0,18.0,142.0,24.0,1.0,2.0,7.0,1.0,1.0,1.0,7.0,,,,3.0,1.0,,,1.0,,1.0,5.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,3ke51u8mtf68z4b1i5cp5do7p,D. Earls,Defender,2.0,4.0,,,,,,1.0,1.0,65.0,32.0,32.0,224.0,84.0,10.0,9.0,197.0,7.0,,15.0,43.0,7.0,2.0,2.0,19.0,17.0,5.0,4.0,124.0,4.0,9.0,28.0,2.0,55.0,22.0,92.0,4.0,0.0,0.0,0.0,,1.0,,4.0,9.0,52.0,10.0,1.0,,4.0,,39.0,,6.0,,,,,,2.0,2.0,,,3.0,,,,2.0,1.0,8.0,7.0,,16.0,,,,3.0,,12.0,,3.0,,3.0,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,bcpxmnhx2mutzu2qu8pp7b45x,C. Folan,Forward,21.0,28.0,6.0,5.0,1.0,1.0,,10.0,8.0,141.0,159.0,174.0,1634.0,310.0,23.0,200.0,678.0,89.0,9.0,5.0,250.0,35.0,43.0,111.0,29.0,169.0,6.0,3.0,500.0,99.0,108.0,1.0,73.0,275.0,36.0,326.0,28.0,4.0,2.0,0.0,38.0,17.0,,54.0,8.0,76.0,8.0,6.0,21.0,24.0,3.0,115.0,7.0,2.0,20.0,2.0,19.0,1.0,6.0,27.0,21.0,35.0,,18.0,54.0,5.0,11.0,3.0,36.0,16.0,11.0,29.0,145.0,92.0,,,,,2.0,,,2.0,,2.0,3.0,2.0,,1.0,3.0,,3.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Colorado Rapids,4at486tilum72bub0lbp679at,M. Holody,Defender,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
