dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
3,,Real Salt Lake,MLS,Defender,USA,14lgbrk33m7d9xo0xhfjhqgut,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/14lgbrk33m7d9xo0xhfjhqgut
11,,Real Salt Lake,MLS,Midfielder,Argentina,27dp0c0ichq6wkd8vs2k6fphx,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/27dp0c0ichq6wkd8vs2k6fphx
16,,Real Salt Lake,MLS,Midfielder,USA,33sjanwfs6jyj9wgdnt0t75jp,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/33sjanwfs6jyj9wgdnt0t75jp
1,,Real Salt Lake,MLS,Goalkeeper,USA,33skk40ltk8q7rev7b81ygbmd,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/33skk40ltk8q7rev7b81ygbmd
21,Luis Gil,Real Salt Lake,MLS,Midfielder,USA,3o1ofvw8de8lo5wdn0cs5gxxx,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/3o1ofvw8de8lo5wdn0cs5gxxx
77,,Real Salt Lake,MLS,Midfielder,Jamaica,3whvag9lqw5krykn5bhhzpj9x,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/3whvag9lqw5krykn5bhhzpj9x
8,,Real Salt Lake,MLS,Midfielder,Canada,4fxnafz5s1b6djxhipp4rsul1,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/4fxnafz5s1b6djxhipp4rsul1
17,,Real Salt Lake,MLS,Defender,USA,6gb02llx1m6040wia4qcld61h,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/6gb02llx1m6040wia4qcld61h
5,,Real Salt Lake,MLS,Midfielder,USA,6grvi28hzez37brwuct4wzo45,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/6grvi28hzez37brwuct4wzo45
13,,Real Salt Lake,MLS,Attacker,USA,6tq7m6nmh6qf0iio8xuubexn9,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/6tq7m6nmh6qf0iio8xuubexn9
28,,Real Salt Lake,MLS,Defender,USA,7x7y8m1p75skatexs2v2xra39,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/7x7y8m1p75skatexs2v2xra39
,,Real Salt Lake,MLS,,USA,7xppk31gqoh55f6nnux8q9mmt,29zyafx618w7tvp34n53pzwwb,287tckirbfj9nb8ar2k9r60vn,ap4zfhyq0ulkspvycgsy9xal1,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/teams/view/29zyafx618w7tvp34n53pzwwb/player/view/7xppk31gqoh55f6nnux8q9mmt
