root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,6j30vwldz9cnivosszbdpvh05,F. Adu,Midfielder,11.0,24,5,2,2,1,1,4,14
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,adrwukbnoyoui8wacm52iepxx,C. Albright,Defender,3.0,8,0,0,0,0,0,5,3
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,528w0pwheptrz9ax73nq5nqvp,D. Califf,Defender,4.0,23,1,2,0,0,0,0,2
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,bga32zh7ovvj6rlxyztpsngt1,B. Carroll,Midfielder,7.0,33,1,4,0,0,0,1,1
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,8ie1vhem3ijhyvs8owolwcdsl,K. Daniel,Midfielder,26.0,22,1,0,1,1,0,5,7
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,6u0uzwdo09307q2zzqg5xn36d,M. Farfán,Midfielder,21.0,32,1,7,0,0,0,1,4
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,9c0k9bgclh940lsowvnockrmd,G. Farfán,Defender,15.0,23,0,5,1,1,0,1,5
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,9gvhifwtxm19v78bjp8wr2c45,R. Gaddis,Defender,28.0,18,0,2,0,0,0,1,3
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,e6g5jqhc9cngqed9gyky745p1,G. Gómez,Midfielder,6.0,24,6,5,0,0,0,6,11
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,4phg009itgihmxtb5hb5ymzth,C. Harrison,Goalkeeper,32.0,1,0,1,0,0,0,0,0
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,2djvawznoq9rxlff7fv5ksout,K. Herdling,Midfielder,38.0,4,0,0,0,0,0,1,3
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,c9tsv95tuppzdklmjne9whdxx,C. Hernández,Attacker,31.0,2,0,0,0,0,0,2,0
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,erqnzr02gtr24102568719ivp,C. Hoffman,Attacker,12.0,7,0,0,0,0,0,5,2
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,cv8u1u1mvnd89t6sqhlheorth,A. Hoppenot,Attacker,29.0,25,4,2,0,0,0,22,3
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,34tcen5i5e5vlsvy04n63ja39,G. Jordan,Midfielder,5.0,0,0,0,0,0,0,0,0
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,8ziuhfjdyjakdta3h8gsj7179,C. Konopka,Goalkeeper,1.0,1,0,0,0,0,0,0,0
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,3vk61q32frttvqmdpd6v7xpzp,M. Lahoud,Midfielder,13.0,24,0,4,0,0,0,5,9
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,aumip1t8f8s4dgmecyrdo7f85,P. López,Defender,24.0,5,0,0,0,0,0,1,1
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,7qla3o405z7168s9y50oigs7p,Z. MacMath,Goalkeeper,18.0,32,0,2,0,0,0,0,0
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,b7cfnrvocgugee9zynxv3y6l1,J. Martínez,Attacker,17.0,18,1,1,0,0,0,12,5
testeo_ligas_norteamerica,USA_MLS,2012,Philadelphia Union,Philadelphia_Union,3ny0cwoygb1k0cc4eyoc7w15h,J. McInerney,Attacker,9.0,25,8,4,1,1,0,7,7
