liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Foul Won Penalty,Headed Goals,Handballs conceded,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Hit Woodwork,Penalties Taken,Successful Launches,Unsuccessful Corners into Box,Clearances Off the Line,Attempts from Set Pieces,Penalties Conceded,Last Man Tackle,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Penalty Goals,Successful Corners into Box,Other Goals,Own Goal Scored,Set Pieces Goals,Penalty Goals Conceded,Second Goal Assists,Penalties Off Target
USA_MLS,2014,Chicago Fire FC,9odqxkb5kucctyhjx8t337emt,Q. Amarikwa,Forward,24,32.0,8.0,5.0,1.0,,1.0,3.0,10.0,22.0,27.0,2549.0,13.0,39.0,4.0,590.0,33.0,147.0,5.0,416.0,1.0,6.0,25.0,32.0,4.0,121.0,467.0,62.0,25.0,159.0,638.0,57.0,55.0,460.0,36.0,61.0,165.0,203.0,40.0,180.0,15.0,1.0,68.0,29.0,47.0,7.0,1295.0,1.0,32.0,16.0,3.0,391.0,1.0,179.0,12.0,92.0,234.0,29.0,13.0,5.0,101.0,56.0,59.0,568.0,12.0,40.0,3.0,22.0,5.0,1.0,2.0,3.0,213.0,109.0,7.0,425.0,473.0,177.0,2.0,14.0,5.0,6.0,23.0,334.0,2.0,7.0,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Chicago Fire FC,5utt2o4cz63soj6whop7qokph,J. Anangonó,Forward,33,15.0,2.0,,,,,11.0,1.0,5.0,4.0,472.0,,16.0,,102.0,3.0,39.0,,59.0,,2.0,3.0,8.0,,30.0,76.0,22.0,2.0,27.0,110.0,10.0,1.0,80.0,8.0,13.0,29.0,22.0,4.0,30.0,5.0,,16.0,4.0,7.0,4.0,211.0,,15.0,,2.0,40.0,,22.0,2.0,35.0,36.0,5.0,1.0,,13.0,22.0,6.0,92.0,9.0,8.0,,5.0,1.0,2.0,1.0,,26.0,27.0,2.0,73.0,81.0,52.0,1.0,3.0,,,2.0,56.0,,,14.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Chicago Fire FC,ekfarp8ut8lp6f7bytsgc9yvp,O. Barouch,Forward,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Chicago Fire FC,5xtxvjnkpkli6hb5vilbsraad,G. Cochrane,Defender,16,12.0,,2.0,,,,,1.0,25.0,,1063.0,93.0,8.0,,371.0,4.0,53.0,10.0,158.0,17.0,25.0,9.0,2.0,2.0,14.0,180.0,122.0,11.0,81.0,376.0,6.0,3.0,250.0,17.0,3.0,106.0,129.0,5.0,105.0,1.0,33.0,33.0,12.0,16.0,27.0,672.0,1.0,12.0,2.0,8.0,35.0,,176.0,1.0,39.0,29.0,1.0,20.0,10.0,3.0,13.0,4.0,62.0,36.0,19.0,,26.0,,,,1.0,19.0,18.0,,267.0,270.0,27.0,1.0,,2.0,,9.0,33.0,2.0,28.0,16.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Chicago Fire FC,cc1itdep9307lxpzr96ay3hed,R. Cociş,Midfielder,30,10.0,,2.0,,,,2.0,1.0,7.0,1.0,713.0,,22.0,,278.0,1.0,42.0,1.0,127.0,3.0,12.0,8.0,5.0,1.0,12.0,92.0,92.0,25.0,52.0,282.0,10.0,7.0,207.0,9.0,5.0,64.0,69.0,10.0,56.0,5.0,,49.0,8.0,15.0,15.0,414.0,,10.0,8.0,4.0,75.0,,94.0,,85.0,56.0,,11.0,1.0,14.0,13.0,3.0,100.0,12.0,10.0,,7.0,,,1.0,,32.0,77.0,,214.0,218.0,25.0,2.0,2.0,,1.0,21.0,44.0,4.0,14.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Chicago Fire FC,tyov0w4vvjp4v8w9rw4fl9zp,Alex,Midfielder,7,28.0,,3.0,,,,4.0,11.0,27.0,2.0,1986.0,31.0,23.0,,855.0,13.0,142.0,9.0,421.0,12.0,51.0,38.0,12.0,4.0,34.0,285.0,293.0,53.0,112.0,868.0,33.0,14.0,633.0,27.0,19.0,163.0,211.0,23.0,158.0,9.0,1.0,155.0,24.0,58.0,36.0,1286.0,3.0,28.0,18.0,2.0,204.0,,288.0,1.0,41.0,128.0,7.0,72.0,9.0,35.0,27.0,18.0,265.0,19.0,31.0,,31.0,,,1.0,1.0,103.0,227.0,,693.0,705.0,61.0,3.0,2.0,1.0,10.0,39.0,137.0,14.0,40.0,101.0,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Chicago Fire FC,42xbviu1celrq1fh9ci55zphx,D. Duka,Midfielder,11,20.0,3.0,3.0,,,,5.0,8.0,20.0,5.0,1354.0,10.0,15.0,1.0,406.0,16.0,83.0,3.0,229.0,2.0,11.0,18.0,10.0,2.0,22.0,223.0,93.0,33.0,83.0,413.0,24.0,23.0,300.0,20.0,19.0,94.0,129.0,16.0,92.0,10.0,1.0,89.0,15.0,35.0,23.0,712.0,2.0,20.0,10.0,1.0,178.0,,139.0,3.0,21.0,82.0,9.0,19.0,3.0,18.0,8.0,38.0,208.0,8.0,22.0,2.0,21.0,,,,2.0,104.0,62.0,3.0,314.0,319.0,30.0,2.0,1.0,2.0,11.0,24.0,126.0,9.0,9.0,74.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Chicago Fire FC,c8w8u8lmtzdttj6goco694251,R. Earnshaw,Forward,88,5.0,3.0,,,,,4.0,,1.0,3.0,174.0,,2.0,,27.0,1.0,6.0,,18.0,,,,4.0,,2.0,19.0,4.0,,5.0,27.0,2.0,,21.0,4.0,10.0,5.0,8.0,1.0,6.0,,,3.0,1.0,,,57.0,,5.0,1.0,,12.0,1.0,6.0,,96.0,1.0,6.0,1.0,,1.0,,3.0,14.0,4.0,4.0,1.0,1.0,,2.0,1.0,,11.0,7.0,2.0,22.0,22.0,2.0,,,,,,13.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Chicago Fire FC,8suulohk0au2qc43v892j75xx,M. Fondy,Forward,15,9.0,,1.0,,,,9.0,,2.0,1.0,126.0,,12.0,,56.0,1.0,18.0,,26.0,1.0,1.0,1.0,,1.0,7.0,43.0,11.0,4.0,22.0,60.0,4.0,5.0,37.0,5.0,3.0,23.0,17.0,3.0,24.0,2.0,,7.0,,4.0,1.0,103.0,,9.0,,,25.0,,15.0,,45.0,20.0,3.0,,,3.0,8.0,4.0,40.0,1.0,6.0,,2.0,,,,,13.0,10.0,,33.0,37.0,15.0,,1.0,,1.0,3.0,20.0,1.0,2.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2014,Chicago Fire FC,8xb6vbl893w17b5laexwqn5cl,M. Franco,Defender,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
