liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Own Goal Scored,Clearances Off the Line,Headed Goals,Total Red Cards,Straight Red Cards,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Set Pieces Goals,Penalties Saved,Saves from Penalty,Last Man Tackle,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Second Goal Assists,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal
USA_MLS,2016,Colorado Rapids,bzry98hy5bhb4mhil7j4ccfdh,M. Azira,Midfielder,22,8.0,1.0,2678.0,9.0,4.0,11.0,5.0,,,1657.0,1.0,162.0,,690.0,29.0,8.0,85.0,34.0,3.0,4.0,31.0,365.0,719.0,86.0,185.0,1679.0,3.0,67.0,11.0,1273.0,22.0,4.0,270.0,,495.0,14.0,196.0,10.0,1.0,225.0,30.0,50.0,82.0,2187.0,,34.0,50.0,15.0,268.0,,563.0,5.0,46.0,163.0,1.0,,136.0,,25.0,41.0,12.0,340.0,63.0,26.0,,8.0,34.0,,3.0,,,146.0,459.0,,,1389.0,1409.0,72.0,9.0,,1.0,,4.0,59.0,177.0,27.0,113.0,122.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
USA_MLS,2016,Colorado Rapids,dhwk7axf00z4pe7crgp3ge8yx,D. Badji,Forward,14,9.0,18.0,1848.0,1.0,11.0,25.0,1.0,6.0,5.0,411.0,16.0,147.0,3.0,238.0,4.0,6.0,5.0,13.0,22.0,2.0,54.0,249.0,72.0,16.0,107.0,419.0,8.0,46.0,20.0,304.0,19.0,45.0,112.0,,82.0,19.0,101.0,10.0,1.0,56.0,20.0,18.0,21.0,752.0,2.0,31.0,24.0,2.0,180.0,1.0,93.0,84.0,37.0,100.0,23.0,,3.0,3.0,20.0,45.0,26.0,279.0,24.0,21.0,1.0,10.0,31.0,1.0,1.0,1.0,1.0,125.0,97.0,5.0,,299.0,307.0,99.0,4.0,,2.0,,1.0,14.0,179.0,2.0,10.0,55.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,dtb9aa7wp7e73bm367myma1n9,J. Berner,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,7728unff4imi0hr91hifq7t1x,M. Burch,Defender,4,69.0,,2833.0,296.0,1.0,2.0,19.0,,,1186.0,6.0,214.0,24.0,563.0,51.0,11.0,111.0,17.0,1.0,3.0,12.0,475.0,408.0,62.0,151.0,1209.0,1.0,29.0,7.0,848.0,27.0,2.0,262.0,3.0,450.0,21.0,292.0,,71.0,103.0,31.0,33.0,49.0,2001.0,6.0,32.0,24.0,6.0,135.0,,518.0,6.0,48.0,98.0,1.0,,99.0,20.0,11.0,19.0,9.0,166.0,76.0,30.0,,79.0,32.0,3.0,,,3.0,56.0,27.0,,,931.0,947.0,31.0,12.0,,3.0,,,47.0,68.0,15.0,65.0,79.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,660v06ea5hufw7gw081tsq6s5,B. Burling,Defender,23,,,1415.0,2.0,,,12.0,1.0,1.0,497.0,1.0,28.0,,130.0,34.0,4.0,69.0,14.0,6.0,3.0,16.0,135.0,260.0,27.0,49.0,508.0,1.0,21.0,,305.0,9.0,8.0,118.0,,64.0,1.0,85.0,2.0,,42.0,16.0,19.0,33.0,702.0,,16.0,11.0,12.0,70.0,,264.0,14.0,46.0,69.0,2.0,,85.0,,11.0,33.0,2.0,119.0,47.0,12.0,,,16.0,,,,,34.0,152.0,1.0,,382.0,390.0,49.0,6.0,,,,,17.0,50.0,10.0,40.0,36.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,b9d0uzamji8vccf2eujjsk9g5,C. Calvert,Forward,29,1.0,1.0,165.0,,7.0,2.0,,,,46.0,1.0,10.0,,24.0,1.0,1.0,2.0,,1.0,1.0,7.0,23.0,10.0,1.0,11.0,47.0,1.0,4.0,1.0,33.0,1.0,5.0,13.0,,9.0,,12.0,,,3.0,1.0,1.0,2.0,69.0,,8.0,,1.0,12.0,,18.0,8.0,25.0,10.0,4.0,,1.0,,1.0,7.0,1.0,26.0,1.0,2.0,,1.0,8.0,,,,,9.0,10.0,,,33.0,34.0,14.0,,,,,,1.0,16.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,3jd12xkywe8nkmby7kbpkln8p,D. Castillo,Defender,26,5.0,,123.0,9.0,3.0,,1.0,,,42.0,1.0,9.0,2.0,16.0,2.0,1.0,6.0,,1.0,,3.0,20.0,17.0,3.0,6.0,43.0,,3.0,,28.0,1.0,1.0,12.0,,1.0,,13.0,,1.0,1.0,1.0,,4.0,85.0,,4.0,2.0,1.0,9.0,,17.0,2.0,66.0,9.0,,,3.0,2.0,2.0,4.0,,16.0,7.0,1.0,,5.0,4.0,,1.0,,1.0,4.0,16.0,,,31.0,31.0,7.0,1.0,,1.0,,,3.0,7.0,,4.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,2aepdttfi222z55nk0p1vxzh1,S. Cronin,Midfielder,6,17.0,,3224.0,8.0,,15.0,13.0,1.0,,1740.0,6.0,216.0,6.0,787.0,55.0,8.0,126.0,26.0,10.0,5.0,33.0,422.0,702.0,54.0,186.0,1795.0,4.0,61.0,8.0,1317.0,29.0,18.0,312.0,,544.0,30.0,258.0,12.0,,191.0,36.0,47.0,71.0,2239.0,,36.0,35.0,12.0,206.0,,577.0,14.0,46.0,124.0,8.0,,166.0,6.0,33.0,31.0,9.0,270.0,51.0,34.0,,17.0,36.0,,3.0,,,113.0,458.0,1.0,,1433.0,1483.0,64.0,11.0,,2.0,,1.0,38.0,146.0,16.0,73.0,93.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,6ki7cq3dsamhsfb1x1a7i5x3p,C. Doyle,Forward,19,,,23.0,,3.0,1.0,,,,10.0,1.0,2.0,,4.0,1.0,2.0,1.0,,,,1.0,10.0,2.0,1.0,3.0,10.0,,3.0,,6.0,,,4.0,,3.0,,4.0,1.0,,1.0,,,,19.0,,3.0,,,7.0,,4.0,1.0,1.0,1.0,,,,,,,2.0,8.0,1.0,,,,3.0,,,,,6.0,1.0,,,6.0,6.0,1.0,,,,,,,7.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,e1gila7pbgsxwi6tef03jwout,K. Doyle,Forward,9,26.0,15.0,2548.0,17.0,2.0,44.0,,7.0,4.0,753.0,24.0,209.0,7.0,441.0,2.0,6.0,19.0,10.0,40.0,4.0,90.0,430.0,141.0,29.0,191.0,785.0,5.0,38.0,22.0,552.0,23.0,56.0,210.0,,192.0,42.0,212.0,23.0,1.0,78.0,28.0,26.0,24.0,1277.0,,30.0,17.0,1.0,244.0,,199.0,114.0,55.0,187.0,16.0,,23.0,7.0,54.0,86.0,22.0,420.0,13.0,27.0,1.0,26.0,30.0,,3.0,4.0,2.0,143.0,185.0,7.0,1.0,543.0,575.0,176.0,8.0,10.0,2.0,1.0,5.0,20.0,233.0,9.0,3.0,101.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
