liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Own Goal Scored,Clearances Off the Line,Headed Goals,Total Red Cards,Straight Red Cards,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Set Pieces Goals,Penalties Saved,Saves from Penalty,Last Man Tackle,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Second Goal Assists,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal
USA_MLS,2016,Seattle Sounders FC,us2vdrmol0lacxx5lt7e1vqh,J. Alfaro,Defender,15,2.0,,286.0,4.0,5.0,,,,,181.0,,18.0,,37.0,9.0,,19.0,,1.0,1.0,8.0,55.0,103.0,15.0,25.0,184.0,1.0,1.0,2.0,124.0,2.0,1.0,44.0,,73.0,1.0,28.0,,5.0,14.0,1.0,2.0,18.0,240.0,,6.0,1.0,2.0,24.0,,79.0,7.0,50.0,24.0,,,16.0,,4.0,3.0,,35.0,8.0,3.0,,2.0,6.0,,,,,3.0,14.0,,,137.0,140.0,11.0,,,,,,10.0,11.0,5.0,6.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,abbr148gjj0whyyijov67knv9,O. Alonso,Midfielder,6,10.0,,3369.0,14.0,,25.0,11.0,3.0,3.0,2456.0,7.0,237.0,3.0,1146.0,24.0,8.0,71.0,37.0,25.0,3.0,13.0,365.0,1155.0,145.0,175.0,2544.0,3.0,63.0,73.0,2043.0,38.0,37.0,246.0,,852.0,24.0,181.0,12.0,,339.0,38.0,48.0,75.0,3267.0,,38.0,35.0,18.0,433.0,1.0,730.0,28.0,72.0,329.0,12.0,1.0,255.0,3.0,78.0,34.0,17.0,480.0,60.0,41.0,,10.0,38.0,,2.0,,2.0,138.0,725.0,2.0,,2215.0,2298.0,47.0,8.0,,3.0,,3.0,102.0,151.0,43.0,84.0,295.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,4avmtni30rahy4h40ffg89q6t,O. Anderson,Forward,39,7.0,,334.0,2.0,13.0,1.0,,,,95.0,7.0,18.0,1.0,48.0,,,3.0,8.0,4.0,,4.0,75.0,20.0,1.0,27.0,97.0,3.0,7.0,13.0,67.0,6.0,8.0,30.0,,28.0,7.0,34.0,1.0,1.0,10.0,2.0,12.0,3.0,196.0,,15.0,6.0,,55.0,,28.0,35.0,93.0,31.0,4.0,,,1.0,14.0,3.0,8.0,62.0,,6.0,,7.0,15.0,,,,,27.0,23.0,,,65.0,67.0,7.0,,,,,,,31.0,1.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,1l550ygo81yhbyuecd36rx711,C. Dempsey,Midfielder,2,3.0,6.0,1429.0,2.0,,19.0,,8.0,6.0,657.0,11.0,112.0,4.0,395.0,,1.0,11.0,1.0,27.0,1.0,26.0,221.0,158.0,10.0,106.0,666.0,3.0,23.0,11.0,516.0,17.0,49.0,117.0,,219.0,21.0,109.0,16.0,,36.0,17.0,15.0,14.0,920.0,1.0,17.0,12.0,,129.0,1.0,196.0,76.0,69.0,71.0,22.0,9.0,33.0,4.0,27.0,23.0,21.0,178.0,1.0,18.0,1.0,6.0,17.0,1.0,,2.0,1.0,81.0,139.0,7.0,3.0,543.0,549.0,49.0,2.0,1.0,1.0,2.0,4.0,6.0,107.0,4.0,9.0,48.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
USA_MLS,2016,Seattle Sounders FC,774fgdux4lyp6ee3h3e4rhvit,B. Evans,Midfielder,3,3.0,,1927.0,7.0,7.0,,16.0,1.0,1.0,927.0,3.0,76.0,2.0,221.0,26.0,,45.0,11.0,4.0,2.0,35.0,148.0,615.0,36.0,70.0,949.0,2.0,12.0,10.0,755.0,27.0,5.0,115.0,,190.0,3.0,75.0,4.0,1.0,84.0,21.0,15.0,43.0,1237.0,,28.0,8.0,19.0,96.0,,364.0,18.0,39.0,93.0,1.0,,79.0,2.0,14.0,33.0,3.0,164.0,70.0,29.0,,3.0,28.0,,,,1.0,36.0,319.0,1.0,1.0,815.0,834.0,68.0,4.0,,1.0,1.0,,20.0,71.0,16.0,70.0,60.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,6u0uzwdo09307q2zzqg5xn36d,M. Farfán,Midfielder,12,,,26.0,,1.0,,,,,16.0,,3.0,,5.0,,,,,,,,4.0,8.0,1.0,3.0,16.0,,1.0,,12.0,1.0,,3.0,,7.0,,1.0,,,2.0,,2.0,2.0,18.0,,1.0,1.0,,2.0,,2.0,,10.0,1.0,,,1.0,,,,,2.0,,1.0,,,1.0,,,,,1.0,4.0,,,13.0,13.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,2upzlub38s49tok1rf7qvc0k5,Á. Fernández,Midfielder,8,6.0,5.0,709.0,7.0,4.0,9.0,,1.0,1.0,252.0,1.0,51.0,1.0,132.0,5.0,,10.0,5.0,2.0,,19.0,112.0,53.0,14.0,58.0,252.0,8.0,10.0,3.0,179.0,7.0,4.0,68.0,,60.0,6.0,59.0,1.0,1.0,32.0,9.0,6.0,15.0,378.0,,13.0,7.0,2.0,69.0,,89.0,20.0,100.0,45.0,2.0,,5.0,1.0,16.0,13.0,5.0,101.0,7.0,7.0,,6.0,13.0,,1.0,1.0,,37.0,52.0,1.0,,184.0,184.0,32.0,,1.0,1.0,,1.0,8.0,56.0,6.0,6.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,ctly31kk772nia6is9ul9ar4l,O. Fisher,Defender,91,9.0,,300.0,31.0,7.0,,1.0,,,156.0,1.0,38.0,,69.0,9.0,1.0,12.0,5.0,1.0,,2.0,69.0,59.0,5.0,18.0,158.0,1.0,11.0,3.0,118.0,4.0,1.0,30.0,,20.0,1.0,29.0,,9.0,17.0,2.0,6.0,10.0,280.0,,9.0,6.0,4.0,35.0,,62.0,1.0,37.0,16.0,,,10.0,,6.0,2.0,4.0,39.0,9.0,4.0,,9.0,9.0,,,,,21.0,38.0,,,127.0,128.0,4.0,1.0,,1.0,,1.0,4.0,23.0,1.0,10.0,14.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,27fyf4lu42ovf02lksw45pjo5,S. Frei,Goalkeeper,24,,,3540.0,,,,106.0,,,484.0,1.0,,,140.0,232.0,1.0,479.0,,,3.0,,486.0,362.0,2.0,1.0,982.0,,,,248.0,41.0,1.0,480.0,,83.0,,381.0,,,373.0,39.0,,99.0,1386.0,,39.0,,,11.0,,775.0,1.0,60.0,19.0,1.0,,254.0,,8.0,10.0,,21.0,31.0,44.0,,,39.0,,,,,2.0,124.0,,,298.0,502.0,10.0,12.0,,,,,1.0,2.0,1.0,4.0,9.0,,,,,,,117.0,315.0,1.0,20.0,3.0,4.0,30.0,45.0,33.0,72.0,8.0,13.0,178.0,,,1.0,1.0,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,1560spmgzp47yygav2d1f4xcl,E. Friberg,Midfielder,8,15.0,1.0,1963.0,5.0,7.0,13.0,4.0,,,1168.0,11.0,217.0,9.0,559.0,7.0,4.0,44.0,15.0,3.0,2.0,6.0,247.0,485.0,36.0,135.0,1214.0,12.0,22.0,10.0,966.0,25.0,7.0,179.0,4.0,255.0,27.0,172.0,8.0,,117.0,23.0,31.0,28.0,1445.0,12.0,30.0,15.0,3.0,110.0,,399.0,31.0,90.0,59.0,4.0,,69.0,6.0,7.0,6.0,3.0,122.0,9.0,27.0,,21.0,30.0,6.0,2.0,,1.0,57.0,343.0,,,993.0,1035.0,12.0,2.0,,1.0,,5.0,21.0,63.0,15.0,33.0,53.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
