dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
31,,Columbus Crew,MLS,Defender,USA,2mqz8qqvfv4g5puzzlp4mepyh,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/2mqz8qqvfv4g5puzzlp4mepyh
17,,Columbus Crew,MLS,Defender,Ghana,33l6xyx4nhswaphl9ha38yx9l,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/33l6xyx4nhswaphl9ha38yx9l
8,Artur,Columbus Crew,MLS,Midfielder,Brazil,35fvjkn05x6cr2kx3yiif1jop,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/35fvjkn05x6cr2kx3yiif1jop
20,,Columbus Crew,MLS,Midfielder,Venezuela,3lkhe0z245maxwz5f96p9uqd,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/3lkhe0z245maxwz5f96p9uqd
26,,Columbus Crew,MLS,Midfielder,USA,41f989ipi6hbenabbwpioiyuh,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/41f989ipi6hbenabbwpioiyuh
,,Columbus Crew,MLS,,USA,4ksw56va3ag2zh0bfpkm836qd,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/4ksw56va3ag2zh0bfpkm836qd
21,,Columbus Crew,MLS,Defender,USA,4o1ryjpzoxzpi3ex53cmayui1,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/4o1ryjpzoxzpi3ex53cmayui1
30,,Columbus Crew,MLS,Goalkeeper,USA,4o2odluv4usimcdtryht04zjd,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/4o2odluv4usimcdtryht04zjd
28,,Columbus Crew,MLS,Attacker,Denmark,5cveiae53ksrodojo0ssviz1l,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/5cveiae53ksrodojo0ssviz1l
,,Columbus Crew,MLS,,USA,5soi2nnd007o6t8fulzr1yggl,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/5soi2nnd007o6t8fulzr1yggl
6,,Columbus Crew,MLS,Midfielder,USA,6045hqgmu7l31xwe2dp06mwnp,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/6045hqgmu7l31xwe2dp06mwnp
11,,Columbus Crew,MLS,Attacker,USA,61y263ybiykc566mrl9w2bowl,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/61y263ybiykc566mrl9w2bowl
,,Columbus Crew,MLS,Attacker,USA,6k9hinfk6da6yopmrm7jk7b9x,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/6k9hinfk6da6yopmrm7jk7b9x
10,,Columbus Crew,MLS,Midfielder,Argentina,7nofrmk5mdx3f42trmq3tkiqd,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/7nofrmk5mdx3f42trmq3tkiqd
32,,Columbus Crew,MLS,Attacker,USA,80r2a3jnvy8ekbl3ojskctjo5,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/80r2a3jnvy8ekbl3ojskctjo5
7,Pedro Santos,Columbus Crew,MLS,Midfielder,Portugal,8bp3sbo230kdhnw76stsw2u39,chjb0xe5vlaaguop3q2nbalni,287tckirbfj9nb8ar2k9r60vn,5j62ihkecx2ytoy6r3vopf5gq,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/teams/view/chjb0xe5vlaaguop3q2nbalni/player/view/8bp3sbo230kdhnw76stsw2u39
