liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Crosses open play,Goal Assists,Shots Off Target (inc woodwork),Duels,Goals from Inside Box,Left Foot Goals,Ground Duels,Second Goal Assists,Successful Long Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Hit Woodwork,Starts,Ground Duels won,Total Fouls Won,Clean Sheets,Aerial Duels,Goals Conceded Inside Box,Total Shots,Aerial Duels lost,Through balls,Yellow Cards,Unsuccessful Short Passes,Total Clearances,PutThrough/Blocked Distribution Won,Substitute Off,Aerial Duels won,Unsuccessful lay-offs,Total Passes,Penalty Goals Conceded,Goals from Outside Box,Total Touches In Opposition Box,Set Pieces Goals,Assists (Intentional),Foul Attempted Tackle,Interceptions,Successful Launches,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Penalty Goals,Touches,Goals Conceded Outside Box,Time Played,Recoveries,Successful Corners into Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Lay-offs,Successful Open Play Passes,Penalties Taken,Duels won,Leftside Passes,Unsuccessful Passes Opposition Half,Goals,Successful Passes Opposition Half,Successful Passes Own Half,Total Tackles,Unsuccessful Corners into Box,Unsuccessful Long Passes,Backward Passes,Index,Blocked Shots,Times Tackled,Penalties Off Target,Total Losses Of Possession,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Ground Duels lost,Duels lost,Total Fouls Conceded,Successful Dribbles,Shots On Target ( inc goals ),Unsuccessful Launches,Games Played,Successful Crosses open play,Blocks,Offsides,Throw Ins to Own Player,Attempts from Set Pieces,Open Play Passes,Key Passes (Attempt Assists),Tackles Lost,Appearances,Corners Won,Rightside Passes,Corners Taken (incl short corners),Unsuccessful Dribbles,Forward Passes,Home Goals,Away Goals,Winning Goal,Substitute On,Throw Ins to Opposition Player,Clearances Off the Line,Right Foot Goals,Penalties Conceded,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Handballs conceded,Straight Red Cards,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Last Man Tackle,Goalkeeper Smother,Saves made - caught,Penalties Saved,Penalties Faced,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves from Penalty,Punches,Headed Goals,Own Goal Scored
USA_MLS,2018,Orlando City SC,1a2903ylmdc3vmdps0u619lh,Mohammed El Munir,Defender,13,81.0,731.0,58.0,2.0,10.0,416.0,,,343.0,,44.0,49.0,223.0,1.0,23.0,187.0,18.0,2.0,73.0,43.0,18.0,34.0,,5.0,165.0,42.0,28.0,2.0,39.0,1.0,998.0,3.0,,47.0,,2.0,19.0,70.0,6.0,69.0,,67.0,,1842.0,6.0,2089.0,184.0,1.0,775.0,2.0,765.0,,226.0,48.0,200.0,,455.0,331.0,100.0,,58.0,130.0,48.0,5.0,,,466.0,11.0,58.0,156.0,190.0,34.0,71.0,8.0,19.0,26.0,10.0,9.0,2.0,187.0,,985.0,18.0,33.0,26.0,19.0,397.0,1.0,45.0,423.0,,,,3.0,18.0,1.0,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,3c6wehei7yzqs80q3g6x652ad,R. Allen,Defender,27,23.0,331.0,21.0,2.0,1.0,115.0,,,75.0,,22.0,29.0,84.0,,10.0,38.0,2.0,,40.0,24.0,1.0,23.0,,2.0,59.0,18.0,3.0,2.0,17.0,,437.0,3.0,,16.0,,2.0,5.0,16.0,2.0,11.0,,20.0,,668.0,5.0,966.0,59.0,,353.0,1.0,346.0,,55.0,170.0,82.0,,196.0,168.0,29.0,,25.0,64.0,86.0,2.0,,,136.0,11.0,21.0,37.0,60.0,19.0,8.0,,10.0,18.0,11.0,4.0,,57.0,,429.0,13.0,9.0,18.0,4.0,33.0,,4.0,170.0,,,,8.0,7.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,cgpsk87xuftr4b6nweixd9rkl,C. Ascues,Defender,26,23.0,276.0,1.0,,1.0,49.0,,,37.0,,33.0,15.0,45.0,,9.0,22.0,4.0,1.0,12.0,11.0,2.0,4.0,,2.0,25.0,26.0,2.0,2.0,8.0,,354.0,,,6.0,,,4.0,19.0,5.0,7.0,,9.0,,462.0,4.0,755.0,35.0,,309.0,,300.0,,30.0,115.0,23.0,,121.0,188.0,17.0,,20.0,26.0,51.0,2.0,,,58.0,,1.0,15.0,19.0,8.0,1.0,1.0,11.0,9.0,,9.0,,1.0,,345.0,5.0,8.0,9.0,2.0,114.0,,,99.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,c749lw8agh1uzwt0i70gw2hg5,J. Bendik,Goalkeeper,1,52.0,225.0,,,,13.0,,,4.0,,152.0,58.0,228.0,,24.0,2.0,2.0,1.0,9.0,51.0,,,,3.0,5.0,19.0,,,9.0,,605.0,5.0,,,,,,2.0,52.0,1.0,,,,859.0,7.0,2218.0,207.0,,377.0,,185.0,,11.0,90.0,176.0,,84.0,293.0,,,223.0,,47.0,,,,240.0,,,2.0,2.0,,1.0,,110.0,25.0,,,,,,284.0,,,25.0,,112.0,,,403.0,,,,1.0,,,,,247.0,56.0,81.0,84.0,,,,,,,,6.0,6.0,1.0,6.0,3.0,9.0,28.0,31.0,1.0,7.0,,
USA_MLS,2018,Orlando City SC,73jj4h2gzrnpqeir93n3vwfe1,J. Colmán,Midfielder,10,12.0,331.0,19.0,2.0,11.0,126.0,1.0,,119.0,3.0,17.0,29.0,64.0,2.0,10.0,43.0,8.0,,7.0,24.0,22.0,7.0,1.0,,60.0,,7.0,6.0,,,412.0,3.0,,46.0,,2.0,2.0,5.0,,29.0,,9.0,,656.0,5.0,1054.0,52.0,4.0,348.0,18.0,340.0,,43.0,99.0,73.0,1.0,275.0,78.0,12.0,2.0,4.0,95.0,90.0,6.0,,,191.0,5.0,21.0,76.0,83.0,4.0,23.0,11.0,,24.0,1.0,,2.0,6.0,1.0,403.0,19.0,3.0,24.0,9.0,119.0,7.0,34.0,99.0,,,,14.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,dfyyn9gd8jlfs0krwucne5hbd,P. da Silva,Forward,11,4.0,11.0,2.0,,,8.0,,,7.0,,1.0,2.0,10.0,,,4.0,2.0,,1.0,2.0,,,,,8.0,,1.0,,1.0,,22.0,,,2.0,,,,,,3.0,,2.0,,37.0,,49.0,6.0,,12.0,,12.0,,5.0,5.0,8.0,,8.0,5.0,2.0,,2.0,5.0,46.0,,,,18.0,1.0,2.0,3.0,3.0,,,,1.0,2.0,1.0,,,,,22.0,1.0,,2.0,1.0,6.0,,2.0,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,4e3ftvuylhjgw7bxo9dljlo7p,D. Dwyer,Forward,14,9.0,183.0,26.0,,27.0,300.0,12.0,6.0,186.0,,7.0,53.0,93.0,,25.0,74.0,50.0,2.0,114.0,50.0,63.0,69.0,,9.0,78.0,8.0,3.0,3.0,45.0,2.0,283.0,4.0,1.0,121.0,,,25.0,2.0,,18.0,2.0,1.0,,644.0,3.0,2244.0,32.0,,190.0,13.0,133.0,,119.0,85.0,110.0,13.0,96.0,96.0,9.0,,15.0,91.0,69.0,15.0,,,256.0,2.0,26.0,112.0,181.0,43.0,16.0,36.0,1.0,26.0,2.0,3.0,41.0,4.0,6.0,223.0,8.0,8.0,26.0,23.0,59.0,1.0,26.0,48.0,,,,1.0,1.0,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,
USA_MLS,2018,Orlando City SC,35mgbjlnao8d0s85peht48rf9,E. Edwards,Goalkeeper,36,13.0,77.0,,,,1.0,,,1.0,,39.0,10.0,35.0,1.0,5.0,1.0,,,,10.0,,,,,4.0,3.0,,1.0,,,151.0,,,,,,,1.0,7.0,,,,,198.0,,392.0,33.0,,116.0,,72.0,,1.0,41.0,22.0,,10.0,106.0,1.0,,31.0,,50.0,,,,39.0,,,,,,,,19.0,5.0,,,,,,97.0,,1.0,5.0,1.0,32.0,,,78.0,,,,,,,,,58.0,13.0,9.0,15.0,,,,,,,,,,,,,,2.0,4.0,,1.0,,
USA_MLS,2018,Orlando City SC,42h7dylzuiiyx5k773f1qo6hh,A. Grinwis,Goalkeeper,99,16.0,31.0,,,,3.0,,,2.0,,41.0,6.0,52.0,,5.0,2.0,1.0,1.0,1.0,4.0,,,,,2.0,9.0,,,1.0,,124.0,,,,,,,1.0,19.0,,,1.0,,181.0,2.0,450.0,41.0,,72.0,,33.0,,3.0,12.0,36.0,,22.0,50.0,1.0,,50.0,,58.0,,,,54.0,,,,,,,,23.0,5.0,,,,,,54.0,,,5.0,,16.0,,,96.0,,,,,,,,,44.0,8.0,19.0,14.0,,,,,,,,3.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,1.0,5.0,,
USA_MLS,2018,Orlando City SC,846dab9jkmkplpm9gqc30f26t,C. Higuita,Midfielder,7,33.0,685.0,5.0,,7.0,227.0,2.0,,197.0,,50.0,29.0,100.0,1.0,18.0,102.0,49.0,,30.0,25.0,14.0,14.0,2.0,6.0,91.0,16.0,9.0,14.0,16.0,1.0,835.0,2.0,2.0,15.0,,,23.0,21.0,2.0,21.0,,29.0,,1112.0,4.0,1366.0,111.0,,735.0,23.0,695.0,,118.0,259.0,72.0,4.0,356.0,380.0,42.0,,9.0,149.0,57.0,4.0,,,175.0,1.0,5.0,95.0,109.0,32.0,13.0,7.0,3.0,21.0,1.0,1.0,,19.0,,795.0,9.0,13.0,21.0,1.0,219.0,,8.0,208.0,,,,3.0,,,4.0,2.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,
